inventory_log_id,store_id,product_id,warehouse_id,offline_stock_qty,online_stock_qty,reserved_qty,shrinkage_rate_pct,last_sync_timestamp,sync_status
INV-80065,STR-501,PRD-5065,WH-104,18,201,7,0.26,2026-07-30 20:19:20,Synced
INV-80066,STR-502,PRD-5066,WH-101,20,390,6,3.49,2026-07-30 20:19:20,Discrepancy Warning
INV-80067,STR-503,PRD-5067,WH-101,84,330,10,4.2,2026-07-30 20:19:20,Discrepancy Warning
INV-80068,STR-504,PRD-5068,WH-102,80,160,2,3.28,2026-07-30 20:19:20,Discrepancy Warning
INV-80069,STR-505,PRD-5069,WH-102,91,377,11,4.19,2026-07-30 20:19:20,Discrepancy Warning
INV-80070,STR-501,PRD-5070,WH-103,63,269,12,1.78,2026-07-30 20:19:20,Synced
INV-80071,STR-502,PRD-5071,WH-101,60,223,11,2.04,2026-07-30 20:19:20,Discrepancy Warning
INV-80072,STR-503,PRD-5072,WH-104,104,215,13,1.97,2026-07-30 20:19:20,Synced
INV-80073,STR-504,PRD-5073,WH-101,97,322,9,1.87,2026-07-30 20:19:20,Synced
INV-80074,STR-505,PRD-5074,WH-102,31,285,9,1.87,2026-07-30 20:19:20,Synced
INV-80075,STR-501,PRD-5075,WH-101,74,226,8,2.02,2026-07-30 20:19:20,Discrepancy Warning
INV-80076,STR-502,PRD-5076,WH-103,25,325,12,0.54,2026-07-30 20:19:20,Synced
INV-80077,STR-503,PRD-5077,WH-104,46,205,4,0.36,2026-07-30 20:19:20,Synced
INV-80078,STR-504,PRD-5078,WH-103,24,379,5,3.89,2026-07-30 20:19:20,Discrepancy Warning
INV-80079,STR-505,PRD-5079,WH-102,6,159,20,3.83,2026-07-30 20:19:20,Discrepancy Warning
INV-80080,STR-501,PRD-5080,WH-102,76,316,14,3.36,2026-07-30 20:19:20,Discrepancy Warning
INV-80081,STR-502,PRD-5081,WH-101,77,394,3,3.96,2026-07-30 20:19:20,Discrepancy Warning
INV-80082,STR-503,PRD-5082,WH-101,141,246,1,2.3,2026-07-30 20:19:20,Discrepancy Warning
INV-80083,STR-504,PRD-5083,WH-102,28,12,5,4.46,2026-07-30 20:19:20,Discrepancy Warning
INV-80084,STR-505,PRD-5084,WH-101,148,286,2,1.52,2026-07-30 20:19:20,Synced
INV-80085,STR-501,PRD-5085,WH-103,139,307,17,2.98,2026-07-30 20:19:20,Discrepancy Warning
INV-80086,STR-502,PRD-5086,WH-101,119,73,7,2.26,2026-07-30 20:19:20,Discrepancy Warning
INV-80087,STR-503,PRD-5087,WH-104,80,141,6,3.4,2026-07-30 20:19:20,Discrepancy Warning
INV-80088,STR-504,PRD-5088,WH-101,95,80,1,0.84,2026-07-30 20:19:20,Synced
INV-80089,STR-505,PRD-5089,WH-102,42,233,11,3.44,2026-07-30 20:19:20,Discrepancy Warning
INV-80090,STR-501,PRD-5090,WH-101,32,204,12,4.33,2026-07-30 20:19:20,Discrepancy Warning
INV-80091,STR-502,PRD-5091,WH-102,25,281,15,1.27,2026-07-30 20:19:20,Synced
INV-80092,STR-503,PRD-5092,WH-101,54,287,4,2.03,2026-07-30 20:19:20,Discrepancy Warning
INV-80093,STR-504,PRD-5093,WH-101,97,131,11,3.3,2026-07-30 20:19:20,Discrepancy Warning
INV-80094,STR-505,PRD-5094,WH-102,33,107,20,2.79,2026-07-30 20:19:20,Discrepancy Warning
INV-80095,STR-501,PRD-5095,WH-102,87,173,17,3.39,2026-07-30 20:19:20,Discrepancy Warning
INV-80096,STR-502,PRD-5096,WH-103,69,54,17,1.55,2026-07-30 20:19:20,Synced
INV-80097,STR-503,PRD-5097,WH-103,39,288,16,3.33,2026-07-30 20:19:20,Discrepancy Warning
INV-80098,STR-504,PRD-5098,WH-104,41,268,6,0.42,2026-07-30 20:19:20,Synced
INV-80099,STR-505,PRD-5099,WH-102,129,73,5,2.8,2026-07-30 20:19:20,Discrepancy Warning
INV-80100,STR-501,PRD-5100,WH-102,81,55,8,1.7,2026-07-30 20:19:20,Synced
INV-80101,STR-502,PRD-5101,WH-103,19,174,2,0.95,2026-07-30 20:19:20,Synced
INV-80102,STR-503,PRD-5102,WH-102,66,299,3,2.81,2026-07-30 20:19:20,Discrepancy Warning
INV-80103,STR-504,PRD-5103,WH-101,117,329,11,3.84,2026-07-30 20:19:20,Discrepancy Warning
INV-80104,STR-505,PRD-5104,WH-101,55,55,13,0.35,2026-07-30 20:19:20,Synced
INV-80105,STR-501,PRD-5105,WH-103,134,278,13,3.22,2026-07-30 20:19:20,Discrepancy Warning
INV-80106,STR-502,PRD-5106,WH-103,122,215,19,1.56,2026-07-30 20:19:20,Synced
INV-80107,STR-503,PRD-5107,WH-104,39,305,10,3.38,2026-07-30 20:19:20,Discrepancy Warning
INV-80108,STR-504,PRD-5108,WH-104,143,98,18,0.48,2026-07-30 20:19:20,Synced
INV-80109,STR-505,PRD-5109,WH-101,138,284,12,2.95,2026-07-30 20:19:20,Discrepancy Warning
INV-80110,STR-501,PRD-5110,WH-104,52,213,17,1.35,2026-07-30 20:19:20,Synced
INV-80111,STR-502,PRD-5111,WH-102,97,18,15,0.95,2026-07-30 20:19:20,Synced
INV-80112,STR-503,PRD-5112,WH-103,17,295,8,3.74,2026-07-30 20:19:20,Discrepancy Warning
INV-80113,STR-504,PRD-5113,WH-103,125,58,15,3.73,2026-07-30 20:19:20,Discrepancy Warning
INV-80114,STR-505,PRD-5114,WH-101,117,245,0,2.27,2026-07-30 20:19:20,Discrepancy Warning
INV-80115,STR-501,PRD-5115,WH-101,122,77,0,2.15,2026-07-30 20:19:20,Discrepancy Warning
INV-80116,STR-502,PRD-5116,WH-101,35,84,20,0.46,2026-07-30 20:19:20,Synced
INV-80117,STR-503,PRD-5117,WH-101,21,96,0,3.65,2026-07-30 20:19:20,Discrepancy Warning
INV-80118,STR-504,PRD-5118,WH-102,141,180,16,2.28,2026-07-30 20:19:20,Discrepancy Warning
INV-80119,STR-505,PRD-5119,WH-104,20,135,6,1.79,2026-07-30 20:19:20,Synced
INV-80120,STR-501,PRD-5120,WH-101,47,329,15,3.67,2026-07-30 20:19:20,Discrepancy Warning
INV-80121,STR-502,PRD-5121,WH-104,38,337,17,4.0,2026-07-30 20:19:20,Discrepancy Warning
INV-80122,STR-503,PRD-5122,WH-104,53,147,12,1.16,2026-07-30 20:19:20,Synced
INV-80123,STR-504,PRD-5123,WH-101,142,108,19,2.12,2026-07-30 20:19:20,Discrepancy Warning
INV-80124,STR-505,PRD-5124,WH-102,108,110,13,4.1,2026-07-30 20:19:20,Discrepancy Warning
INV-80125,STR-501,PRD-5125,WH-102,29,195,9,1.28,2026-07-30 20:19:20,Synced
INV-80126,STR-502,PRD-5126,WH-102,11,203,19,3.32,2026-07-30 20:19:20,Discrepancy Warning
INV-80127,STR-503,PRD-5127,WH-104,106,194,5,1.39,2026-07-30 20:19:20,Synced
INV-80128,STR-504,PRD-5128,WH-103,30,31,20,3.81,2026-07-30 20:19:20,Discrepancy Warning
INV-80129,STR-505,PRD-5129,WH-102,6,94,4,0.3,2026-07-30 20:19:20,Synced
INV-80130,STR-501,PRD-5130,WH-102,90,174,16,2.24,2026-07-30 20:19:20,Discrepancy Warning
INV-80131,STR-502,PRD-5131,WH-104,91,22,7,3.09,2026-07-30 20:19:20,Discrepancy Warning
INV-80132,STR-503,PRD-5132,WH-102,78,160,18,2.96,2026-07-30 20:19:20,Discrepancy Warning
INV-80133,STR-504,PRD-5133,WH-104,45,225,16,2.2,2026-07-30 20:19:20,Discrepancy Warning
INV-80134,STR-505,PRD-5134,WH-102,18,205,15,1.83,2026-07-30 20:19:20,Synced
INV-80135,STR-501,PRD-5135,WH-104,88,189,8,1.77,2026-07-30 20:19:20,Synced
INV-80136,STR-502,PRD-5136,WH-103,45,138,15,3.51,2026-07-30 20:19:20,Discrepancy Warning
INV-80137,STR-503,PRD-5137,WH-104,137,165,4,2.53,2026-07-30 20:19:20,Discrepancy Warning
INV-80138,STR-504,PRD-5138,WH-101,46,350,20,2.53,2026-07-30 20:19:20,Discrepancy Warning
INV-80139,STR-505,PRD-5139,WH-103,128,90,2,1.2,2026-07-30 20:19:20,Synced
INV-80140,STR-501,PRD-5140,WH-102,40,299,8,2.85,2026-07-30 20:19:20,Discrepancy Warning
INV-80141,STR-502,PRD-5141,WH-103,28,153,2,1.5,2026-07-30 20:19:20,Synced
INV-80142,STR-503,PRD-5142,WH-104,62,122,15,2.21,2026-07-30 20:19:20,Discrepancy Warning
INV-80143,STR-504,PRD-5143,WH-103,54,116,6,1.36,2026-07-30 20:19:20,Synced
INV-80144,STR-505,PRD-5144,WH-104,5,165,1,1.11,2026-07-30 20:19:20,Synced
INV-80145,STR-501,PRD-5145,WH-101,21,18,8,4.05,2026-07-30 20:19:20,Discrepancy Warning
INV-80146,STR-502,PRD-5146,WH-102,107,309,11,0.78,2026-07-30 20:19:20,Synced
INV-80147,STR-503,PRD-5147,WH-101,95,275,17,2.78,2026-07-30 20:19:20,Discrepancy Warning
INV-80148,STR-504,PRD-5148,WH-101,146,307,20,0.29,2026-07-30 20:19:20,Synced
INV-80149,STR-505,PRD-5149,WH-104,120,366,20,2.25,2026-07-30 20:19:20,Discrepancy Warning
INV-80150,STR-501,PRD-5150,WH-102,116,108,12,3.13,2026-07-30 20:19:20,Discrepancy Warning
INV-80151,STR-502,PRD-5151,WH-102,91,359,2,3.19,2026-07-30 20:19:20,Discrepancy Warning
INV-80152,STR-503,PRD-5152,WH-104,109,21,0,2.04,2026-07-30 20:19:20,Discrepancy Warning
INV-80153,STR-504,PRD-5153,WH-102,48,240,6,0.88,2026-07-30 20:19:20,Synced
INV-80154,STR-505,PRD-5154,WH-101,104,100,14,2.55,2026-07-30 20:19:20,Discrepancy Warning
INV-80155,STR-501,PRD-5155,WH-103,50,21,14,1.85,2026-07-30 20:19:20,Synced
INV-80156,STR-502,PRD-5156,WH-103,48,305,0,0.27,2026-07-30 20:19:20,Synced
INV-80157,STR-503,PRD-5157,WH-101,32,300,7,1.44,2026-07-30 20:19:20,Synced
INV-80158,STR-504,PRD-5158,WH-102,69,336,14,1.84,2026-07-30 20:19:20,Synced
INV-80159,STR-505,PRD-5159,WH-104,132,102,16,2.21,2026-07-30 20:19:20,Discrepancy Warning
INV-80160,STR-501,PRD-5160,WH-103,70,254,1,3.8,2026-07-30 20:19:20,Discrepancy Warning
INV-80161,STR-502,PRD-5161,WH-103,70,291,6,2.58,2026-07-30 20:19:20,Discrepancy Warning
INV-80162,STR-503,PRD-5162,WH-104,68,229,5,3.6,2026-07-30 20:19:20,Discrepancy Warning
INV-80163,STR-504,PRD-5163,WH-101,31,155,10,1.5,2026-07-30 20:19:20,Synced
INV-80164,STR-505,PRD-5164,WH-103,57,90,18,2.51,2026-07-30 20:19:20,Discrepancy Warning
INV-80165,STR-501,PRD-5165,WH-104,47,45,5,2.92,2026-07-30 20:19:20,Discrepancy Warning
INV-80166,STR-502,PRD-5166,WH-102,6,121,14,0.29,2026-07-30 20:19:20,Synced
INV-80167,STR-503,PRD-5167,WH-101,86,213,8,1.04,2026-07-30 20:19:20,Synced
INV-80168,STR-504,PRD-5168,WH-102,41,279,8,4.2,2026-07-30 20:19:20,Discrepancy Warning
INV-80169,STR-505,PRD-5169,WH-102,45,342,5,0.5,2026-07-30 20:19:20,Synced
INV-80170,STR-501,PRD-5170,WH-102,31,343,0,1.53,2026-07-30 20:19:20,Synced
INV-80171,STR-502,PRD-5171,WH-101,42,121,2,1.15,2026-07-30 20:19:20,Synced
INV-80172,STR-503,PRD-5172,WH-103,111,370,17,3.26,2026-07-30 20:19:20,Discrepancy Warning
INV-80173,STR-504,PRD-5173,WH-104,64,336,20,2.97,2026-07-30 20:19:20,Discrepancy Warning
INV-80174,STR-505,PRD-5174,WH-101,92,116,17,4.16,2026-07-30 20:19:20,Discrepancy Warning
INV-80175,STR-501,PRD-5175,WH-102,19,135,5,2.12,2026-07-30 20:19:20,Discrepancy Warning
INV-80176,STR-502,PRD-5176,WH-103,115,96,20,1.95,2026-07-30 20:19:20,Synced
INV-80177,STR-503,PRD-5177,WH-104,58,108,7,2.07,2026-07-30 20:19:20,Discrepancy Warning
INV-80178,STR-504,PRD-5178,WH-102,65,375,18,2.54,2026-07-30 20:19:20,Discrepancy Warning
INV-80179,STR-505,PRD-5179,WH-102,34,359,17,0.23,2026-07-30 20:19:20,Synced
INV-80180,STR-501,PRD-5180,WH-104,81,60,1,4.01,2026-07-30 20:19:20,Discrepancy Warning
INV-80181,STR-502,PRD-5181,WH-102,18,302,8,1.0,2026-07-30 20:19:20,Synced
INV-80182,STR-503,PRD-5182,WH-103,135,242,4,0.29,2026-07-30 20:19:20,Synced
INV-80183,STR-504,PRD-5183,WH-104,49,159,15,4.09,2026-07-30 20:19:20,Discrepancy Warning
INV-80184,STR-505,PRD-5184,WH-102,129,207,17,2.03,2026-07-30 20:19:20,Discrepancy Warning
INV-80185,STR-501,PRD-5185,WH-101,83,38,7,3.36,2026-07-30 20:19:20,Discrepancy Warning
INV-80186,STR-502,PRD-5186,WH-101,23,351,15,2.07,2026-07-30 20:19:20,Discrepancy Warning
INV-80187,STR-503,PRD-5187,WH-103,99,183,16,3.85,2026-07-30 20:19:20,Discrepancy Warning
INV-80188,STR-504,PRD-5188,WH-103,130,309,13,4.06,2026-07-30 20:19:20,Discrepancy Warning
INV-80189,STR-505,PRD-5189,WH-103,33,160,10,4.37,2026-07-30 20:19:20,Discrepancy Warning
INV-80190,STR-501,PRD-5190,WH-101,23,84,13,0.42,2026-07-30 20:19:20,Synced
INV-80191,STR-502,PRD-5191,WH-104,120,30,5,2.73,2026-07-30 20:19:20,Discrepancy Warning
INV-80192,STR-503,PRD-5192,WH-101,135,191,0,1.2,2026-07-30 20:19:20,Synced
INV-80193,STR-504,PRD-5193,WH-104,69,237,18,0.22,2026-07-30 20:19:20,Synced
INV-80194,STR-505,PRD-5194,WH-101,127,68,11,0.37,2026-07-30 20:19:20,Synced
INV-80195,STR-501,PRD-5195,WH-102,139,38,10,2.19,2026-07-30 20:19:20,Discrepancy Warning
INV-80196,STR-502,PRD-5196,WH-101,41,297,20,1.65,2026-07-30 20:19:20,Synced
INV-80197,STR-503,PRD-5197,WH-101,143,337,5,2.55,2026-07-30 20:19:20,Discrepancy Warning
INV-80198,STR-504,PRD-5198,WH-104,26,79,3,2.77,2026-07-30 20:19:20,Discrepancy Warning
INV-80199,STR-505,PRD-5199,WH-103,44,169,8,3.16,2026-07-30 20:19:20,Discrepancy Warning
INV-80200,STR-501,PRD-5200,WH-101,99,248,0,0.8,2026-07-30 20:19:20,Synced
INV-80201,STR-502,PRD-5201,WH-104,87,221,4,0.45,2026-07-30 20:19:20,Synced
INV-80202,STR-503,PRD-5202,WH-101,12,137,16,4.04,2026-07-30 20:19:20,Discrepancy Warning
INV-80203,STR-504,PRD-5203,WH-103,28,269,7,3.5,2026-07-30 20:19:20,Discrepancy Warning
INV-80204,STR-505,PRD-5204,WH-101,114,184,11,2.92,2026-07-30 20:19:20,Discrepancy Warning
INV-80205,STR-501,PRD-5205,WH-104,73,142,7,3.26,2026-07-30 20:19:20,Discrepancy Warning
INV-80206,STR-502,PRD-5206,WH-103,120,149,18,1.28,2026-07-30 20:19:20,Synced
INV-80207,STR-503,PRD-5207,WH-101,96,224,15,1.27,2026-07-30 20:19:20,Synced
INV-80208,STR-504,PRD-5208,WH-103,79,101,14,2.24,2026-07-30 20:19:20,Discrepancy Warning
INV-80209,STR-505,PRD-5209,WH-102,67,99,11,1.19,2026-07-30 20:19:20,Synced
INV-80210,STR-501,PRD-5210,WH-102,10,106,14,0.99,2026-07-30 20:19:20,Synced
INV-80211,STR-502,PRD-5211,WH-103,145,274,9,0.73,2026-07-30 20:19:20,Synced
INV-80212,STR-503,PRD-5212,WH-104,71,210,19,0.8,2026-07-30 20:19:20,Synced
INV-80213,STR-504,PRD-5213,WH-103,37,214,20,4.27,2026-07-30 20:19:20,Discrepancy Warning
INV-80214,STR-505,PRD-5214,WH-102,146,312,20,3.55,2026-07-30 20:19:20,Discrepancy Warning
INV-80215,STR-501,PRD-5215,WH-102,133,371,4,0.45,2026-07-30 20:19:20,Synced
INV-80216,STR-502,PRD-5216,WH-102,142,78,8,1.03,2026-07-30 20:19:20,Synced
INV-80217,STR-503,PRD-5217,WH-102,91,271,3,2.03,2026-07-30 20:19:20,Discrepancy Warning
INV-80218,STR-504,PRD-5218,WH-102,37,277,19,1.46,2026-07-30 20:19:20,Synced
INV-80219,STR-505,PRD-5219,WH-102,119,100,7,2.85,2026-07-30 20:19:20,Discrepancy Warning
INV-80220,STR-501,PRD-5220,WH-104,126,78,8,3.81,2026-07-30 20:19:20,Discrepancy Warning
INV-80221,STR-502,PRD-5221,WH-104,7,29,9,0.39,2026-07-30 20:19:20,Synced
INV-80222,STR-503,PRD-5222,WH-103,134,328,19,2.72,2026-07-30 20:19:20,Discrepancy Warning
INV-80223,STR-504,PRD-5223,WH-103,121,15,19,2.56,2026-07-30 20:19:20,Discrepancy Warning
INV-80224,STR-505,PRD-5224,WH-104,13,130,14,1.39,2026-07-30 20:19:20,Synced
INV-80225,STR-501,PRD-5225,WH-101,34,370,10,3.7,2026-07-30 20:19:20,Discrepancy Warning
INV-80226,STR-502,PRD-5226,WH-101,113,364,4,4.47,2026-07-30 20:19:20,Discrepancy Warning
INV-80227,STR-503,PRD-5227,WH-104,35,47,14,1.76,2026-07-30 20:19:20,Synced
INV-80228,STR-504,PRD-5228,WH-101,101,365,7,1.16,2026-07-30 20:19:20,Synced
INV-80229,STR-505,PRD-5229,WH-101,126,121,9,4.02,2026-07-30 20:19:20,Discrepancy Warning
INV-80230,STR-501,PRD-5230,WH-102,38,187,7,2.07,2026-07-30 20:19:20,Discrepancy Warning
INV-80231,STR-502,PRD-5231,WH-102,12,244,6,2.05,2026-07-30 20:19:20,Discrepancy Warning
INV-80232,STR-503,PRD-5232,WH-102,136,175,13,2.01,2026-07-30 20:19:20,Discrepancy Warning
INV-80233,STR-504,PRD-5233,WH-104,133,148,16,1.08,2026-07-30 20:19:20,Synced
INV-80234,STR-505,PRD-5234,WH-102,6,32,0,1.66,2026-07-30 20:19:20,Synced
INV-80235,STR-501,PRD-5235,WH-101,135,212,16,3.15,2026-07-30 20:19:20,Discrepancy Warning
INV-80236,STR-502,PRD-5236,WH-103,110,319,12,2.63,2026-07-30 20:19:20,Discrepancy Warning
INV-80237,STR-503,PRD-5237,WH-102,25,56,14,3.55,2026-07-30 20:19:20,Discrepancy Warning
INV-80238,STR-504,PRD-5238,WH-103,29,172,15,2.03,2026-07-30 20:19:20,Discrepancy Warning
INV-80239,STR-505,PRD-5239,WH-102,87,186,9,3.96,2026-07-30 20:19:20,Discrepancy Warning
INV-80240,STR-501,PRD-5240,WH-104,70,24,20,0.52,2026-07-30 20:19:20,Synced
INV-80241,STR-502,PRD-5241,WH-101,116,118,1,2.51,2026-07-30 20:19:20,Discrepancy Warning
INV-80242,STR-503,PRD-5242,WH-102,70,200,2,3.15,2026-07-30 20:19:20,Discrepancy Warning
INV-80243,STR-504,PRD-5243,WH-103,65,68,2,4.48,2026-07-30 20:19:20,Discrepancy Warning
INV-80244,STR-505,PRD-5244,WH-101,11,63,16,4.01,2026-07-30 20:19:20,Discrepancy Warning
INV-80245,STR-501,PRD-5245,WH-101,100,329,3,0.43,2026-07-30 20:19:20,Synced
INV-80246,STR-502,PRD-5246,WH-104,6,89,7,3.92,2026-07-30 20:19:20,Discrepancy Warning
INV-80247,STR-503,PRD-5247,WH-103,72,164,6,2.49,2026-07-30 20:19:20,Discrepancy Warning
INV-80248,STR-504,PRD-5248,WH-103,46,227,3,0.67,2026-07-30 20:19:20,Synced
INV-80249,STR-505,PRD-5249,WH-101,5,128,17,2.45,2026-07-30 20:19:20,Discrepancy Warning
INV-80250,STR-501,PRD-5250,WH-101,17,337,4,3.53,2026-07-30 20:19:20,Discrepancy Warning
INV-80251,STR-502,PRD-5251,WH-104,130,171,19,2.63,2026-07-30 20:19:20,Discrepancy Warning
INV-80252,STR-503,PRD-5252,WH-102,68,345,1,1.27,2026-07-30 20:19:20,Synced
INV-80253,STR-504,PRD-5253,WH-101,34,277,4,1.68,2026-07-30 20:19:20,Synced
INV-80254,STR-505,PRD-5254,WH-104,71,156,13,1.34,2026-07-30 20:19:20,Synced
INV-80255,STR-501,PRD-5255,WH-103,120,261,17,1.16,2026-07-30 20:19:20,Synced
INV-80256,STR-502,PRD-5256,WH-102,11,160,19,1.18,2026-07-30 20:19:20,Synced
INV-80257,STR-503,PRD-5257,WH-103,129,39,9,0.82,2026-07-30 20:19:20,Synced
INV-80258,STR-504,PRD-5258,WH-103,117,283,17,0.5,2026-07-30 20:19:20,Synced
INV-80259,STR-505,PRD-5259,WH-103,16,95,3,0.9,2026-07-30 20:19:20,Synced
