order_id,store_id,order_date,channel,product_id,quantity,unit_price_inr,total_amount_inr,shipping_cost_inr,payment_method,order_status,escrow_txn_id
ORD-10027,STR-503,2025-04-08,Amazon IN,PRD-6368,3,499,1497,90,Credit Card,Delivered,ESC-30027
ORD-10028,STR-504,2025-02-20,Amazon IN,PRD-6276,1,3499,3499,180,Net Banking,Returned,ESC-30028
ORD-10029,STR-505,2025-02-11,Amazon IN,PRD-6722,1,3499,3499,120,Net Banking,Delivered,ESC-30029
ORD-10030,STR-501,2025-04-07,Myntra,PRD-5017,1,1499,1499,60,COD,Delivered,ESC-30030
ORD-10031,STR-502,2025-04-20,Amazon IN,PRD-5651,2,499,998,120,Credit Card,Delivered,ESC-30031
ORD-10032,STR-503,2026-04-27,POS Counter,PRD-5519,2,3499,6998,0,Cash,Returned,ESC-30032
ORD-10033,STR-504,2026-06-06,POS Counter,PRD-6671,1,3499,3499,0,Cash,Delivered,ESC-30033
ORD-10034,STR-505,2025-10-07,Myntra,PRD-5769,4,2499,9996,90,UPI,Delivered,ESC-30034
ORD-10035,STR-501,2026-06-25,Amazon IN,PRD-6411,2,1499,2998,180,COD,Returned,ESC-30035
ORD-10036,STR-502,2025-05-08,Instagram DM,PRD-6722,3,3499,10497,180,COD,Delivered,ESC-30036
ORD-10037,STR-503,2025-07-15,Instagram DM,PRD-6037,2,2499,4998,90,UPI,Cancelled,ESC-30037
ORD-10038,STR-504,2025-08-25,POS Counter,PRD-5191,1,3499,3499,0,Cash,Delivered,ESC-30038
ORD-10039,STR-505,2025-08-12,Amazon IN,PRD-5462,1,3499,3499,90,UPI,In-Transit,ESC-30039
ORD-10040,STR-501,2025-12-16,POS Counter,PRD-6832,2,699,1398,0,Cash,Delivered,ESC-30040
ORD-10041,STR-502,2025-05-07,Amazon IN,PRD-6332,4,1499,5996,180,Net Banking,Delivered,ESC-30041
ORD-10042,STR-503,2025-07-31,Flipkart,PRD-6447,2,3499,6998,90,COD,Delivered,ESC-30042
ORD-10043,STR-504,2025-02-20,Amazon IN,PRD-5013,4,1499,5996,90,UPI,Delivered,ESC-30043
ORD-10044,STR-505,2026-06-21,Amazon IN,PRD-5835,4,499,1996,120,Credit Card,Delivered,ESC-30044
ORD-10045,STR-501,2025-01-15,Flipkart,PRD-7170,1,2499,2499,150,Net Banking,Delivered,ESC-30045
ORD-10046,STR-502,2025-07-25,Instagram DM,PRD-6129,4,1499,5996,120,Credit Card,Delivered,ESC-30046
ORD-10047,STR-503,2025-01-18,POS Counter,PRD-6991,4,699,2796,0,Cash,Cancelled,ESC-30047
ORD-10048,STR-504,2026-06-06,Instagram DM,PRD-5593,1,999,999,120,Net Banking,Delivered,ESC-30048
ORD-10049,STR-505,2025-11-14,Instagram DM,PRD-6654,1,499,499,180,UPI,Delivered,ESC-30049
ORD-10050,STR-501,2025-09-08,Instagram DM,PRD-7278,2,3499,6998,150,UPI,Delivered,ESC-30050
ORD-10051,STR-502,2026-03-06,Myntra,PRD-6398,1,1499,1499,90,Credit Card,Delivered,ESC-30051
ORD-10052,STR-503,2025-09-15,Instagram DM,PRD-6114,2,3499,6998,150,Net Banking,Delivered,ESC-30052
ORD-10053,STR-504,2025-07-20,POS Counter,PRD-6331,1,999,999,0,Cash,Delivered,ESC-30053
ORD-10054,STR-505,2025-09-04,Myntra,PRD-6366,4,699,2796,150,UPI,Delivered,ESC-30054
ORD-10055,STR-501,2025-05-21,POS Counter,PRD-6683,1,699,699,0,Cash,Delivered,ESC-30055
ORD-10056,STR-502,2025-03-16,Shopify Storefront,PRD-7247,4,3499,13996,90,Credit Card,Delivered,ESC-30056
ORD-10057,STR-503,2025-04-10,Shopify Storefront,PRD-6051,1,2499,2499,150,UPI,Cancelled,ESC-30057
ORD-10058,STR-504,2025-12-15,POS Counter,PRD-5487,1,999,999,0,Cash,Delivered,ESC-30058
ORD-10059,STR-505,2025-09-04,Shopify Storefront,PRD-6950,3,2499,7497,90,UPI,Returned,ESC-30059
ORD-10060,STR-501,2025-12-05,Shopify Storefront,PRD-5364,2,2499,4998,120,UPI,Delivered,ESC-30060
ORD-10061,STR-502,2026-04-09,Myntra,PRD-5673,1,3499,3499,60,UPI,Delivered,ESC-30061
ORD-10062,STR-503,2025-06-10,POS Counter,PRD-5186,2,699,1398,0,Cash,In-Transit,ESC-30062
ORD-10063,STR-504,2025-07-22,POS Counter,PRD-6209,4,499,1996,0,Cash,Delivered,ESC-30063
ORD-10064,STR-505,2025-08-20,Myntra,PRD-5551,1,499,499,90,Net Banking,Delivered,ESC-30064
ORD-10065,STR-501,2025-06-07,Instagram DM,PRD-5260,2,1499,2998,150,UPI,Delivered,ESC-30065
ORD-10066,STR-502,2025-06-29,Instagram DM,PRD-6722,1,499,499,90,Credit Card,Delivered,ESC-30066
ORD-10067,STR-503,2026-03-22,POS Counter,PRD-5681,3,3499,10497,0,Cash,Delivered,ESC-30067
ORD-10068,STR-504,2025-12-04,Flipkart,PRD-5645,2,1499,2998,150,Credit Card,Delivered,ESC-30068
ORD-10069,STR-505,2025-11-20,Amazon IN,PRD-7484,2,3499,6998,60,Credit Card,Delivered,ESC-30069
ORD-10070,STR-501,2026-04-22,Shopify Storefront,PRD-7382,1,3499,3499,90,UPI,Delivered,ESC-30070
ORD-10071,STR-502,2026-05-06,Flipkart,PRD-7379,2,499,998,180,Credit Card,Delivered,ESC-30071
ORD-10072,STR-503,2025-09-04,Shopify Storefront,PRD-7083,1,699,699,180,UPI,Delivered,ESC-30072
ORD-10073,STR-504,2025-09-25,Amazon IN,PRD-7249,2,699,1398,60,COD,Delivered,ESC-30073
ORD-10074,STR-505,2025-08-14,Instagram DM,PRD-5367,2,2499,4998,150,UPI,Delivered,ESC-30074
ORD-10075,STR-501,2026-04-17,POS Counter,PRD-6132,3,499,1497,0,Cash,Delivered,ESC-30075
ORD-10076,STR-502,2025-01-12,Shopify Storefront,PRD-5100,1,499,499,120,Credit Card,Delivered,ESC-30076
ORD-10077,STR-503,2025-07-14,Flipkart,PRD-5403,4,2499,9996,120,UPI,Delivered,ESC-30077
ORD-10078,STR-504,2025-12-28,Amazon IN,PRD-6553,1,2499,2499,120,Net Banking,Delivered,ESC-30078
ORD-10079,STR-505,2025-06-01,Myntra,PRD-7361,4,999,3996,150,UPI,Delivered,ESC-30079
ORD-10080,STR-501,2025-02-13,Amazon IN,PRD-6555,4,499,1996,180,COD,Delivered,ESC-30080
ORD-10081,STR-502,2025-02-20,Shopify Storefront,PRD-6071,2,1499,2998,120,Net Banking,Delivered,ESC-30081
ORD-10082,STR-503,2025-06-03,Flipkart,PRD-6548,1,699,699,150,Credit Card,Delivered,ESC-30082
ORD-10083,STR-504,2026-01-14,Instagram DM,PRD-5201,3,999,2997,90,COD,Delivered,ESC-30083
ORD-10084,STR-505,2025-02-24,Flipkart,PRD-5852,2,1499,2998,180,COD,Delivered,ESC-30084
ORD-10085,STR-501,2026-06-23,POS Counter,PRD-5516,1,499,499,0,Cash,Delivered,ESC-30085
ORD-10086,STR-502,2025-02-18,Shopify Storefront,PRD-6605,3,2499,7497,60,UPI,Delivered,ESC-30086
ORD-10087,STR-503,2026-05-01,Flipkart,PRD-6020,2,1499,2998,90,UPI,Delivered,ESC-30087
ORD-10088,STR-504,2025-03-09,POS Counter,PRD-6639,3,3499,10497,0,Cash,Delivered,ESC-30088
ORD-10089,STR-505,2025-11-11,Flipkart,PRD-6219,2,499,998,90,COD,Delivered,ESC-30089
ORD-10090,STR-501,2026-03-18,POS Counter,PRD-5427,3,999,2997,0,Cash,Delivered,ESC-30090
ORD-10091,STR-502,2025-02-11,Flipkart,PRD-6195,4,699,2796,120,Net Banking,Delivered,ESC-30091
ORD-10092,STR-503,2026-02-17,POS Counter,PRD-6512,3,2499,7497,0,Cash,Delivered,ESC-30092
ORD-10093,STR-504,2025-10-28,POS Counter,PRD-5096,1,1499,1499,0,Cash,Delivered,ESC-30093
ORD-10094,STR-505,2026-02-26,Amazon IN,PRD-6191,1,699,699,60,Net Banking,Delivered,ESC-30094
ORD-10095,STR-501,2025-12-06,Instagram DM,PRD-5550,4,2499,9996,60,Net Banking,Delivered,ESC-30095
ORD-10096,STR-502,2025-09-02,POS Counter,PRD-5886,2,999,1998,0,Cash,Delivered,ESC-30096
ORD-10097,STR-503,2026-06-23,Amazon IN,PRD-7405,3,3499,10497,60,COD,Delivered,ESC-30097
ORD-10098,STR-504,2025-04-03,Shopify Storefront,PRD-7458,4,2499,9996,150,UPI,Delivered,ESC-30098
ORD-10099,STR-505,2025-04-04,Instagram DM,PRD-5811,4,699,2796,90,COD,Delivered,ESC-30099
ORD-10100,STR-501,2026-02-21,Shopify Storefront,PRD-5315,1,2499,2499,180,COD,Delivered,ESC-30100
ORD-10101,STR-502,2025-04-08,Flipkart,PRD-7051,4,2499,9996,180,UPI,Delivered,ESC-30101
ORD-10102,STR-503,2025-01-28,Shopify Storefront,PRD-7401,1,999,999,150,UPI,Delivered,ESC-30102
ORD-10103,STR-504,2026-01-22,Amazon IN,PRD-6935,4,999,3996,120,UPI,Cancelled,ESC-30103
ORD-10104,STR-505,2025-08-07,Flipkart,PRD-6507,3,699,2097,60,UPI,Delivered,ESC-30104
ORD-10105,STR-501,2026-06-23,Instagram DM,PRD-7356,3,499,1497,180,Net Banking,Delivered,ESC-30105
ORD-10106,STR-502,2026-05-04,Amazon IN,PRD-5109,2,1499,2998,90,Credit Card,Delivered,ESC-30106
ORD-10107,STR-503,2026-06-02,POS Counter,PRD-5302,2,1499,2998,0,Cash,Delivered,ESC-30107
ORD-10108,STR-504,2025-12-12,Flipkart,PRD-5315,1,999,999,60,Net Banking,Delivered,ESC-30108
ORD-10109,STR-505,2026-01-11,Instagram DM,PRD-5088,3,699,2097,150,COD,Delivered,ESC-30109
ORD-10110,STR-501,2025-04-09,Shopify Storefront,PRD-5528,4,499,1996,60,Credit Card,In-Transit,ESC-30110
ORD-10111,STR-502,2026-02-04,Flipkart,PRD-7489,1,499,499,150,Credit Card,Delivered,ESC-30111
ORD-10112,STR-503,2025-08-06,Shopify Storefront,PRD-5719,2,999,1998,120,Net Banking,Delivered,ESC-30112
ORD-10113,STR-504,2025-07-07,Flipkart,PRD-7344,1,1499,1499,150,COD,Delivered,ESC-30113
ORD-10114,STR-505,2025-08-04,Myntra,PRD-6081,3,3499,10497,60,UPI,Delivered,ESC-30114
ORD-10115,STR-501,2026-04-04,POS Counter,PRD-6404,3,699,2097,0,Cash,Delivered,ESC-30115
ORD-10116,STR-502,2025-05-20,Flipkart,PRD-5189,2,699,1398,120,UPI,Delivered,ESC-30116
ORD-10117,STR-503,2025-01-19,Myntra,PRD-5195,3,2499,7497,180,UPI,Delivered,ESC-30117
ORD-10118,STR-504,2025-07-06,Shopify Storefront,PRD-6856,3,2499,7497,90,COD,Delivered,ESC-30118
ORD-10119,STR-505,2026-01-20,Instagram DM,PRD-6215,4,499,1996,180,Net Banking,Delivered,ESC-30119
ORD-10120,STR-501,2026-01-29,Instagram DM,PRD-7330,2,699,1398,120,UPI,Delivered,ESC-30120
ORD-10121,STR-502,2025-07-19,POS Counter,PRD-5780,1,699,699,0,Cash,In-Transit,ESC-30121
ORD-10122,STR-503,2025-08-17,Amazon IN,PRD-5579,4,1499,5996,180,UPI,Delivered,ESC-30122
ORD-10123,STR-504,2026-04-30,POS Counter,PRD-6631,1,1499,1499,0,Cash,Delivered,ESC-30123
ORD-10124,STR-505,2025-02-01,Instagram DM,PRD-6811,2,3499,6998,90,Net Banking,Delivered,ESC-30124
ORD-10125,STR-501,2025-08-14,Amazon IN,PRD-7468,3,3499,10497,90,Credit Card,Delivered,ESC-30125
ORD-10126,STR-502,2025-01-04,Amazon IN,PRD-6670,1,699,699,180,COD,Delivered,ESC-30126
ORD-10127,STR-503,2026-01-03,Myntra,PRD-5601,4,3499,13996,120,UPI,Delivered,ESC-30127
ORD-10128,STR-504,2026-01-23,Amazon IN,PRD-6667,1,699,699,60,COD,Delivered,ESC-30128
ORD-10129,STR-505,2025-07-14,Myntra,PRD-6285,3,499,1497,120,Credit Card,Delivered,ESC-30129
ORD-10130,STR-501,2025-06-02,POS Counter,PRD-7407,3,2499,7497,0,Cash,Delivered,ESC-30130
ORD-10131,STR-502,2025-02-11,Shopify Storefront,PRD-5673,4,699,2796,60,UPI,Delivered,ESC-30131
ORD-10132,STR-503,2026-02-05,Flipkart,PRD-5257,1,499,499,150,Credit Card,Delivered,ESC-30132
ORD-10133,STR-504,2025-12-09,Shopify Storefront,PRD-5197,1,1499,1499,180,UPI,Delivered,ESC-30133
ORD-10134,STR-505,2025-10-28,Instagram DM,PRD-7485,1,3499,3499,120,UPI,Delivered,ESC-30134
ORD-10135,STR-501,2025-07-20,Myntra,PRD-6816,4,3499,13996,90,UPI,Delivered,ESC-30135
ORD-10136,STR-502,2025-10-04,Shopify Storefront,PRD-7029,4,1499,5996,180,Net Banking,Delivered,ESC-30136
ORD-10137,STR-503,2025-05-24,Instagram DM,PRD-6652,4,3499,13996,90,Credit Card,Delivered,ESC-30137
ORD-10138,STR-504,2026-05-01,Flipkart,PRD-5196,2,2499,4998,180,UPI,Delivered,ESC-30138
ORD-10139,STR-505,2026-02-11,Myntra,PRD-7186,3,499,1497,90,Credit Card,Delivered,ESC-30139
ORD-10140,STR-501,2025-05-16,Amazon IN,PRD-6466,2,699,1398,120,COD,Delivered,ESC-30140
ORD-10141,STR-502,2025-01-11,POS Counter,PRD-5673,1,499,499,0,Cash,Delivered,ESC-30141
ORD-10142,STR-503,2025-01-01,Flipkart,PRD-5462,2,1499,2998,90,Net Banking,Delivered,ESC-30142
ORD-10143,STR-504,2025-12-20,Flipkart,PRD-5497,2,699,1398,150,UPI,In-Transit,ESC-30143
ORD-10144,STR-505,2025-02-20,Instagram DM,PRD-5691,3,499,1497,90,COD,Delivered,ESC-30144
ORD-10145,STR-501,2026-03-18,Amazon IN,PRD-6167,1,699,699,150,Credit Card,Delivered,ESC-30145
ORD-10146,STR-502,2026-04-27,Myntra,PRD-5444,2,1499,2998,150,Credit Card,Returned,ESC-30146
ORD-10147,STR-503,2025-04-05,Flipkart,PRD-7413,2,499,998,90,Net Banking,Delivered,ESC-30147
ORD-10148,STR-504,2025-12-15,Instagram DM,PRD-7013,4,699,2796,150,Credit Card,In-Transit,ESC-30148
ORD-10149,STR-505,2025-07-01,Myntra,PRD-6305,4,499,1996,120,Credit Card,Delivered,ESC-30149
ORD-10150,STR-501,2026-05-20,Instagram DM,PRD-7411,4,1499,5996,60,COD,Delivered,ESC-30150
ORD-10151,STR-502,2026-05-24,POS Counter,PRD-6660,2,499,998,0,Cash,Delivered,ESC-30151
ORD-10152,STR-503,2025-01-03,Flipkart,PRD-7215,2,499,998,90,Credit Card,Delivered,ESC-30152
ORD-10153,STR-504,2025-06-13,Shopify Storefront,PRD-6612,3,499,1497,120,COD,Returned,ESC-30153
ORD-10154,STR-505,2025-06-03,Instagram DM,PRD-5299,2,499,998,180,Credit Card,Delivered,ESC-30154
ORD-10155,STR-501,2025-02-10,Myntra,PRD-7420,3,699,2097,150,Net Banking,Delivered,ESC-30155
ORD-10156,STR-502,2025-05-10,Shopify Storefront,PRD-6356,1,2499,2499,90,COD,Cancelled,ESC-30156
ORD-10157,STR-503,2025-11-02,Myntra,PRD-6384,1,3499,3499,60,Net Banking,Delivered,ESC-30157
ORD-10158,STR-504,2026-03-28,Shopify Storefront,PRD-6463,2,699,1398,180,COD,Delivered,ESC-30158
ORD-10159,STR-505,2025-07-11,Shopify Storefront,PRD-6852,3,1499,4497,60,UPI,Delivered,ESC-30159
ORD-10160,STR-501,2026-05-20,Flipkart,PRD-7220,2,2499,4998,180,COD,Delivered,ESC-30160
ORD-10161,STR-502,2025-11-24,Myntra,PRD-7363,2,1499,2998,60,Net Banking,Delivered,ESC-30161
ORD-10162,STR-503,2025-07-10,Instagram DM,PRD-5973,3,499,1497,120,UPI,Delivered,ESC-30162
ORD-10163,STR-504,2026-01-26,Instagram DM,PRD-6360,4,2499,9996,60,UPI,Delivered,ESC-30163
ORD-10164,STR-505,2025-06-30,Instagram DM,PRD-6404,3,999,2997,120,Credit Card,Returned,ESC-30164
ORD-10165,STR-501,2026-02-08,POS Counter,PRD-5575,3,2499,7497,0,Cash,Delivered,ESC-30165
ORD-10166,STR-502,2025-09-10,Instagram DM,PRD-5546,3,1499,4497,90,Credit Card,Delivered,ESC-30166
ORD-10167,STR-503,2026-02-19,POS Counter,PRD-6068,1,3499,3499,0,Cash,Delivered,ESC-30167
ORD-10168,STR-504,2025-12-02,POS Counter,PRD-7184,3,3499,10497,0,Cash,Cancelled,ESC-30168
ORD-10169,STR-505,2026-05-10,POS Counter,PRD-6407,4,699,2796,0,Cash,Cancelled,ESC-30169
ORD-10170,STR-501,2025-06-25,Flipkart,PRD-7414,2,3499,6998,90,Net Banking,Delivered,ESC-30170
ORD-10171,STR-502,2025-08-17,Myntra,PRD-5436,4,999,3996,120,UPI,Returned,ESC-30171
ORD-10172,STR-503,2025-11-29,Shopify Storefront,PRD-7499,3,1499,4497,120,Net Banking,Delivered,ESC-30172
ORD-10173,STR-504,2025-05-03,Instagram DM,PRD-7099,1,499,499,150,COD,Delivered,ESC-30173
ORD-10174,STR-505,2025-12-08,Myntra,PRD-5967,3,499,1497,60,Net Banking,Delivered,ESC-30174
ORD-10175,STR-501,2025-11-30,Amazon IN,PRD-6859,1,999,999,120,Credit Card,Delivered,ESC-30175
ORD-10176,STR-502,2025-08-08,Flipkart,PRD-6950,1,699,699,150,COD,In-Transit,ESC-30176
ORD-10177,STR-503,2025-09-30,POS Counter,PRD-5447,3,499,1497,0,Cash,Delivered,ESC-30177
ORD-10178,STR-504,2025-12-29,POS Counter,PRD-6871,4,2499,9996,0,Cash,Delivered,ESC-30178
ORD-10179,STR-505,2025-05-05,Instagram DM,PRD-7424,4,2499,9996,60,Credit Card,Delivered,ESC-30179
ORD-10180,STR-501,2026-01-05,POS Counter,PRD-5963,3,1499,4497,0,Cash,Delivered,ESC-30180
ORD-10181,STR-502,2025-05-21,Amazon IN,PRD-7284,4,1499,5996,60,Net Banking,In-Transit,ESC-30181
ORD-10182,STR-503,2026-03-29,Amazon IN,PRD-6224,2,699,1398,150,Net Banking,Delivered,ESC-30182
ORD-10183,STR-504,2025-12-14,Instagram DM,PRD-7410,4,999,3996,120,Net Banking,Delivered,ESC-30183
ORD-10184,STR-505,2025-05-02,Shopify Storefront,PRD-6754,3,499,1497,90,UPI,In-Transit,ESC-30184
ORD-10185,STR-501,2026-01-17,Instagram DM,PRD-5941,2,499,998,90,Credit Card,Delivered,ESC-30185
ORD-10186,STR-502,2025-11-21,Shopify Storefront,PRD-5854,1,999,999,120,COD,Delivered,ESC-30186
ORD-10187,STR-503,2025-07-06,Instagram DM,PRD-5412,3,999,2997,120,COD,Delivered,ESC-30187
ORD-10188,STR-504,2026-05-27,Instagram DM,PRD-5910,4,1499,5996,150,Net Banking,Delivered,ESC-30188
ORD-10189,STR-505,2025-05-13,Amazon IN,PRD-7111,2,999,1998,120,Credit Card,Returned,ESC-30189
ORD-10190,STR-501,2025-04-19,Instagram DM,PRD-5548,2,499,998,90,Credit Card,Delivered,ESC-30190
ORD-10191,STR-502,2025-04-05,Shopify Storefront,PRD-6545,1,499,499,180,Credit Card,Delivered,ESC-30191
ORD-10192,STR-503,2025-07-28,Instagram DM,PRD-7265,4,999,3996,60,Credit Card,Delivered,ESC-30192
ORD-10193,STR-504,2025-03-31,Instagram DM,PRD-6868,2,699,1398,120,COD,Delivered,ESC-30193
ORD-10194,STR-505,2025-09-30,Flipkart,PRD-5556,4,699,2796,180,UPI,Delivered,ESC-30194
ORD-10195,STR-501,2026-04-10,Flipkart,PRD-7269,2,3499,6998,60,COD,Delivered,ESC-30195
ORD-10196,STR-502,2025-05-04,Instagram DM,PRD-6921,2,499,998,150,Credit Card,Delivered,ESC-30196
ORD-10197,STR-503,2025-07-10,Shopify Storefront,PRD-6335,2,699,1398,90,Credit Card,Delivered,ESC-30197
ORD-10198,STR-504,2026-03-14,Amazon IN,PRD-7397,1,3499,3499,120,Credit Card,Delivered,ESC-30198
ORD-10199,STR-505,2025-06-20,Amazon IN,PRD-6490,2,2499,4998,180,Credit Card,Delivered,ESC-30199
ORD-10200,STR-501,2026-03-04,Shopify Storefront,PRD-7004,4,3499,13996,150,Credit Card,Delivered,ESC-30200
ORD-10201,STR-502,2025-09-11,Shopify Storefront,PRD-7339,3,999,2997,120,COD,Delivered,ESC-30201
ORD-10202,STR-503,2026-04-03,Myntra,PRD-7385,4,499,1996,90,Credit Card,Delivered,ESC-30202
ORD-10203,STR-504,2025-12-06,POS Counter,PRD-7441,4,2499,9996,0,Cash,Returned,ESC-30203
ORD-10204,STR-505,2025-04-26,POS Counter,PRD-7009,3,699,2097,0,Cash,Delivered,ESC-30204
ORD-10205,STR-501,2026-06-16,POS Counter,PRD-5536,2,499,998,0,Cash,Delivered,ESC-30205
ORD-10206,STR-502,2025-04-11,POS Counter,PRD-6493,4,3499,13996,0,Cash,Delivered,ESC-30206
ORD-10207,STR-503,2025-02-25,Myntra,PRD-5772,2,499,998,60,Net Banking,Delivered,ESC-30207
ORD-10208,STR-504,2026-04-22,Myntra,PRD-7063,4,999,3996,90,Net Banking,Delivered,ESC-30208
ORD-10209,STR-505,2025-08-31,Instagram DM,PRD-7192,4,499,1996,60,Credit Card,Delivered,ESC-30209
ORD-10210,STR-501,2026-02-02,Instagram DM,PRD-5336,3,499,1497,150,UPI,Delivered,ESC-30210
ORD-10211,STR-502,2025-04-06,Shopify Storefront,PRD-5612,2,3499,6998,180,Net Banking,Delivered,ESC-30211
ORD-10212,STR-503,2025-07-23,Flipkart,PRD-6136,2,499,998,180,Credit Card,Returned,ESC-30212
ORD-10213,STR-504,2025-08-04,Instagram DM,PRD-7431,4,499,1996,180,UPI,Delivered,ESC-30213
ORD-10214,STR-505,2025-06-05,Shopify Storefront,PRD-5849,2,499,998,150,COD,Delivered,ESC-30214
ORD-10215,STR-501,2025-04-28,Myntra,PRD-5366,1,499,499,150,COD,Delivered,ESC-30215
ORD-10216,STR-502,2025-05-04,Myntra,PRD-5131,4,699,2796,120,COD,Returned,ESC-30216
ORD-10217,STR-503,2025-10-28,Myntra,PRD-5789,4,1499,5996,120,Credit Card,Delivered,ESC-30217
ORD-10218,STR-504,2025-11-05,Myntra,PRD-5425,2,999,1998,90,UPI,Delivered,ESC-30218
ORD-10219,STR-505,2026-02-09,Instagram DM,PRD-7150,2,999,1998,60,Net Banking,Cancelled,ESC-30219
ORD-10220,STR-501,2025-05-12,Shopify Storefront,PRD-7423,2,3499,6998,120,Net Banking,Delivered,ESC-30220
ORD-10221,STR-502,2025-08-08,Instagram DM,PRD-7331,3,699,2097,180,COD,In-Transit,ESC-30221
ORD-10222,STR-503,2025-05-02,POS Counter,PRD-6129,2,1499,2998,0,Cash,Returned,ESC-30222
ORD-10223,STR-504,2025-12-01,Myntra,PRD-6502,4,999,3996,90,Credit Card,In-Transit,ESC-30223
ORD-10224,STR-505,2025-01-27,POS Counter,PRD-6974,1,1499,1499,0,Cash,Delivered,ESC-30224
ORD-10225,STR-501,2025-06-15,Flipkart,PRD-5946,4,999,3996,60,Credit Card,Delivered,ESC-30225
ORD-10226,STR-502,2025-03-29,Flipkart,PRD-6746,1,1499,1499,90,Credit Card,Delivered,ESC-30226
ORD-10227,STR-503,2025-04-20,Amazon IN,PRD-6309,3,699,2097,60,Credit Card,Delivered,ESC-30227
ORD-10228,STR-504,2025-09-13,Shopify Storefront,PRD-5511,1,2499,2499,120,COD,Returned,ESC-30228
ORD-10229,STR-505,2025-11-12,Myntra,PRD-5266,3,1499,4497,180,Net Banking,Delivered,ESC-30229
ORD-10230,STR-501,2025-09-10,Amazon IN,PRD-6965,1,699,699,120,COD,Delivered,ESC-30230
ORD-10231,STR-502,2025-03-02,Shopify Storefront,PRD-7107,1,499,499,90,UPI,Delivered,ESC-30231
ORD-10232,STR-503,2025-08-24,Shopify Storefront,PRD-6841,4,999,3996,60,COD,Delivered,ESC-30232
ORD-10233,STR-504,2025-01-14,Myntra,PRD-5400,3,1499,4497,60,Credit Card,Delivered,ESC-30233
ORD-10234,STR-505,2025-03-04,Flipkart,PRD-5346,2,2499,4998,60,COD,Delivered,ESC-30234
ORD-10235,STR-501,2026-04-19,Instagram DM,PRD-5939,3,499,1497,60,Net Banking,Delivered,ESC-30235
ORD-10236,STR-502,2025-11-04,POS Counter,PRD-6641,2,499,998,0,Cash,Delivered,ESC-30236
