shipment_id,order_id,carrier_name,tracking_number,promised_days,actual_days,shipping_cost_inr,sla_status
SHP-40220,ORD-10220,Delhivery Direct,TRK900220,2,2,120,SLA Met
SHP-40221,ORD-10221,Ecom Express,TRK900221,2,4,180,SLA Breached
SHP-40223,ORD-10223,BlueDart Express,TRK900223,4,5,90,SLA Breached
SHP-40225,ORD-10225,Ecom Express,TRK900225,2,2,60,SLA Met
SHP-40226,ORD-10226,XpressBees Surface,TRK900226,4,4,90,SLA Met
SHP-40227,ORD-10227,Delhivery Direct,TRK900227,4,4,60,SLA Met
SHP-40228,ORD-10228,Ecom Express,TRK900228,5,8,120,SLA Breached
SHP-40229,ORD-10229,BlueDart Express,TRK900229,5,5,180,SLA Met
SHP-40230,ORD-10230,Delhivery Direct,TRK900230,2,2,120,SLA Met
SHP-40231,ORD-10231,XpressBees Surface,TRK900231,5,5,90,SLA Met
SHP-40232,ORD-10232,XpressBees Surface,TRK900232,2,2,60,SLA Met
SHP-40233,ORD-10233,Shadowfax Surface,TRK900233,2,2,60,SLA Met
SHP-40234,ORD-10234,Delhivery Direct,TRK900234,3,3,60,SLA Met
SHP-40235,ORD-10235,Ecom Express,TRK900235,4,4,60,SLA Met
SHP-40237,ORD-10237,XpressBees Surface,TRK900237,5,5,120,SLA Met
SHP-40238,ORD-10238,XpressBees Surface,TRK900238,3,3,180,SLA Met
SHP-40242,ORD-10242,Delhivery Direct,TRK900242,2,2,120,SLA Met
SHP-40243,ORD-10243,Shadowfax Surface,TRK900243,2,3,150,SLA Breached
SHP-40244,ORD-10244,BlueDart Express,TRK900244,4,4,180,SLA Met
SHP-40245,ORD-10245,XpressBees Surface,TRK900245,4,4,180,SLA Met
SHP-40246,ORD-10246,Delhivery Direct,TRK900246,5,5,90,SLA Met
SHP-40247,ORD-10247,Ecom Express,TRK900247,3,5,150,SLA Breached
SHP-40248,ORD-10248,Shadowfax Surface,TRK900248,3,3,120,SLA Met
SHP-40250,ORD-10250,BlueDart Express,TRK900250,3,4,120,SLA Breached
SHP-40251,ORD-10251,BlueDart Express,TRK900251,2,2,90,SLA Met
SHP-40252,ORD-10252,BlueDart Express,TRK900252,5,5,60,SLA Met
SHP-40253,ORD-10253,XpressBees Surface,TRK900253,2,3,180,SLA Breached
SHP-40254,ORD-10254,XpressBees Surface,TRK900254,4,6,60,SLA Breached
SHP-40255,ORD-10255,Shadowfax Surface,TRK900255,2,2,180,SLA Met
SHP-40256,ORD-10256,Shadowfax Surface,TRK900256,5,6,60,SLA Breached
SHP-40257,ORD-10257,XpressBees Surface,TRK900257,5,5,150,SLA Met
SHP-40259,ORD-10259,Shadowfax Surface,TRK900259,2,2,180,SLA Met
SHP-40260,ORD-10260,BlueDart Express,TRK900260,3,3,150,SLA Met
SHP-40261,ORD-10261,XpressBees Surface,TRK900261,5,5,150,SLA Met
SHP-40263,ORD-10263,Shadowfax Surface,TRK900263,5,6,90,SLA Breached
SHP-40264,ORD-10264,Delhivery Direct,TRK900264,4,4,150,SLA Met
SHP-40266,ORD-10266,XpressBees Surface,TRK900266,5,5,180,SLA Met
SHP-40268,ORD-10268,Delhivery Direct,TRK900268,2,2,180,SLA Met
SHP-40269,ORD-10269,BlueDart Express,TRK900269,3,3,90,SLA Met
SHP-40270,ORD-10270,Delhivery Direct,TRK900270,3,3,150,SLA Met
SHP-40271,ORD-10271,Shadowfax Surface,TRK900271,4,7,120,SLA Breached
SHP-40273,ORD-10273,Ecom Express,TRK900273,5,5,120,SLA Met
SHP-40274,ORD-10274,XpressBees Surface,TRK900274,2,2,90,SLA Met
SHP-40275,ORD-10275,XpressBees Surface,TRK900275,5,5,120,SLA Met
SHP-40277,ORD-10277,Shadowfax Surface,TRK900277,5,5,180,SLA Met
SHP-40278,ORD-10278,Shadowfax Surface,TRK900278,4,4,60,SLA Met
SHP-40279,ORD-10279,Shadowfax Surface,TRK900279,5,5,180,SLA Met
SHP-40280,ORD-10280,Delhivery Direct,TRK900280,5,5,60,SLA Met
SHP-40281,ORD-10281,Delhivery Direct,TRK900281,3,3,150,SLA Met
SHP-40282,ORD-10282,Delhivery Direct,TRK900282,2,2,180,SLA Met
SHP-40283,ORD-10283,Ecom Express,TRK900283,4,4,120,SLA Met
SHP-40284,ORD-10284,Shadowfax Surface,TRK900284,5,5,150,SLA Met
SHP-40285,ORD-10285,XpressBees Surface,TRK900285,4,4,120,SLA Met
SHP-40286,ORD-10286,Ecom Express,TRK900286,2,2,90,SLA Met
SHP-40288,ORD-10288,XpressBees Surface,TRK900288,4,4,120,SLA Met
SHP-40291,ORD-10291,XpressBees Surface,TRK900291,4,4,150,SLA Met
SHP-40292,ORD-10292,Delhivery Direct,TRK900292,2,2,90,SLA Met
SHP-40293,ORD-10293,Ecom Express,TRK900293,5,5,60,SLA Met
SHP-40294,ORD-10294,Shadowfax Surface,TRK900294,2,2,90,SLA Met
SHP-40296,ORD-10296,Ecom Express,TRK900296,3,3,60,SLA Met
SHP-40298,ORD-10298,XpressBees Surface,TRK900298,4,4,120,SLA Met
SHP-40299,ORD-10299,Shadowfax Surface,TRK900299,4,4,180,SLA Met
SHP-40300,ORD-10300,Shadowfax Surface,TRK900300,5,5,120,SLA Met
SHP-40302,ORD-10302,Ecom Express,TRK900302,2,2,180,SLA Met
SHP-40303,ORD-10303,BlueDart Express,TRK900303,2,2,120,SLA Met
SHP-40304,ORD-10304,Delhivery Direct,TRK900304,2,2,120,SLA Met
SHP-40306,ORD-10306,Shadowfax Surface,TRK900306,3,3,180,SLA Met
SHP-40307,ORD-10307,Ecom Express,TRK900307,5,5,60,SLA Met
SHP-40308,ORD-10308,Shadowfax Surface,TRK900308,4,4,120,SLA Met
SHP-40309,ORD-10309,XpressBees Surface,TRK900309,5,5,90,SLA Met
SHP-40310,ORD-10310,BlueDart Express,TRK900310,2,2,120,SLA Met
SHP-40311,ORD-10311,Shadowfax Surface,TRK900311,3,4,150,SLA Breached
SHP-40312,ORD-10312,Ecom Express,TRK900312,3,6,60,SLA Breached
SHP-40313,ORD-10313,XpressBees Surface,TRK900313,3,3,120,SLA Met
SHP-40314,ORD-10314,BlueDart Express,TRK900314,2,2,90,SLA Met
SHP-40315,ORD-10315,XpressBees Surface,TRK900315,3,5,150,SLA Breached
SHP-40316,ORD-10316,Delhivery Direct,TRK900316,2,2,90,SLA Met
SHP-40318,ORD-10318,Delhivery Direct,TRK900318,5,9,60,SLA Breached
SHP-40319,ORD-10319,Delhivery Direct,TRK900319,4,4,120,SLA Met
SHP-40320,ORD-10320,Ecom Express,TRK900320,2,2,90,SLA Met
SHP-40321,ORD-10321,Delhivery Direct,TRK900321,4,4,120,SLA Met
SHP-40322,ORD-10322,Shadowfax Surface,TRK900322,4,4,150,SLA Met
SHP-40323,ORD-10323,Ecom Express,TRK900323,5,5,60,SLA Met
SHP-40324,ORD-10324,Delhivery Direct,TRK900324,2,2,150,SLA Met
SHP-40325,ORD-10325,XpressBees Surface,TRK900325,4,4,120,SLA Met
SHP-40326,ORD-10326,Shadowfax Surface,TRK900326,3,3,180,SLA Met
SHP-40327,ORD-10327,XpressBees Surface,TRK900327,3,3,150,SLA Met
SHP-40328,ORD-10328,Shadowfax Surface,TRK900328,2,2,180,SLA Met
SHP-40329,ORD-10329,Delhivery Direct,TRK900329,5,9,120,SLA Breached
SHP-40331,ORD-10331,BlueDart Express,TRK900331,2,5,60,SLA Breached
SHP-40332,ORD-10332,Shadowfax Surface,TRK900332,5,5,120,SLA Met
SHP-40333,ORD-10333,XpressBees Surface,TRK900333,2,2,150,SLA Met
SHP-40334,ORD-10334,XpressBees Surface,TRK900334,3,3,150,SLA Met
SHP-40335,ORD-10335,Shadowfax Surface,TRK900335,4,4,60,SLA Met
SHP-40336,ORD-10336,Shadowfax Surface,TRK900336,2,2,120,SLA Met
SHP-40337,ORD-10337,Delhivery Direct,TRK900337,4,8,90,SLA Breached
SHP-40338,ORD-10338,Shadowfax Surface,TRK900338,4,8,150,SLA Breached
SHP-40339,ORD-10339,Shadowfax Surface,TRK900339,3,6,120,SLA Breached
SHP-40340,ORD-10340,Ecom Express,TRK900340,4,4,180,SLA Met
SHP-40341,ORD-10341,Delhivery Direct,TRK900341,2,2,150,SLA Met
SHP-40342,ORD-10342,Delhivery Direct,TRK900342,3,7,180,SLA Breached
SHP-40343,ORD-10343,Delhivery Direct,TRK900343,5,5,60,SLA Met
SHP-40345,ORD-10345,XpressBees Surface,TRK900345,2,5,150,SLA Breached
SHP-40346,ORD-10346,Ecom Express,TRK900346,3,3,90,SLA Met
SHP-40348,ORD-10348,BlueDart Express,TRK900348,2,2,90,SLA Met
SHP-40349,ORD-10349,BlueDart Express,TRK900349,5,5,90,SLA Met
SHP-40350,ORD-10350,Shadowfax Surface,TRK900350,3,3,120,SLA Met
SHP-40351,ORD-10351,Ecom Express,TRK900351,5,5,120,SLA Met
SHP-40352,ORD-10352,BlueDart Express,TRK900352,3,6,120,SLA Breached
SHP-40354,ORD-10354,Shadowfax Surface,TRK900354,5,5,150,SLA Met
SHP-40355,ORD-10355,Delhivery Direct,TRK900355,3,3,120,SLA Met
SHP-40356,ORD-10356,Delhivery Direct,TRK900356,4,4,60,SLA Met
SHP-40358,ORD-10358,Ecom Express,TRK900358,5,5,120,SLA Met
SHP-40359,ORD-10359,BlueDart Express,TRK900359,4,4,60,SLA Met
SHP-40360,ORD-10360,XpressBees Surface,TRK900360,4,4,60,SLA Met
SHP-40361,ORD-10361,BlueDart Express,TRK900361,4,4,60,SLA Met
SHP-40362,ORD-10362,Delhivery Direct,TRK900362,4,4,180,SLA Met
SHP-40363,ORD-10363,BlueDart Express,TRK900363,4,5,150,SLA Breached
SHP-40364,ORD-10364,XpressBees Surface,TRK900364,2,4,180,SLA Breached
SHP-40365,ORD-10365,Delhivery Direct,TRK900365,4,4,60,SLA Met
SHP-40366,ORD-10366,BlueDart Express,TRK900366,4,7,120,SLA Breached
SHP-40367,ORD-10367,Delhivery Direct,TRK900367,2,2,60,SLA Met
SHP-40368,ORD-10368,Delhivery Direct,TRK900368,2,2,60,SLA Met
SHP-40369,ORD-10369,BlueDart Express,TRK900369,4,6,60,SLA Breached
SHP-40370,ORD-10370,Ecom Express,TRK900370,5,5,120,SLA Met
SHP-40371,ORD-10371,Delhivery Direct,TRK900371,4,4,60,SLA Met
SHP-40372,ORD-10372,Delhivery Direct,TRK900372,3,6,120,SLA Breached
SHP-40373,ORD-10373,BlueDart Express,TRK900373,3,3,60,SLA Met
SHP-40374,ORD-10374,Delhivery Direct,TRK900374,5,5,60,SLA Met
SHP-40378,ORD-10378,Shadowfax Surface,TRK900378,5,5,180,SLA Met
SHP-40379,ORD-10379,Ecom Express,TRK900379,3,3,150,SLA Met
SHP-40380,ORD-10380,Delhivery Direct,TRK900380,2,4,120,SLA Breached
SHP-40381,ORD-10381,BlueDart Express,TRK900381,5,5,90,SLA Met
SHP-40382,ORD-10382,Delhivery Direct,TRK900382,5,5,120,SLA Met
SHP-40383,ORD-10383,Shadowfax Surface,TRK900383,4,4,60,SLA Met
SHP-40384,ORD-10384,Ecom Express,TRK900384,2,2,150,SLA Met
SHP-40385,ORD-10385,XpressBees Surface,TRK900385,5,5,150,SLA Met
SHP-40386,ORD-10386,Delhivery Direct,TRK900386,4,4,180,SLA Met
SHP-40387,ORD-10387,XpressBees Surface,TRK900387,3,3,150,SLA Met
SHP-40388,ORD-10388,Delhivery Direct,TRK900388,3,3,90,SLA Met
SHP-40389,ORD-10389,Delhivery Direct,TRK900389,2,2,120,SLA Met
SHP-40390,ORD-10390,BlueDart Express,TRK900390,2,2,60,SLA Met
SHP-40391,ORD-10391,Ecom Express,TRK900391,3,7,90,SLA Breached
SHP-40394,ORD-10394,Ecom Express,TRK900394,3,3,60,SLA Met
SHP-40395,ORD-10395,Delhivery Direct,TRK900395,2,2,60,SLA Met
SHP-40396,ORD-10396,BlueDart Express,TRK900396,2,2,60,SLA Met
SHP-40397,ORD-10397,Ecom Express,TRK900397,5,5,180,SLA Met
SHP-40399,ORD-10399,Ecom Express,TRK900399,5,9,150,SLA Breached
SHP-40400,ORD-10400,Shadowfax Surface,TRK900400,2,2,60,SLA Met
SHP-40401,ORD-10401,BlueDart Express,TRK900401,4,6,150,SLA Breached
SHP-40402,ORD-10402,BlueDart Express,TRK900402,3,3,180,SLA Met
SHP-40403,ORD-10403,Ecom Express,TRK900403,4,6,60,SLA Breached
SHP-40404,ORD-10404,XpressBees Surface,TRK900404,2,2,90,SLA Met
SHP-40405,ORD-10405,Shadowfax Surface,TRK900405,2,6,90,SLA Breached
SHP-40407,ORD-10407,BlueDart Express,TRK900407,3,3,60,SLA Met
SHP-40409,ORD-10409,Ecom Express,TRK900409,4,7,60,SLA Breached
SHP-40410,ORD-10410,Shadowfax Surface,TRK900410,4,4,120,SLA Met
SHP-40411,ORD-10411,Ecom Express,TRK900411,4,8,180,SLA Breached
SHP-40412,ORD-10412,Shadowfax Surface,TRK900412,4,4,120,SLA Met
