escrow_txn_id,reference_type,reference_id,buyer_id,seller_or_vendor_id,amount_inr,hold_date,release_date,status,milestone_trigger
ESC-30076,Order Purchase,ORD-10076,CUST-1076,STR-502,499,2025-01-12,2025-01-12,Released,Delivery Audit Confirmed
ESC-30077,Order Purchase,ORD-10077,CUST-1077,STR-503,9996,2025-07-14,2025-07-14,Released,Delivery Audit Confirmed
ESC-30078,Order Purchase,ORD-10078,CUST-1078,STR-504,2499,2025-12-28,2025-12-28,Released,Delivery Audit Confirmed
ESC-30079,Order Purchase,ORD-10079,CUST-1079,STR-505,3996,2025-06-01,2025-06-01,Released,Delivery Audit Confirmed
ESC-30080,Order Purchase,ORD-10080,CUST-1080,STR-501,1996,2025-02-13,2025-02-13,Released,Delivery Audit Confirmed
ESC-30081,Order Purchase,ORD-10081,CUST-1081,STR-502,2998,2025-02-20,2025-02-20,Released,Delivery Audit Confirmed
ESC-30082,Order Purchase,ORD-10082,CUST-1082,STR-503,699,2025-06-03,2025-06-03,Released,Delivery Audit Confirmed
ESC-30083,Order Purchase,ORD-10083,CUST-1083,STR-504,2997,2026-01-14,2026-01-14,Released,Delivery Audit Confirmed
ESC-30084,Order Purchase,ORD-10084,CUST-1084,STR-505,2998,2025-02-24,2025-02-24,Released,Delivery Audit Confirmed
ESC-30085,Order Purchase,ORD-10085,CUST-1085,STR-501,499,2026-06-23,2026-06-23,Released,Delivery Audit Confirmed
ESC-30086,Order Purchase,ORD-10086,CUST-1086,STR-502,7497,2025-02-18,2025-02-18,Released,Delivery Audit Confirmed
ESC-30087,Order Purchase,ORD-10087,CUST-1087,STR-503,2998,2026-05-01,2026-05-01,Released,Delivery Audit Confirmed
ESC-30088,Order Purchase,ORD-10088,CUST-1088,STR-504,10497,2025-03-09,2025-03-09,Released,Delivery Audit Confirmed
ESC-30089,Order Purchase,ORD-10089,CUST-1089,STR-505,998,2025-11-11,2025-11-11,Released,Delivery Audit Confirmed
ESC-30090,Order Purchase,ORD-10090,CUST-1090,STR-501,2997,2026-03-18,2026-03-18,Released,Delivery Audit Confirmed
ESC-30091,Order Purchase,ORD-10091,CUST-1091,STR-502,2796,2025-02-11,2025-02-11,Released,Delivery Audit Confirmed
ESC-30092,Order Purchase,ORD-10092,CUST-1092,STR-503,7497,2026-02-17,2026-02-17,Released,Delivery Audit Confirmed
ESC-30093,Order Purchase,ORD-10093,CUST-1093,STR-504,1499,2025-10-28,2025-10-28,Released,Delivery Audit Confirmed
ESC-30094,Order Purchase,ORD-10094,CUST-1094,STR-505,699,2026-02-26,2026-02-26,Released,Delivery Audit Confirmed
ESC-30095,Order Purchase,ORD-10095,CUST-1095,STR-501,9996,2025-12-06,2025-12-06,Released,Delivery Audit Confirmed
ESC-30096,Order Purchase,ORD-10096,CUST-1096,STR-502,1998,2025-09-02,2025-09-02,Released,Delivery Audit Confirmed
ESC-30097,Order Purchase,ORD-10097,CUST-1097,STR-503,10497,2026-06-23,2026-06-23,Released,Delivery Audit Confirmed
ESC-30098,Order Purchase,ORD-10098,CUST-1098,STR-504,9996,2025-04-03,2025-04-03,Released,Delivery Audit Confirmed
ESC-30099,Order Purchase,ORD-10099,CUST-1099,STR-505,2796,2025-04-04,2025-04-04,Released,Delivery Audit Confirmed
ESC-30100,Order Purchase,ORD-10100,CUST-1100,STR-501,2499,2026-02-21,2026-02-21,Released,Delivery Audit Confirmed
ESC-30101,Order Purchase,ORD-10101,CUST-1101,STR-502,9996,2025-04-08,2025-04-08,Released,Delivery Audit Confirmed
ESC-30102,Order Purchase,ORD-10102,CUST-1102,STR-503,999,2025-01-28,2025-01-28,Released,Delivery Audit Confirmed
ESC-30103,Order Purchase,ORD-10103,CUST-1103,STR-504,3996,2026-01-22,PENDING,Refunded,Delivery Audit Confirmed
ESC-30104,Order Purchase,ORD-10104,CUST-1104,STR-505,2097,2025-08-07,2025-08-07,Released,Delivery Audit Confirmed
ESC-30105,Order Purchase,ORD-10105,CUST-1105,STR-501,1497,2026-06-23,2026-06-23,Released,Delivery Audit Confirmed
ESC-30106,Order Purchase,ORD-10106,CUST-1106,STR-502,2998,2026-05-04,2026-05-04,Released,Delivery Audit Confirmed
ESC-30107,Order Purchase,ORD-10107,CUST-1107,STR-503,2998,2026-06-02,2026-06-02,Released,Delivery Audit Confirmed
ESC-30108,Order Purchase,ORD-10108,CUST-1108,STR-504,999,2025-12-12,2025-12-12,Released,Delivery Audit Confirmed
ESC-30109,Order Purchase,ORD-10109,CUST-1109,STR-505,2097,2026-01-11,2026-01-11,Released,Delivery Audit Confirmed
ESC-30110,Order Purchase,ORD-10110,CUST-1110,STR-501,1996,2025-04-09,PENDING,Held,Delivery Audit Confirmed
ESC-30111,Order Purchase,ORD-10111,CUST-1111,STR-502,499,2026-02-04,2026-02-04,Released,Delivery Audit Confirmed
ESC-30112,Order Purchase,ORD-10112,CUST-1112,STR-503,1998,2025-08-06,2025-08-06,Released,Delivery Audit Confirmed
ESC-30113,Order Purchase,ORD-10113,CUST-1113,STR-504,1499,2025-07-07,2025-07-07,Released,Delivery Audit Confirmed
ESC-30114,Order Purchase,ORD-10114,CUST-1114,STR-505,10497,2025-08-04,2025-08-04,Released,Delivery Audit Confirmed
ESC-30115,Order Purchase,ORD-10115,CUST-1115,STR-501,2097,2026-04-04,2026-04-04,Released,Delivery Audit Confirmed
ESC-30116,Order Purchase,ORD-10116,CUST-1116,STR-502,1398,2025-05-20,2025-05-20,Released,Delivery Audit Confirmed
ESC-30117,Order Purchase,ORD-10117,CUST-1117,STR-503,7497,2025-01-19,2025-01-19,Released,Delivery Audit Confirmed
ESC-30118,Order Purchase,ORD-10118,CUST-1118,STR-504,7497,2025-07-06,2025-07-06,Released,Delivery Audit Confirmed
ESC-30119,Order Purchase,ORD-10119,CUST-1119,STR-505,1996,2026-01-20,2026-01-20,Released,Delivery Audit Confirmed
ESC-30120,Order Purchase,ORD-10120,CUST-1120,STR-501,1398,2026-01-29,2026-01-29,Released,Delivery Audit Confirmed
ESC-30121,Order Purchase,ORD-10121,CUST-1121,STR-502,699,2025-07-19,PENDING,Held,Delivery Audit Confirmed
ESC-30122,Order Purchase,ORD-10122,CUST-1122,STR-503,5996,2025-08-17,2025-08-17,Released,Delivery Audit Confirmed
ESC-30123,Order Purchase,ORD-10123,CUST-1123,STR-504,1499,2026-04-30,2026-04-30,Released,Delivery Audit Confirmed
ESC-30124,Order Purchase,ORD-10124,CUST-1124,STR-505,6998,2025-02-01,2025-02-01,Released,Delivery Audit Confirmed
ESC-30125,Order Purchase,ORD-10125,CUST-1125,STR-501,10497,2025-08-14,2025-08-14,Released,Delivery Audit Confirmed
ESC-30126,Order Purchase,ORD-10126,CUST-1126,STR-502,699,2025-01-04,2025-01-04,Released,Delivery Audit Confirmed
ESC-30127,Order Purchase,ORD-10127,CUST-1127,STR-503,13996,2026-01-03,2026-01-03,Released,Delivery Audit Confirmed
ESC-30128,Order Purchase,ORD-10128,CUST-1128,STR-504,699,2026-01-23,2026-01-23,Released,Delivery Audit Confirmed
ESC-30129,Order Purchase,ORD-10129,CUST-1129,STR-505,1497,2025-07-14,2025-07-14,Released,Delivery Audit Confirmed
ESC-30130,Order Purchase,ORD-10130,CUST-1130,STR-501,7497,2025-06-02,2025-06-02,Released,Delivery Audit Confirmed
ESC-30131,Order Purchase,ORD-10131,CUST-1131,STR-502,2796,2025-02-11,2025-02-11,Released,Delivery Audit Confirmed
ESC-30132,Order Purchase,ORD-10132,CUST-1132,STR-503,499,2026-02-05,2026-02-05,Released,Delivery Audit Confirmed
ESC-30133,Order Purchase,ORD-10133,CUST-1133,STR-504,1499,2025-12-09,2025-12-09,Released,Delivery Audit Confirmed
ESC-30134,Order Purchase,ORD-10134,CUST-1134,STR-505,3499,2025-10-28,2025-10-28,Released,Delivery Audit Confirmed
ESC-30135,Order Purchase,ORD-10135,CUST-1135,STR-501,13996,2025-07-20,2025-07-20,Released,Delivery Audit Confirmed
ESC-30136,Order Purchase,ORD-10136,CUST-1136,STR-502,5996,2025-10-04,2025-10-04,Released,Delivery Audit Confirmed
ESC-30137,Order Purchase,ORD-10137,CUST-1137,STR-503,13996,2025-05-24,2025-05-24,Released,Delivery Audit Confirmed
ESC-30138,Order Purchase,ORD-10138,CUST-1138,STR-504,4998,2026-05-01,2026-05-01,Released,Delivery Audit Confirmed
ESC-30139,Order Purchase,ORD-10139,CUST-1139,STR-505,1497,2026-02-11,2026-02-11,Released,Delivery Audit Confirmed
ESC-30140,Order Purchase,ORD-10140,CUST-1140,STR-501,1398,2025-05-16,2025-05-16,Released,Delivery Audit Confirmed
ESC-30141,Order Purchase,ORD-10141,CUST-1141,STR-502,499,2025-01-11,2025-01-11,Released,Delivery Audit Confirmed
ESC-30142,Order Purchase,ORD-10142,CUST-1142,STR-503,2998,2025-01-01,2025-01-01,Released,Delivery Audit Confirmed
ESC-30143,Order Purchase,ORD-10143,CUST-1143,STR-504,1398,2025-12-20,PENDING,Held,Delivery Audit Confirmed
ESC-30144,Order Purchase,ORD-10144,CUST-1144,STR-505,1497,2025-02-20,2025-02-20,Released,Delivery Audit Confirmed
ESC-30145,Order Purchase,ORD-10145,CUST-1145,STR-501,699,2026-03-18,2026-03-18,Released,Delivery Audit Confirmed
ESC-30146,Order Purchase,ORD-10146,CUST-1146,STR-502,2998,2026-04-27,PENDING,Refunded,Delivery Audit Confirmed
ESC-30147,Order Purchase,ORD-10147,CUST-1147,STR-503,998,2025-04-05,2025-04-05,Released,Delivery Audit Confirmed
ESC-30148,Order Purchase,ORD-10148,CUST-1148,STR-504,2796,2025-12-15,PENDING,Held,Delivery Audit Confirmed
ESC-30149,Order Purchase,ORD-10149,CUST-1149,STR-505,1996,2025-07-01,2025-07-01,Released,Delivery Audit Confirmed
ESC-30150,Order Purchase,ORD-10150,CUST-1150,STR-501,5996,2026-05-20,2026-05-20,Released,Delivery Audit Confirmed
ESC-30151,Order Purchase,ORD-10151,CUST-1151,STR-502,998,2026-05-24,2026-05-24,Released,Delivery Audit Confirmed
ESC-30152,Order Purchase,ORD-10152,CUST-1152,STR-503,998,2025-01-03,2025-01-03,Released,Delivery Audit Confirmed
ESC-30153,Order Purchase,ORD-10153,CUST-1153,STR-504,1497,2025-06-13,PENDING,Refunded,Delivery Audit Confirmed
ESC-30154,Order Purchase,ORD-10154,CUST-1154,STR-505,998,2025-06-03,2025-06-03,Released,Delivery Audit Confirmed
ESC-30155,Order Purchase,ORD-10155,CUST-1155,STR-501,2097,2025-02-10,2025-02-10,Released,Delivery Audit Confirmed
ESC-30156,Order Purchase,ORD-10156,CUST-1156,STR-502,2499,2025-05-10,PENDING,Refunded,Delivery Audit Confirmed
ESC-30157,Order Purchase,ORD-10157,CUST-1157,STR-503,3499,2025-11-02,2025-11-02,Released,Delivery Audit Confirmed
ESC-30158,Order Purchase,ORD-10158,CUST-1158,STR-504,1398,2026-03-28,2026-03-28,Released,Delivery Audit Confirmed
ESC-30159,Order Purchase,ORD-10159,CUST-1159,STR-505,4497,2025-07-11,2025-07-11,Released,Delivery Audit Confirmed
ESC-30160,Order Purchase,ORD-10160,CUST-1160,STR-501,4998,2026-05-20,2026-05-20,Released,Delivery Audit Confirmed
ESC-30161,Order Purchase,ORD-10161,CUST-1161,STR-502,2998,2025-11-24,2025-11-24,Released,Delivery Audit Confirmed
ESC-30162,Order Purchase,ORD-10162,CUST-1162,STR-503,1497,2025-07-10,2025-07-10,Released,Delivery Audit Confirmed
ESC-30163,Order Purchase,ORD-10163,CUST-1163,STR-504,9996,2026-01-26,2026-01-26,Released,Delivery Audit Confirmed
ESC-30164,Order Purchase,ORD-10164,CUST-1164,STR-505,2997,2025-06-30,PENDING,Refunded,Delivery Audit Confirmed
ESC-30165,Order Purchase,ORD-10165,CUST-1165,STR-501,7497,2026-02-08,2026-02-08,Released,Delivery Audit Confirmed
ESC-30166,Order Purchase,ORD-10166,CUST-1166,STR-502,4497,2025-09-10,2025-09-10,Released,Delivery Audit Confirmed
ESC-30167,Order Purchase,ORD-10167,CUST-1167,STR-503,3499,2026-02-19,2026-02-19,Released,Delivery Audit Confirmed
ESC-30168,Order Purchase,ORD-10168,CUST-1168,STR-504,10497,2025-12-02,PENDING,Refunded,Delivery Audit Confirmed
ESC-30169,Order Purchase,ORD-10169,CUST-1169,STR-505,2796,2026-05-10,PENDING,Refunded,Delivery Audit Confirmed
ESC-30170,Order Purchase,ORD-10170,CUST-1170,STR-501,6998,2025-06-25,2025-06-25,Released,Delivery Audit Confirmed
ESC-30171,Order Purchase,ORD-10171,CUST-1171,STR-502,3996,2025-08-17,PENDING,Refunded,Delivery Audit Confirmed
ESC-30172,Order Purchase,ORD-10172,CUST-1172,STR-503,4497,2025-11-29,2025-11-29,Released,Delivery Audit Confirmed
ESC-30173,Order Purchase,ORD-10173,CUST-1173,STR-504,499,2025-05-03,2025-05-03,Released,Delivery Audit Confirmed
ESC-30174,Order Purchase,ORD-10174,CUST-1174,STR-505,1497,2025-12-08,2025-12-08,Released,Delivery Audit Confirmed
ESC-30175,Order Purchase,ORD-10175,CUST-1175,STR-501,999,2025-11-30,2025-11-30,Released,Delivery Audit Confirmed
ESC-30176,Order Purchase,ORD-10176,CUST-1176,STR-502,699,2025-08-08,PENDING,Held,Delivery Audit Confirmed
ESC-30177,Order Purchase,ORD-10177,CUST-1177,STR-503,1497,2025-09-30,2025-09-30,Released,Delivery Audit Confirmed
ESC-30178,Order Purchase,ORD-10178,CUST-1178,STR-504,9996,2025-12-29,2025-12-29,Released,Delivery Audit Confirmed
ESC-30179,Order Purchase,ORD-10179,CUST-1179,STR-505,9996,2025-05-05,2025-05-05,Released,Delivery Audit Confirmed
ESC-30180,Order Purchase,ORD-10180,CUST-1180,STR-501,4497,2026-01-05,2026-01-05,Released,Delivery Audit Confirmed
ESC-30181,Order Purchase,ORD-10181,CUST-1181,STR-502,5996,2025-05-21,PENDING,Held,Delivery Audit Confirmed
ESC-30182,Order Purchase,ORD-10182,CUST-1182,STR-503,1398,2026-03-29,2026-03-29,Released,Delivery Audit Confirmed
ESC-30183,Order Purchase,ORD-10183,CUST-1183,STR-504,3996,2025-12-14,2025-12-14,Released,Delivery Audit Confirmed
ESC-30184,Order Purchase,ORD-10184,CUST-1184,STR-505,1497,2025-05-02,PENDING,Held,Delivery Audit Confirmed
ESC-30185,Order Purchase,ORD-10185,CUST-1185,STR-501,998,2026-01-17,2026-01-17,Released,Delivery Audit Confirmed
ESC-30186,Order Purchase,ORD-10186,CUST-1186,STR-502,999,2025-11-21,2025-11-21,Released,Delivery Audit Confirmed
ESC-30187,Order Purchase,ORD-10187,CUST-1187,STR-503,2997,2025-07-06,2025-07-06,Released,Delivery Audit Confirmed
ESC-30188,Order Purchase,ORD-10188,CUST-1188,STR-504,5996,2026-05-27,2026-05-27,Released,Delivery Audit Confirmed
ESC-30189,Order Purchase,ORD-10189,CUST-1189,STR-505,1998,2025-05-13,PENDING,Refunded,Delivery Audit Confirmed
ESC-30190,Order Purchase,ORD-10190,CUST-1190,STR-501,998,2025-04-19,2025-04-19,Released,Delivery Audit Confirmed
ESC-30191,Order Purchase,ORD-10191,CUST-1191,STR-502,499,2025-04-05,2025-04-05,Released,Delivery Audit Confirmed
ESC-30192,Order Purchase,ORD-10192,CUST-1192,STR-503,3996,2025-07-28,2025-07-28,Released,Delivery Audit Confirmed
ESC-30193,Order Purchase,ORD-10193,CUST-1193,STR-504,1398,2025-03-31,2025-03-31,Released,Delivery Audit Confirmed
ESC-30194,Order Purchase,ORD-10194,CUST-1194,STR-505,2796,2025-09-30,2025-09-30,Released,Delivery Audit Confirmed
ESC-30195,Order Purchase,ORD-10195,CUST-1195,STR-501,6998,2026-04-10,2026-04-10,Released,Delivery Audit Confirmed
ESC-30196,Order Purchase,ORD-10196,CUST-1196,STR-502,998,2025-05-04,2025-05-04,Released,Delivery Audit Confirmed
ESC-30197,Order Purchase,ORD-10197,CUST-1197,STR-503,1398,2025-07-10,2025-07-10,Released,Delivery Audit Confirmed
ESC-30198,Order Purchase,ORD-10198,CUST-1198,STR-504,3499,2026-03-14,2026-03-14,Released,Delivery Audit Confirmed
ESC-30199,Order Purchase,ORD-10199,CUST-1199,STR-505,4998,2025-06-20,2025-06-20,Released,Delivery Audit Confirmed
ESC-30200,Order Purchase,ORD-10200,CUST-1200,STR-501,13996,2026-03-04,2026-03-04,Released,Delivery Audit Confirmed
ESC-30201,Order Purchase,ORD-10201,CUST-1201,STR-502,2997,2025-09-11,2025-09-11,Released,Delivery Audit Confirmed
ESC-30202,Order Purchase,ORD-10202,CUST-1202,STR-503,1996,2026-04-03,2026-04-03,Released,Delivery Audit Confirmed
ESC-30203,Order Purchase,ORD-10203,CUST-1203,STR-504,9996,2025-12-06,PENDING,Refunded,Delivery Audit Confirmed
ESC-30204,Order Purchase,ORD-10204,CUST-1204,STR-505,2097,2025-04-26,2025-04-26,Released,Delivery Audit Confirmed
ESC-30205,Order Purchase,ORD-10205,CUST-1205,STR-501,998,2026-06-16,2026-06-16,Released,Delivery Audit Confirmed
ESC-30206,Order Purchase,ORD-10206,CUST-1206,STR-502,13996,2025-04-11,2025-04-11,Released,Delivery Audit Confirmed
ESC-30207,Order Purchase,ORD-10207,CUST-1207,STR-503,998,2025-02-25,2025-02-25,Released,Delivery Audit Confirmed
ESC-30208,Order Purchase,ORD-10208,CUST-1208,STR-504,3996,2026-04-22,2026-04-22,Released,Delivery Audit Confirmed
ESC-30209,Order Purchase,ORD-10209,CUST-1209,STR-505,1996,2025-08-31,2025-08-31,Released,Delivery Audit Confirmed
ESC-30210,Order Purchase,ORD-10210,CUST-1210,STR-501,1497,2026-02-02,2026-02-02,Released,Delivery Audit Confirmed
ESC-30211,Order Purchase,ORD-10211,CUST-1211,STR-502,6998,2025-04-06,2025-04-06,Released,Delivery Audit Confirmed
