logistics_id,order_id,carrier_name,dispatch_date,estimated_days,actual_days,shipping_cost_inr,delivery_status
LOG-7029,ORD-6024,Ecom Express,2025-04-12,5,7,749.9,Delayed
LOG-7030,ORD-6508,Ecom Express,2025-09-27,6,8,91.38,Delayed
LOG-7031,ORD-5237,Shadowfax B2B,2025-03-07,3,6,431.45,Delayed
LOG-7032,ORD-6107,BlueDart Express,2025-04-20,3,4,625.99,Yes
LOG-7033,ORD-5795,XpressBees,2025-01-04,2,3,190.8,Yes
LOG-7034,ORD-7473,Shadowfax B2B,2025-06-08,3,5,498.32,Delayed
LOG-7035,ORD-5929,Shadowfax B2B,2025-07-27,3,4,391.05,Yes
LOG-7036,ORD-7326,Shadowfax B2B,2025-08-15,2,3,418.91,Yes
LOG-7037,ORD-5092,Delhivery Surface,2025-12-08,2,1,690.78,Yes
LOG-7038,ORD-5936,Ecom Express,2025-11-18,5,6,446.9,Yes
LOG-7039,ORD-5629,Shadowfax B2B,2025-01-13,6,6,732.27,Yes
LOG-7040,ORD-6404,Delhivery Surface,2025-12-09,5,5,678.88,Yes
LOG-7041,ORD-6929,XpressBees,2025-05-16,2,2,671.59,Yes
LOG-7042,ORD-7143,Shadowfax B2B,2025-08-08,6,5,121.04,Yes
LOG-7043,ORD-5518,Delhivery Surface,2025-04-11,3,2,242.06,Yes
LOG-7044,ORD-5682,Ecom Express,2025-03-23,5,4,697.06,Yes
LOG-7045,ORD-7399,Shadowfax B2B,2025-11-25,6,9,616.16,Delayed
LOG-7046,ORD-5602,Ecom Express,2025-11-13,4,6,733.95,Delayed
LOG-7047,ORD-6305,Shadowfax B2B,2025-05-16,4,6,691.15,Delayed
LOG-7048,ORD-5880,Delhivery Surface,2025-07-11,4,5,257.62,Yes
LOG-7049,ORD-5313,BlueDart Express,2025-09-24,2,5,519.36,Delayed
LOG-7050,ORD-6404,BlueDart Express,2025-04-20,5,7,189.43,Delayed
LOG-7051,ORD-5075,Ecom Express,2025-03-15,2,2,441.31,Yes
LOG-7052,ORD-7212,BlueDart Express,2025-10-31,3,5,637.88,Delayed
LOG-7053,ORD-6757,XpressBees,2025-06-04,2,5,597.23,Delayed
LOG-7054,ORD-6145,Shadowfax B2B,2025-02-11,4,6,522.82,Delayed
LOG-7055,ORD-5680,BlueDart Express,2025-02-08,4,7,228.24,Delayed
LOG-7056,ORD-5996,Ecom Express,2025-05-17,2,1,136.79,Yes
LOG-7057,ORD-6815,Delhivery Surface,2025-10-05,3,5,67.88,Delayed
LOG-7058,ORD-5007,XpressBees,2025-09-04,5,6,383.41,Yes
LOG-7059,ORD-6978,BlueDart Express,2025-10-21,2,4,516.37,Delayed
LOG-7060,ORD-6980,Shadowfax B2B,2025-02-25,6,6,595.08,Yes
LOG-7061,ORD-6546,Delhivery Surface,2025-11-06,4,3,393.4,Yes
LOG-7062,ORD-6978,BlueDart Express,2025-11-22,5,5,721.34,Yes
LOG-7063,ORD-7044,Delhivery Surface,2025-01-22,4,7,421.25,Delayed
LOG-7064,ORD-7115,Shadowfax B2B,2025-10-15,2,3,131.05,Yes
LOG-7065,ORD-6598,XpressBees,2025-04-24,2,2,671.37,Yes
LOG-7066,ORD-5663,Shadowfax B2B,2025-06-02,4,6,237.12,Delayed
LOG-7067,ORD-6759,Shadowfax B2B,2025-06-02,2,5,482.88,Delayed
LOG-7068,ORD-6644,BlueDart Express,2025-06-15,3,6,530.39,Delayed
LOG-7069,ORD-6585,Ecom Express,2025-10-19,2,5,556.33,Delayed
LOG-7070,ORD-6993,BlueDart Express,2025-04-28,4,4,292.04,Yes
LOG-7071,ORD-5469,XpressBees,2025-08-19,2,1,441.09,Yes
LOG-7072,ORD-6531,XpressBees,2025-10-21,2,2,334.0,Yes
LOG-7073,ORD-7232,Delhivery Surface,2025-10-24,5,7,718.59,Delayed
LOG-7074,ORD-6894,Ecom Express,2025-03-31,2,3,696.37,Yes
LOG-7075,ORD-5275,XpressBees,2025-05-08,5,5,598.86,Yes
LOG-7076,ORD-6397,Delhivery Surface,2025-07-25,2,2,180.22,Yes
LOG-7077,ORD-6735,XpressBees,2025-01-13,6,9,374.29,Delayed
LOG-7078,ORD-6132,XpressBees,2025-01-06,3,6,220.01,Delayed
LOG-7079,ORD-6508,XpressBees,2025-04-29,6,7,192.57,Yes
LOG-7080,ORD-5339,BlueDart Express,2025-07-29,4,6,225.13,Delayed
LOG-7081,ORD-6337,BlueDart Express,2025-09-03,4,5,693.61,Yes
LOG-7082,ORD-6546,XpressBees,2025-04-22,4,3,77.94,Yes
LOG-7083,ORD-5668,BlueDart Express,2025-06-05,2,1,163.87,Yes
LOG-7084,ORD-7225,Delhivery Surface,2025-04-07,2,5,287.99,Delayed
LOG-7085,ORD-7103,XpressBees,2025-09-04,6,9,68.23,Delayed
LOG-7086,ORD-5904,Ecom Express,2025-11-05,5,4,400.02,Yes
LOG-7087,ORD-7020,BlueDart Express,2025-09-06,2,2,82.53,Yes
LOG-7088,ORD-6683,XpressBees,2025-08-20,2,5,269.39,Delayed
LOG-7089,ORD-5531,Ecom Express,2025-07-15,2,3,124.32,Yes
LOG-7090,ORD-6607,Ecom Express,2025-10-04,3,6,467.51,Delayed
LOG-7091,ORD-5856,Delhivery Surface,2025-08-18,5,8,238.62,Delayed
LOG-7092,ORD-7283,Shadowfax B2B,2025-07-26,5,7,657.31,Delayed
LOG-7093,ORD-6785,BlueDart Express,2025-01-05,5,6,214.86,Yes
LOG-7094,ORD-6330,XpressBees,2025-08-21,3,2,500.95,Yes
LOG-7095,ORD-6936,Delhivery Surface,2025-01-23,3,3,182.16,Yes
LOG-7096,ORD-7377,Shadowfax B2B,2025-08-20,4,6,678.33,Delayed
LOG-7097,ORD-6082,Ecom Express,2025-03-01,2,3,434.56,Yes
LOG-7098,ORD-7185,BlueDart Express,2025-10-28,4,6,560.5,Delayed
LOG-7099,ORD-5890,BlueDart Express,2025-10-05,2,3,327.04,Yes
LOG-7100,ORD-6397,Ecom Express,2025-03-25,5,4,373.96,Yes
LOG-7101,ORD-7391,Ecom Express,2025-10-24,4,6,345.35,Delayed
LOG-7102,ORD-5481,BlueDart Express,2025-02-25,2,4,717.82,Delayed
LOG-7103,ORD-7360,Shadowfax B2B,2025-07-20,4,6,309.82,Delayed
LOG-7104,ORD-6439,Shadowfax B2B,2025-06-24,5,5,413.1,Yes
LOG-7105,ORD-6868,Delhivery Surface,2025-03-27,5,8,204.96,Delayed
LOG-7106,ORD-7077,Ecom Express,2025-05-18,2,2,460.18,Yes
LOG-7107,ORD-7494,XpressBees,2025-05-13,5,8,652.21,Delayed
LOG-7108,ORD-6708,BlueDart Express,2025-08-11,5,8,562.95,Delayed
LOG-7109,ORD-5746,Shadowfax B2B,2025-02-04,3,6,151.23,Delayed
LOG-7110,ORD-6679,XpressBees,2025-09-01,2,5,589.6,Delayed
LOG-7111,ORD-6814,Shadowfax B2B,2025-08-22,5,8,318.46,Delayed
LOG-7112,ORD-5168,Delhivery Surface,2025-10-19,6,8,159.58,Delayed
LOG-7113,ORD-5913,Shadowfax B2B,2025-08-28,6,6,666.75,Yes
LOG-7114,ORD-6819,BlueDart Express,2025-12-10,2,1,712.98,Yes
LOG-7115,ORD-5977,Ecom Express,2025-03-05,3,6,471.98,Delayed
LOG-7116,ORD-5707,Delhivery Surface,2025-12-05,2,4,432.35,Delayed
LOG-7117,ORD-5688,Ecom Express,2025-04-14,3,3,192.89,Yes
LOG-7118,ORD-5991,BlueDart Express,2025-03-15,3,6,466.68,Delayed
LOG-7119,ORD-5942,Ecom Express,2025-05-24,5,4,603.37,Yes
LOG-7120,ORD-5113,Shadowfax B2B,2025-10-17,4,4,529.24,Yes
LOG-7121,ORD-5010,Shadowfax B2B,2025-11-10,4,4,191.6,Yes
LOG-7122,ORD-6793,XpressBees,2025-07-20,4,4,473.16,Yes
LOG-7123,ORD-5371,Delhivery Surface,2025-09-16,4,4,392.85,Yes
LOG-7124,ORD-5199,BlueDart Express,2025-07-15,4,5,426.43,Yes
LOG-7125,ORD-7277,Ecom Express,2025-05-28,6,8,598.11,Delayed
LOG-7126,ORD-6396,Delhivery Surface,2025-02-24,2,5,495.91,Delayed
LOG-7127,ORD-7132,BlueDart Express,2025-05-12,3,4,301.54,Yes
LOG-7128,ORD-6274,Delhivery Surface,2025-09-29,2,3,230.83,Yes
LOG-7129,ORD-6819,Shadowfax B2B,2025-06-04,3,4,289.78,Yes
LOG-7130,ORD-5123,Shadowfax B2B,2025-10-13,5,8,425.72,Delayed
LOG-7131,ORD-6830,XpressBees,2025-07-23,2,2,89.01,Yes
LOG-7132,ORD-7418,Delhivery Surface,2025-03-28,2,2,672.52,Yes
LOG-7133,ORD-6969,BlueDart Express,2025-02-17,6,7,446.53,Yes
LOG-7134,ORD-6699,Delhivery Surface,2025-10-31,6,6,432.56,Yes
LOG-7135,ORD-6934,XpressBees,2025-09-26,5,5,694.58,Yes
LOG-7136,ORD-7128,Shadowfax B2B,2025-04-14,2,3,612.99,Yes
LOG-7137,ORD-6269,XpressBees,2025-07-05,5,5,457.63,Yes
LOG-7138,ORD-5464,Shadowfax B2B,2025-12-08,6,8,273.7,Delayed
LOG-7139,ORD-5471,Shadowfax B2B,2025-01-05,3,3,584.57,Yes
LOG-7140,ORD-7220,XpressBees,2025-09-17,2,4,63.1,Delayed
LOG-7141,ORD-6328,BlueDart Express,2025-01-22,3,6,396.49,Delayed
LOG-7142,ORD-6387,BlueDart Express,2025-03-18,2,2,529.96,Yes
LOG-7143,ORD-5015,BlueDart Express,2025-09-08,4,5,312.94,Yes
LOG-7144,ORD-6113,BlueDart Express,2025-07-23,4,7,403.82,Delayed
LOG-7145,ORD-5564,BlueDart Express,2025-01-29,4,6,346.39,Delayed
LOG-7146,ORD-6911,Ecom Express,2025-11-29,2,1,305.3,Yes
LOG-7147,ORD-6662,XpressBees,2025-08-18,4,5,177.86,Yes
LOG-7148,ORD-5209,Delhivery Surface,2025-07-23,2,4,428.84,Delayed
LOG-7149,ORD-6400,Ecom Express,2025-10-05,3,3,69.24,Yes
LOG-7150,ORD-6526,XpressBees,2025-09-10,3,3,535.27,Yes
LOG-7151,ORD-5886,Shadowfax B2B,2025-10-01,2,4,93.79,Delayed
LOG-7152,ORD-5361,Ecom Express,2025-06-21,5,8,165.94,Delayed
LOG-7153,ORD-5552,Shadowfax B2B,2025-09-06,2,3,571.65,Yes
LOG-7154,ORD-7178,Ecom Express,2025-09-14,2,5,497.64,Delayed
LOG-7155,ORD-5029,BlueDart Express,2025-07-06,2,1,450.19,Yes
LOG-7156,ORD-7034,XpressBees,2025-09-05,3,2,486.02,Yes
LOG-7157,ORD-6436,BlueDart Express,2025-10-20,3,2,142.22,Yes
LOG-7158,ORD-7304,Delhivery Surface,2025-10-09,4,4,224.41,Yes
LOG-7159,ORD-5612,XpressBees,2025-08-19,2,3,456.99,Yes
LOG-7160,ORD-5810,Shadowfax B2B,2025-10-27,4,7,171.45,Delayed
LOG-7161,ORD-5423,Ecom Express,2025-10-02,4,5,619.28,Yes
LOG-7162,ORD-5317,Shadowfax B2B,2025-04-19,6,8,117.46,Delayed
LOG-7163,ORD-7464,Delhivery Surface,2025-01-10,5,6,633.04,Yes
LOG-7164,ORD-6883,Ecom Express,2025-02-26,4,4,266.33,Yes
LOG-7165,ORD-6916,Delhivery Surface,2025-10-26,5,5,325.98,Yes
LOG-7166,ORD-6417,XpressBees,2025-02-10,6,9,224.04,Delayed
LOG-7167,ORD-5288,Delhivery Surface,2025-06-03,6,8,562.06,Delayed
LOG-7168,ORD-5966,Shadowfax B2B,2025-08-25,5,5,668.49,Yes
LOG-7169,ORD-6057,Ecom Express,2025-04-08,4,4,494.47,Yes
LOG-7170,ORD-6404,Ecom Express,2025-11-15,5,8,401.83,Delayed
LOG-7171,ORD-7473,Shadowfax B2B,2025-07-05,5,4,292.92,Yes
LOG-7172,ORD-6664,Ecom Express,2025-04-25,6,5,636.09,Yes
LOG-7173,ORD-7341,BlueDart Express,2025-04-26,4,7,506.62,Delayed
LOG-7174,ORD-6216,Delhivery Surface,2025-05-31,5,8,656.26,Delayed
LOG-7175,ORD-5208,BlueDart Express,2025-01-26,6,7,66.54,Yes
LOG-7176,ORD-5270,Shadowfax B2B,2025-07-01,5,5,389.74,Yes
LOG-7177,ORD-5523,Ecom Express,2025-03-27,5,7,539.22,Delayed
LOG-7178,ORD-5567,Delhivery Surface,2025-07-07,4,7,166.11,Delayed
LOG-7179,ORD-5136,Delhivery Surface,2025-07-31,6,6,96.61,Yes
LOG-7180,ORD-5347,Ecom Express,2025-11-19,2,1,528.35,Yes
LOG-7181,ORD-5608,Shadowfax B2B,2025-05-04,2,1,578.98,Yes
LOG-7182,ORD-5756,Delhivery Surface,2025-07-22,4,3,238.45,Yes
LOG-7183,ORD-6345,Shadowfax B2B,2025-10-20,2,1,497.55,Yes
LOG-7184,ORD-7137,Ecom Express,2025-03-06,6,6,210.03,Yes
LOG-7185,ORD-6352,XpressBees,2025-09-28,4,6,612.78,Delayed
LOG-7186,ORD-5671,Delhivery Surface,2025-10-22,6,6,635.5,Yes
LOG-7187,ORD-6324,XpressBees,2025-08-02,5,7,603.39,Delayed
LOG-7188,ORD-5338,Ecom Express,2025-05-08,6,5,604.85,Yes
LOG-7189,ORD-5681,Shadowfax B2B,2025-03-25,4,6,562.73,Delayed
LOG-7190,ORD-5968,Shadowfax B2B,2025-06-16,2,1,556.6,Yes
LOG-7191,ORD-5587,XpressBees,2025-10-16,2,5,86.18,Delayed
LOG-7192,ORD-5228,Shadowfax B2B,2025-06-03,5,7,106.61,Delayed
LOG-7193,ORD-6277,Ecom Express,2025-03-16,5,8,397.33,Delayed
LOG-7194,ORD-6331,Ecom Express,2025-05-14,2,3,181.46,Yes
LOG-7195,ORD-6019,BlueDart Express,2025-07-25,6,8,473.1,Delayed
LOG-7196,ORD-5251,Shadowfax B2B,2025-08-15,4,5,712.8,Yes
LOG-7197,ORD-5921,XpressBees,2025-04-11,4,4,531.9,Yes
LOG-7198,ORD-6640,XpressBees,2025-01-10,4,5,649.03,Yes
LOG-7199,ORD-7417,Delhivery Surface,2025-06-27,3,6,383.48,Delayed
LOG-7200,ORD-5912,Ecom Express,2025-08-22,3,3,630.79,Yes
LOG-7201,ORD-7093,BlueDart Express,2025-04-24,3,2,704.64,Yes
LOG-7202,ORD-5953,Ecom Express,2025-06-24,3,3,94.83,Yes
LOG-7203,ORD-5943,Shadowfax B2B,2025-06-08,2,2,165.24,Yes
LOG-7204,ORD-6949,Ecom Express,2025-01-12,6,9,318.27,Delayed
LOG-7205,ORD-6879,Delhivery Surface,2025-01-29,3,3,299.32,Yes
LOG-7206,ORD-6328,BlueDart Express,2025-07-24,2,2,231.49,Yes
LOG-7207,ORD-5541,Ecom Express,2025-02-19,2,4,549.0,Delayed
LOG-7208,ORD-6498,Ecom Express,2025-06-16,6,8,97.36,Delayed
LOG-7209,ORD-7408,Ecom Express,2025-11-21,2,3,164.8,Yes
LOG-7210,ORD-6226,Ecom Express,2025-07-21,4,3,114.3,Yes
LOG-7211,ORD-5641,Ecom Express,2025-07-10,2,2,281.31,Yes
LOG-7212,ORD-7092,BlueDart Express,2025-09-06,6,5,464.6,Yes
LOG-7213,ORD-6022,Ecom Express,2025-01-11,4,4,563.17,Yes
LOG-7214,ORD-6271,XpressBees,2025-05-11,2,5,551.94,Delayed
LOG-7215,ORD-6927,BlueDart Express,2025-06-20,5,6,306.98,Yes
LOG-7216,ORD-5497,Shadowfax B2B,2025-08-10,3,3,721.57,Yes
LOG-7217,ORD-5539,Ecom Express,2025-07-29,3,2,639.53,Yes
LOG-7218,ORD-6764,BlueDart Express,2025-07-30,3,2,523.23,Yes
LOG-7219,ORD-7198,Ecom Express,2025-08-10,3,4,150.68,Yes
LOG-7220,ORD-5004,Shadowfax B2B,2025-08-12,2,3,88.66,Yes
LOG-7221,ORD-5631,BlueDart Express,2025-06-10,6,9,515.08,Delayed
LOG-7222,ORD-7052,Ecom Express,2025-12-08,5,8,367.32,Delayed
LOG-7223,ORD-5317,Ecom Express,2025-04-08,3,5,76.55,Delayed
LOG-7224,ORD-7070,BlueDart Express,2025-10-31,2,1,90.45,Yes
LOG-7225,ORD-6166,Shadowfax B2B,2025-02-19,2,2,473.93,Yes
LOG-7226,ORD-6989,XpressBees,2025-09-26,6,9,127.73,Delayed
LOG-7227,ORD-7433,Delhivery Surface,2025-01-20,4,6,512.95,Delayed
LOG-7228,ORD-6581,Delhivery Surface,2025-10-12,6,5,341.27,Yes
LOG-7229,ORD-7082,Shadowfax B2B,2025-10-02,4,3,423.94,Yes
LOG-7230,ORD-6447,Shadowfax B2B,2025-11-02,2,3,493.12,Yes
LOG-7231,ORD-7422,Shadowfax B2B,2025-06-21,5,8,430.05,Delayed
LOG-7232,ORD-5657,Shadowfax B2B,2025-09-03,3,6,83.65,Delayed
LOG-7233,ORD-6963,Delhivery Surface,2025-09-07,3,2,559.56,Yes
LOG-7234,ORD-7270,BlueDart Express,2025-12-11,4,6,166.49,Delayed
LOG-7235,ORD-5792,Shadowfax B2B,2025-04-18,4,6,255.08,Delayed
LOG-7236,ORD-6910,XpressBees,2025-04-25,2,5,213.14,Delayed
LOG-7237,ORD-6640,XpressBees,2025-08-16,6,9,462.95,Delayed
LOG-7238,ORD-7334,Ecom Express,2025-02-22,4,5,734.09,Yes
LOG-7239,ORD-7489,XpressBees,2025-04-15,5,7,675.27,Delayed
LOG-7240,ORD-6066,Shadowfax B2B,2025-09-04,4,7,84.37,Delayed
LOG-7241,ORD-6781,Shadowfax B2B,2025-09-27,6,8,370.11,Delayed
LOG-7242,ORD-5281,XpressBees,2025-06-22,5,4,117.96,Yes
LOG-7243,ORD-6247,Ecom Express,2025-08-09,2,3,521.5,Yes
LOG-7244,ORD-6497,Shadowfax B2B,2025-04-17,4,4,699.03,Yes
LOG-7245,ORD-5367,XpressBees,2025-01-25,5,5,466.11,Yes
LOG-7246,ORD-5601,BlueDart Express,2025-01-17,3,4,425.19,Yes
LOG-7247,ORD-6418,Shadowfax B2B,2025-06-19,3,3,591.67,Yes
LOG-7248,ORD-6954,Shadowfax B2B,2025-05-04,2,2,128.6,Yes
LOG-7249,ORD-7029,XpressBees,2025-09-04,2,5,600.11,Delayed
LOG-7250,ORD-6703,BlueDart Express,2025-07-10,4,7,391.54,Delayed
LOG-7251,ORD-5630,BlueDart Express,2025-02-22,3,4,518.7,Yes
LOG-7252,ORD-5568,Ecom Express,2025-05-29,4,5,76.4,Yes
LOG-7253,ORD-5237,Ecom Express,2025-06-01,6,5,410.02,Yes
LOG-7254,ORD-5150,XpressBees,2025-10-28,6,6,451.94,Yes
LOG-7255,ORD-7032,Shadowfax B2B,2025-11-20,5,5,419.1,Yes
LOG-7256,ORD-6960,Delhivery Surface,2025-06-08,5,4,330.29,Yes
LOG-7257,ORD-5055,Delhivery Surface,2025-05-25,3,6,211.63,Delayed
LOG-7258,ORD-5244,BlueDart Express,2025-01-16,6,5,260.82,Yes
LOG-7259,ORD-6282,Delhivery Surface,2025-11-11,4,7,706.42,Delayed
LOG-7260,ORD-5073,Shadowfax B2B,2025-05-23,2,4,744.2,Delayed
LOG-7261,ORD-7320,Shadowfax B2B,2025-06-10,4,6,580.67,Delayed
LOG-7262,ORD-5626,XpressBees,2025-11-14,5,5,307.87,Yes
LOG-7263,ORD-7138,XpressBees,2025-07-13,3,3,292.41,Yes
LOG-7264,ORD-6853,Ecom Express,2025-11-20,5,4,62.88,Yes
LOG-7265,ORD-5522,Delhivery Surface,2025-01-20,3,3,678.68,Yes
LOG-7266,ORD-6176,BlueDart Express,2025-07-10,5,7,371.61,Delayed
LOG-7267,ORD-5419,Delhivery Surface,2025-07-04,2,3,417.87,Yes
LOG-7268,ORD-5179,Ecom Express,2025-02-22,6,6,592.82,Yes
LOG-7269,ORD-7077,BlueDart Express,2025-06-22,2,4,337.76,Delayed
LOG-7270,ORD-5178,XpressBees,2025-02-28,3,3,459.59,Yes
LOG-7271,ORD-6999,XpressBees,2025-10-11,4,5,395.28,Yes
LOG-7272,ORD-5138,XpressBees,2025-10-13,5,5,347.24,Yes
LOG-7273,ORD-6337,Delhivery Surface,2025-08-31,5,8,282.84,Delayed
LOG-7274,ORD-7260,Ecom Express,2025-06-05,4,4,70.22,Yes
LOG-7275,ORD-5656,Ecom Express,2025-10-12,3,4,430.32,Yes
LOG-7276,ORD-6610,Delhivery Surface,2025-02-06,3,5,221.95,Delayed
LOG-7277,ORD-5315,Ecom Express,2025-07-07,2,2,710.69,Yes
LOG-7278,ORD-5451,XpressBees,2025-01-17,3,5,528.54,Delayed
LOG-7279,ORD-7406,BlueDart Express,2025-05-15,2,5,585.94,Delayed
LOG-7280,ORD-7351,Shadowfax B2B,2025-01-04,5,4,76.91,Yes
LOG-7281,ORD-6861,BlueDart Express,2025-09-14,6,5,633.27,Yes
LOG-7282,ORD-7377,XpressBees,2025-03-06,4,6,719.93,Delayed
LOG-7283,ORD-7455,Delhivery Surface,2025-06-05,5,7,446.54,Delayed
LOG-7284,ORD-5866,Ecom Express,2025-02-02,2,2,240.67,Yes
LOG-7285,ORD-6151,BlueDart Express,2025-04-12,2,5,131.51,Delayed
LOG-7286,ORD-7304,BlueDart Express,2025-06-09,2,3,695.92,Yes
LOG-7287,ORD-5949,Delhivery Surface,2025-06-11,2,4,662.97,Delayed
LOG-7288,ORD-5010,Ecom Express,2025-06-09,5,4,406.61,Yes
LOG-7289,ORD-6697,BlueDart Express,2025-10-21,4,3,616.6,Yes
LOG-7290,ORD-6583,Shadowfax B2B,2025-02-21,4,7,376.55,Delayed
LOG-7291,ORD-5872,BlueDart Express,2025-01-12,3,2,241.25,Yes
LOG-7292,ORD-6449,Shadowfax B2B,2025-05-20,4,6,146.35,Delayed
LOG-7293,ORD-5625,Shadowfax B2B,2025-06-17,5,8,245.47,Delayed
LOG-7294,ORD-5224,Shadowfax B2B,2025-05-18,2,2,208.21,Yes
LOG-7295,ORD-6843,Ecom Express,2025-05-13,6,9,483.27,Delayed
LOG-7296,ORD-7152,Shadowfax B2B,2025-01-02,6,6,230.38,Yes
LOG-7297,ORD-5437,Delhivery Surface,2025-07-21,6,7,121.38,Yes
LOG-7298,ORD-6657,Ecom Express,2025-02-06,2,4,71.68,Delayed
LOG-7299,ORD-5688,Shadowfax B2B,2025-08-19,4,4,708.81,Yes
LOG-7300,ORD-7280,BlueDart Express,2025-06-28,5,7,226.59,Delayed
LOG-7301,ORD-5149,BlueDart Express,2025-01-14,6,9,340.17,Delayed
LOG-7302,ORD-6362,Ecom Express,2025-07-28,2,2,282.26,Yes
LOG-7303,ORD-6623,BlueDart Express,2025-07-18,4,3,102.39,Yes
LOG-7304,ORD-6806,Ecom Express,2025-09-24,5,7,473.62,Delayed
LOG-7305,ORD-7300,Shadowfax B2B,2025-11-22,6,9,467.75,Delayed
LOG-7306,ORD-7084,Ecom Express,2025-09-22,2,4,68.36,Delayed
LOG-7307,ORD-6010,Shadowfax B2B,2025-02-24,2,1,695.73,Yes
LOG-7308,ORD-6868,Shadowfax B2B,2025-01-03,2,4,395.54,Delayed
LOG-7309,ORD-5909,Shadowfax B2B,2025-06-10,6,7,470.91,Yes
LOG-7310,ORD-5828,BlueDart Express,2025-08-16,6,5,136.35,Yes
LOG-7311,ORD-5303,Shadowfax B2B,2025-02-24,6,8,634.18,Delayed
LOG-7312,ORD-5150,Ecom Express,2025-11-12,2,2,696.12,Yes
LOG-7313,ORD-6098,Ecom Express,2025-05-31,2,3,290.59,Yes
LOG-7314,ORD-7425,Shadowfax B2B,2025-08-18,4,4,220.33,Yes
LOG-7315,ORD-7126,Ecom Express,2025-12-06,6,8,739.6,Delayed
LOG-7316,ORD-6403,Ecom Express,2025-03-24,3,6,740.09,Delayed
LOG-7317,ORD-6967,BlueDart Express,2025-04-19,3,4,228.22,Yes
LOG-7318,ORD-5006,BlueDart Express,2025-06-09,6,9,462.69,Delayed
LOG-7319,ORD-6576,Shadowfax B2B,2025-06-28,3,5,555.17,Delayed
LOG-7320,ORD-6957,Shadowfax B2B,2025-05-01,2,4,209.35,Delayed
LOG-7321,ORD-7327,Ecom Express,2025-08-07,3,4,409.53,Yes
LOG-7322,ORD-5624,Delhivery Surface,2025-10-14,4,7,319.52,Delayed
LOG-7323,ORD-6350,Delhivery Surface,2025-11-15,3,5,514.61,Delayed
LOG-7324,ORD-6590,XpressBees,2025-08-21,2,3,543.89,Yes
LOG-7325,ORD-5989,Ecom Express,2025-10-23,3,2,677.24,Yes
LOG-7326,ORD-6973,XpressBees,2025-07-19,5,4,356.99,Yes
LOG-7327,ORD-6497,Ecom Express,2025-10-14,2,4,662.17,Delayed
LOG-7328,ORD-6309,Shadowfax B2B,2025-11-08,3,2,667.78,Yes
LOG-7329,ORD-5498,Shadowfax B2B,2025-03-11,4,3,331.31,Yes
LOG-7330,ORD-7407,XpressBees,2025-11-10,3,4,577.58,Yes
LOG-7331,ORD-6611,Ecom Express,2025-07-25,3,6,429.23,Delayed
LOG-7332,ORD-7442,Shadowfax B2B,2025-01-08,2,3,517.21,Yes
LOG-7333,ORD-6343,Ecom Express,2025-09-06,2,2,473.52,Yes
LOG-7334,ORD-5973,Ecom Express,2025-12-05,3,5,539.97,Delayed
LOG-7335,ORD-5406,XpressBees,2025-07-22,5,8,725.77,Delayed
