order_id,store_id,customer_id,product_id,quantity,unit_price_inr,total_amount_inr,order_date,status,payment_mode
ORD-5039,STR-2027,CUST-4318,PRD-3222,23,3374.24,77607.52,2025-03-23,Processing,COD
ORD-5040,STR-2040,CUST-4602,PRD-3104,17,3626.34,61647.78,2025-08-23,Delivered,Escrow
ORD-5041,STR-2001,CUST-4147,PRD-3229,3,4149.23,12447.69,2025-11-06,Returned,Escrow
ORD-5042,STR-2068,CUST-4337,PRD-3467,19,4414.31,83871.89,2025-08-24,Shipped,COD
ORD-5043,STR-2006,CUST-4755,PRD-3047,10,3284.55,32845.5,2025-08-22,Delivered,Credit Card
ORD-5044,STR-2051,CUST-4628,PRD-3422,6,2163.01,12978.06,2025-04-02,Processing,Net Banking
ORD-5045,STR-2059,CUST-4394,PRD-3467,22,1039.7,22873.4,2025-10-19,Delivered,Net Banking
ORD-5046,STR-2090,CUST-4969,PRD-3023,8,4444.88,35559.04,2025-03-22,Delivered,COD
ORD-5047,STR-2038,CUST-4683,PRD-3470,3,3535.51,10606.53,2026-01-05,Delivered,Net Banking
ORD-5048,STR-2053,CUST-4781,PRD-3284,4,4977.28,19909.12,2025-02-09,Returned,UPI
ORD-5049,STR-2065,CUST-4785,PRD-3400,11,2138.97,23528.67,2025-03-26,Delivered,Escrow
ORD-5050,STR-2065,CUST-4046,PRD-3237,1,505.0,505.0,2025-12-22,Cancelled,Net Banking
ORD-5051,STR-2049,CUST-4352,PRD-3382,13,4300.5,55906.5,2025-07-23,Delivered,UPI
ORD-5052,STR-2033,CUST-4118,PRD-3364,5,1736.49,8682.45,2026-01-19,Shipped,Net Banking
ORD-5053,STR-2060,CUST-4070,PRD-3043,18,3336.56,60058.08,2026-01-01,Shipped,Escrow
ORD-5054,STR-2061,CUST-4841,PRD-3143,6,977.36,5864.16,2025-01-10,Processing,UPI
ORD-5055,STR-2023,CUST-4302,PRD-3064,18,3746.02,67428.36,2025-03-28,Delivered,UPI
ORD-5056,STR-2087,CUST-4280,PRD-3079,15,1886.72,28300.8,2025-04-21,Cancelled,UPI
ORD-5057,STR-2087,CUST-4546,PRD-3111,15,3529.2,52938.0,2026-03-05,Cancelled,COD
ORD-5058,STR-2083,CUST-4679,PRD-3367,22,4500.5,99011.0,2025-07-19,Cancelled,Credit Card
ORD-5059,STR-2057,CUST-4054,PRD-3307,1,386.02,386.02,2025-07-13,Returned,Escrow
ORD-5060,STR-2032,CUST-4384,PRD-3466,8,1119.93,8959.44,2025-01-09,Shipped,UPI
ORD-5061,STR-2002,CUST-4346,PRD-3421,7,3447.8,24134.6,2025-02-02,Delivered,UPI
ORD-5062,STR-2086,CUST-4172,PRD-3371,6,363.46,2180.76,2025-09-20,Delivered,Credit Card
ORD-5063,STR-2042,CUST-4576,PRD-3321,7,3179.67,22257.69,2025-10-05,Shipped,Net Banking
ORD-5064,STR-2016,CUST-4238,PRD-3110,4,1879.4,7517.6,2025-03-30,Delivered,Net Banking
ORD-5065,STR-2084,CUST-4324,PRD-3007,13,1181.92,15364.96,2025-04-23,Delivered,Credit Card
ORD-5066,STR-2084,CUST-4639,PRD-3189,2,476.56,953.12,2025-04-22,Shipped,Credit Card
ORD-5067,STR-2099,CUST-4614,PRD-3256,4,3605.78,14423.12,2026-02-10,Returned,COD
ORD-5068,STR-2022,CUST-4258,PRD-3492,4,3059.36,12237.44,2025-11-20,Cancelled,Net Banking
ORD-5069,STR-2087,CUST-4947,PRD-3498,25,3514.55,87863.75,2025-06-20,Delivered,Credit Card
ORD-5070,STR-2086,CUST-4494,PRD-3035,11,235.6,2591.6,2025-10-27,Shipped,Net Banking
ORD-5071,STR-2066,CUST-4656,PRD-3380,8,2591.59,20732.72,2025-12-27,Delivered,Escrow
ORD-5072,STR-2003,CUST-4632,PRD-3389,4,1647.92,6591.68,2026-01-13,Shipped,Escrow
ORD-5073,STR-2080,CUST-4082,PRD-3031,5,1966.44,9832.2,2025-06-01,Delivered,Escrow
ORD-5074,STR-2049,CUST-4210,PRD-3329,2,1304.61,2609.22,2026-01-07,Processing,Net Banking
ORD-5075,STR-2095,CUST-4899,PRD-3169,5,1498.91,7494.55,2025-11-26,Returned,UPI
ORD-5076,STR-2067,CUST-4811,PRD-3213,21,4091.65,85924.65,2026-01-20,Delivered,Escrow
ORD-5077,STR-2094,CUST-4340,PRD-3176,8,1148.21,9185.68,2025-01-28,Cancelled,Escrow
ORD-5078,STR-2088,CUST-4713,PRD-3369,8,3099.11,24792.88,2025-07-15,Processing,Credit Card
ORD-5079,STR-2024,CUST-4453,PRD-3323,1,463.39,463.39,2025-09-09,Delivered,Escrow
ORD-5080,STR-2007,CUST-4650,PRD-3073,7,758.97,5312.79,2025-03-30,Processing,COD
ORD-5081,STR-2027,CUST-4242,PRD-3260,3,2217.26,6651.78,2025-08-28,Delivered,Escrow
ORD-5082,STR-2093,CUST-4203,PRD-3126,14,1005.71,14079.94,2025-05-08,Delivered,Credit Card
ORD-5083,STR-2074,CUST-4460,PRD-3496,21,1126.79,23662.59,2026-03-18,Returned,Net Banking
ORD-5084,STR-2011,CUST-4974,PRD-3498,12,2081.49,24977.88,2025-03-27,Shipped,Net Banking
ORD-5085,STR-2055,CUST-4518,PRD-3313,24,2252.14,54051.36,2025-03-21,Returned,Net Banking
ORD-5086,STR-2003,CUST-4781,PRD-3196,14,4292.1,60089.4,2026-01-24,Delivered,COD
ORD-5087,STR-2069,CUST-4157,PRD-3284,24,1002.14,24051.36,2025-07-14,Shipped,Credit Card
ORD-5088,STR-2059,CUST-4291,PRD-3193,18,3089.22,55605.96,2025-02-06,Delivered,Escrow
ORD-5089,STR-2092,CUST-4481,PRD-3101,5,4593.24,22966.2,2025-01-03,Delivered,COD
ORD-5090,STR-2094,CUST-4743,PRD-3192,16,2112.09,33793.44,2025-08-01,Shipped,Credit Card
ORD-5091,STR-2050,CUST-4502,PRD-3158,21,4939.48,103729.08,2025-02-06,Shipped,UPI
ORD-5092,STR-2016,CUST-4395,PRD-3478,19,937.46,17811.74,2026-01-26,Shipped,Credit Card
ORD-5093,STR-2099,CUST-4936,PRD-3385,24,1840.61,44174.64,2025-12-30,Shipped,Credit Card
ORD-5094,STR-2090,CUST-4060,PRD-3334,13,4643.62,60367.06,2026-01-12,Delivered,Escrow
ORD-5095,STR-2062,CUST-4036,PRD-3472,12,3210.12,38521.44,2025-12-13,Delivered,Escrow
ORD-5096,STR-2034,CUST-4620,PRD-3234,22,864.73,19024.06,2025-05-07,Processing,COD
ORD-5097,STR-2085,CUST-4862,PRD-3083,1,716.14,716.14,2025-02-17,Cancelled,Net Banking
ORD-5098,STR-2051,CUST-4724,PRD-3301,3,2664.9,7994.7,2025-04-07,Shipped,Escrow
ORD-5099,STR-2055,CUST-4259,PRD-3355,10,2578.14,25781.4,2025-09-30,Cancelled,Net Banking
ORD-5100,STR-2076,CUST-4316,PRD-3376,14,3799.44,53192.16,2026-01-08,Returned,UPI
ORD-5101,STR-2014,CUST-4652,PRD-3294,25,4018.04,100451.0,2026-02-21,Delivered,Credit Card
ORD-5102,STR-2096,CUST-4215,PRD-3477,24,2080.16,49923.84,2025-06-07,Delivered,Escrow
ORD-5103,STR-2063,CUST-4002,PRD-3050,3,3902.66,11707.98,2025-08-02,Processing,Net Banking
ORD-5104,STR-2084,CUST-4296,PRD-3376,14,977.58,13686.12,2025-07-11,Delivered,Escrow
ORD-5105,STR-2026,CUST-4499,PRD-3094,17,4750.14,80752.38,2025-08-19,Processing,Escrow
ORD-5106,STR-2024,CUST-4206,PRD-3031,24,1036.24,24869.76,2026-01-24,Delivered,Credit Card
ORD-5107,STR-2053,CUST-4452,PRD-3321,20,679.6,13592.0,2025-11-22,Delivered,UPI
ORD-5108,STR-2038,CUST-4088,PRD-3194,4,1492.3,5969.2,2025-06-25,Delivered,COD
ORD-5109,STR-2031,CUST-4490,PRD-3249,22,3838.59,84448.98,2025-01-05,Delivered,Credit Card
ORD-5110,STR-2097,CUST-4979,PRD-3004,22,2974.86,65446.92,2025-01-22,Delivered,Escrow
ORD-5111,STR-2067,CUST-4811,PRD-3004,13,3074.48,39968.24,2026-01-25,Delivered,Net Banking
ORD-5112,STR-2061,CUST-4776,PRD-3173,20,2232.85,44657.0,2025-07-09,Cancelled,Credit Card
ORD-5113,STR-2041,CUST-4837,PRD-3123,12,3375.63,40507.56,2025-07-13,Processing,UPI
ORD-5114,STR-2046,CUST-4895,PRD-3170,4,164.96,659.84,2026-03-22,Cancelled,Net Banking
ORD-5115,STR-2093,CUST-4856,PRD-3455,5,274.55,1372.75,2025-03-04,Returned,COD
ORD-5116,STR-2036,CUST-4974,PRD-3359,25,4103.0,102575.0,2025-07-08,Shipped,COD
ORD-5117,STR-2088,CUST-4675,PRD-3446,16,2647.33,42357.28,2025-12-05,Delivered,UPI
ORD-5118,STR-2082,CUST-4981,PRD-3483,11,230.66,2537.26,2025-07-04,Returned,UPI
ORD-5119,STR-2095,CUST-4334,PRD-3348,15,1282.76,19241.4,2025-09-06,Shipped,COD
ORD-5120,STR-2011,CUST-4357,PRD-3220,16,4936.33,78981.28,2026-03-15,Cancelled,UPI
ORD-5121,STR-2094,CUST-4395,PRD-3151,20,1096.12,21922.4,2025-03-15,Returned,COD
ORD-5122,STR-2074,CUST-4804,PRD-3439,23,2597.49,59742.27,2025-03-07,Shipped,UPI
ORD-5123,STR-2039,CUST-4853,PRD-3345,18,4938.02,88884.36,2025-08-28,Delivered,Net Banking
ORD-5124,STR-2015,CUST-4494,PRD-3340,18,1318.37,23730.66,2025-04-19,Delivered,UPI
ORD-5125,STR-2014,CUST-4446,PRD-3367,1,927.14,927.14,2025-06-17,Shipped,Credit Card
ORD-5126,STR-2029,CUST-4737,PRD-3132,22,2460.07,54121.54,2025-12-10,Delivered,Escrow
ORD-5127,STR-2069,CUST-4649,PRD-3372,16,588.64,9418.24,2025-12-21,Delivered,Escrow
ORD-5128,STR-2074,CUST-4785,PRD-3474,20,463.64,9272.8,2025-06-25,Shipped,Net Banking
ORD-5129,STR-2084,CUST-4658,PRD-3402,18,4836.3,87053.4,2025-08-12,Returned,Escrow
ORD-5130,STR-2029,CUST-4266,PRD-3060,10,575.25,5752.5,2025-02-15,Delivered,COD
ORD-5131,STR-2025,CUST-4763,PRD-3483,4,2928.27,11713.08,2025-03-07,Returned,Credit Card
ORD-5132,STR-2049,CUST-4591,PRD-3378,1,1657.37,1657.37,2025-10-30,Processing,Escrow
ORD-5133,STR-2050,CUST-4434,PRD-3164,25,1920.37,48009.25,2025-12-14,Returned,Escrow
ORD-5134,STR-2067,CUST-4680,PRD-3309,19,1227.39,23320.41,2025-07-22,Delivered,COD
ORD-5135,STR-2059,CUST-4324,PRD-3075,10,4210.5,42105.0,2025-09-13,Cancelled,Net Banking
ORD-5136,STR-2019,CUST-4616,PRD-3146,5,3773.24,18866.2,2026-03-11,Returned,UPI
ORD-5137,STR-2077,CUST-4328,PRD-3159,17,4953.13,84203.21,2025-03-05,Delivered,COD
ORD-5138,STR-2062,CUST-4647,PRD-3425,7,2550.87,17856.09,2025-12-27,Shipped,UPI
ORD-5139,STR-2043,CUST-4157,PRD-3424,23,1171.47,26943.81,2026-01-11,Returned,Escrow
ORD-5140,STR-2090,CUST-4754,PRD-3027,25,1018.25,25456.25,2025-09-07,Cancelled,Net Banking
ORD-5141,STR-2039,CUST-4835,PRD-3338,6,4956.66,29739.96,2025-10-08,Shipped,Credit Card
ORD-5142,STR-2055,CUST-4695,PRD-3243,12,3824.91,45898.92,2025-07-20,Delivered,COD
ORD-5143,STR-2094,CUST-4290,PRD-3145,23,4626.86,106417.78,2025-12-25,Returned,COD
ORD-5144,STR-2051,CUST-4100,PRD-3068,11,3798.49,41783.39,2025-10-25,Returned,UPI
ORD-5145,STR-2091,CUST-4312,PRD-3235,21,943.92,19822.32,2025-03-12,Shipped,Net Banking
ORD-5146,STR-2038,CUST-4919,PRD-3075,7,1207.96,8455.72,2026-01-19,Delivered,UPI
ORD-5147,STR-2047,CUST-4744,PRD-3439,19,644.45,12244.55,2026-02-07,Returned,Escrow
ORD-5148,STR-2049,CUST-4974,PRD-3219,22,4232.05,93105.1,2025-01-29,Delivered,Credit Card
ORD-5149,STR-2061,CUST-4184,PRD-3484,2,719.13,1438.26,2025-09-21,Cancelled,Credit Card
ORD-5150,STR-2076,CUST-4445,PRD-3497,5,3190.82,15954.1,2025-07-26,Delivered,UPI
ORD-5151,STR-2016,CUST-4247,PRD-3204,16,1618.04,25888.64,2025-11-02,Delivered,Net Banking
ORD-5152,STR-2100,CUST-4709,PRD-3408,22,3343.82,73564.04,2026-02-03,Shipped,Net Banking
ORD-5153,STR-2036,CUST-4648,PRD-3335,15,1931.52,28972.8,2025-03-03,Delivered,UPI
ORD-5154,STR-2016,CUST-4501,PRD-3329,22,4556.12,100234.64,2025-04-26,Delivered,COD
ORD-5155,STR-2074,CUST-4587,PRD-3246,9,3514.57,31631.13,2025-02-18,Returned,COD
ORD-5156,STR-2024,CUST-4394,PRD-3248,21,3558.27,74723.67,2025-06-02,Processing,Escrow
ORD-5157,STR-2013,CUST-4334,PRD-3033,23,4558.07,104835.61,2026-02-12,Processing,Escrow
ORD-5158,STR-2052,CUST-4833,PRD-3359,1,2059.91,2059.91,2026-02-23,Processing,COD
ORD-5159,STR-2063,CUST-4066,PRD-3266,19,2764.06,52517.14,2026-02-24,Returned,UPI
ORD-5160,STR-2097,CUST-4772,PRD-3107,22,4503.37,99074.14,2025-04-03,Returned,COD
ORD-5161,STR-2089,CUST-4185,PRD-3003,18,2319.08,41743.44,2025-06-10,Delivered,UPI
ORD-5162,STR-2017,CUST-4589,PRD-3106,21,931.87,19569.27,2025-10-15,Delivered,UPI
ORD-5163,STR-2011,CUST-4128,PRD-3260,10,1913.26,19132.6,2025-10-06,Delivered,Net Banking
ORD-5164,STR-2085,CUST-4001,PRD-3128,10,373.91,3739.1,2025-09-23,Returned,Credit Card
ORD-5165,STR-2085,CUST-4547,PRD-3228,5,2948.8,14744.0,2025-12-22,Delivered,COD
ORD-5166,STR-2046,CUST-4621,PRD-3276,17,1167.72,19851.24,2025-02-20,Cancelled,UPI
ORD-5167,STR-2031,CUST-4038,PRD-3097,5,1603.59,8017.95,2026-03-03,Delivered,Escrow
ORD-5168,STR-2078,CUST-4566,PRD-3111,19,1891.47,35937.93,2025-03-07,Cancelled,COD
ORD-5169,STR-2055,CUST-4077,PRD-3282,9,1414.27,12728.43,2025-11-29,Delivered,Net Banking
ORD-5170,STR-2059,CUST-4086,PRD-3484,9,3431.15,30880.35,2025-12-22,Delivered,COD
ORD-5171,STR-2027,CUST-4073,PRD-3323,24,1456.59,34958.16,2025-11-21,Cancelled,Escrow
ORD-5172,STR-2092,CUST-4382,PRD-3289,22,3291.69,72417.18,2025-09-19,Processing,Escrow
ORD-5173,STR-2054,CUST-4842,PRD-3079,11,4963.38,54597.18,2025-08-11,Shipped,UPI
ORD-5174,STR-2078,CUST-4254,PRD-3040,9,754.41,6789.69,2025-02-26,Cancelled,COD
ORD-5175,STR-2053,CUST-4068,PRD-3169,21,581.52,12211.92,2025-06-20,Returned,Credit Card
ORD-5176,STR-2019,CUST-4890,PRD-3409,8,1477.19,11817.52,2025-02-20,Shipped,Escrow
ORD-5177,STR-2049,CUST-4975,PRD-3054,4,1002.3,4009.2,2026-01-08,Delivered,COD
ORD-5178,STR-2063,CUST-4098,PRD-3271,12,3547.21,42566.52,2026-03-20,Delivered,COD
ORD-5179,STR-2035,CUST-4623,PRD-3051,2,978.12,1956.24,2026-01-20,Shipped,Escrow
ORD-5180,STR-2045,CUST-4826,PRD-3380,22,4844.8,106585.6,2025-09-30,Processing,COD
ORD-5181,STR-2052,CUST-4489,PRD-3304,5,1406.45,7032.25,2025-12-18,Processing,Escrow
ORD-5182,STR-2085,CUST-4130,PRD-3074,13,2902.67,37734.71,2025-05-17,Delivered,Credit Card
ORD-5183,STR-2091,CUST-4797,PRD-3128,22,3102.21,68248.62,2025-12-28,Shipped,Escrow
ORD-5184,STR-2057,CUST-4363,PRD-3409,15,2585.81,38787.15,2025-05-22,Shipped,COD
ORD-5185,STR-2092,CUST-4903,PRD-3473,8,1630.16,13041.28,2026-03-16,Delivered,Credit Card
ORD-5186,STR-2053,CUST-4790,PRD-3161,3,3228.18,9684.54,2025-02-09,Cancelled,Escrow
ORD-5187,STR-2012,CUST-4170,PRD-3295,2,560.24,1120.48,2025-05-27,Processing,Net Banking
ORD-5188,STR-2002,CUST-4986,PRD-3486,14,3433.61,48070.54,2026-01-10,Delivered,Net Banking
ORD-5189,STR-2064,CUST-4528,PRD-3351,22,4457.19,98058.18,2025-12-24,Delivered,Net Banking
ORD-5190,STR-2002,CUST-4632,PRD-3098,24,185.36,4448.64,2025-08-06,Cancelled,COD
ORD-5191,STR-2096,CUST-4354,PRD-3126,24,3356.69,80560.56,2026-02-26,Processing,COD
ORD-5192,STR-2006,CUST-4622,PRD-3230,6,3421.43,20528.58,2026-01-27,Processing,Escrow
ORD-5193,STR-2023,CUST-4077,PRD-3188,5,2641.37,13206.85,2025-01-27,Shipped,Net Banking
ORD-5194,STR-2049,CUST-4175,PRD-3192,4,1789.1,7156.4,2025-12-14,Delivered,COD
ORD-5195,STR-2099,CUST-4879,PRD-3061,10,1601.01,16010.1,2025-05-31,Delivered,Escrow
ORD-5196,STR-2001,CUST-4756,PRD-3324,19,2059.06,39122.14,2025-06-06,Cancelled,COD
ORD-5197,STR-2005,CUST-4958,PRD-3238,20,4264.51,85290.2,2025-01-30,Delivered,UPI
ORD-5198,STR-2079,CUST-4472,PRD-3169,10,1866.38,18663.8,2025-01-03,Delivered,Escrow
ORD-5199,STR-2052,CUST-4364,PRD-3005,4,2239.4,8957.6,2025-04-12,Delivered,COD
ORD-5200,STR-2066,CUST-4921,PRD-3079,14,750.64,10508.96,2025-09-07,Delivered,Escrow
ORD-5201,STR-2099,CUST-4673,PRD-3129,8,2432.89,19463.12,2025-07-11,Delivered,Credit Card
ORD-5202,STR-2055,CUST-4914,PRD-3094,18,4085.99,73547.82,2025-02-25,Shipped,Net Banking
ORD-5203,STR-2021,CUST-4144,PRD-3182,24,2254.71,54113.04,2025-07-03,Returned,Escrow
ORD-5204,STR-2015,CUST-4195,PRD-3146,2,798.35,1596.7,2025-08-04,Cancelled,Credit Card
ORD-5205,STR-2005,CUST-4165,PRD-3342,7,4749.62,33247.34,2025-12-07,Delivered,UPI
ORD-5206,STR-2054,CUST-4501,PRD-3282,16,4029.13,64466.08,2026-01-01,Delivered,Credit Card
ORD-5207,STR-2097,CUST-4783,PRD-3400,13,2584.01,33592.13,2026-01-15,Returned,Net Banking
ORD-5208,STR-2017,CUST-4113,PRD-3491,4,3994.66,15978.64,2025-03-06,Delivered,Credit Card
ORD-5209,STR-2065,CUST-4014,PRD-3393,22,1297.05,28535.1,2025-12-14,Returned,Credit Card
ORD-5210,STR-2055,CUST-5000,PRD-3306,24,188.94,4534.56,2025-09-03,Delivered,Credit Card
ORD-5211,STR-2063,CUST-4085,PRD-3390,14,1351.57,18921.98,2025-03-20,Cancelled,COD
ORD-5212,STR-2024,CUST-4256,PRD-3144,25,707.85,17696.25,2025-05-15,Cancelled,Escrow
ORD-5213,STR-2086,CUST-4841,PRD-3220,7,2448.38,17138.66,2026-02-05,Returned,UPI
ORD-5214,STR-2090,CUST-4748,PRD-3258,20,1028.76,20575.2,2026-03-14,Processing,Escrow
ORD-5215,STR-2030,CUST-4124,PRD-3068,13,336.08,4369.04,2025-04-09,Delivered,Net Banking
ORD-5216,STR-2003,CUST-4632,PRD-3103,3,4342.1,13026.3,2025-07-14,Shipped,COD
ORD-5217,STR-2040,CUST-4717,PRD-3325,8,1225.61,9804.88,2025-08-07,Shipped,UPI
ORD-5218,STR-2066,CUST-4438,PRD-3330,2,1625.81,3251.62,2025-05-18,Delivered,Credit Card
ORD-5219,STR-2045,CUST-4729,PRD-3215,8,1701.23,13609.84,2025-01-25,Delivered,UPI
ORD-5220,STR-2001,CUST-4054,PRD-3339,24,1709.95,41038.8,2025-05-27,Shipped,Credit Card
ORD-5221,STR-2078,CUST-4104,PRD-3221,6,1373.48,8240.88,2025-09-09,Delivered,Credit Card
ORD-5222,STR-2039,CUST-4115,PRD-3050,22,216.26,4757.72,2025-10-10,Returned,Escrow
ORD-5223,STR-2043,CUST-4370,PRD-3380,12,3753.22,45038.64,2025-10-29,Processing,COD
ORD-5224,STR-2048,CUST-4244,PRD-3333,9,1168.66,10517.94,2025-07-16,Delivered,UPI
ORD-5225,STR-2017,CUST-4645,PRD-3381,20,733.72,14674.4,2025-10-28,Cancelled,Escrow
ORD-5226,STR-2025,CUST-4722,PRD-3229,4,513.17,2052.68,2025-10-07,Processing,Credit Card
ORD-5227,STR-2039,CUST-4743,PRD-3243,25,1129.7,28242.5,2026-01-05,Delivered,UPI
ORD-5228,STR-2017,CUST-4197,PRD-3215,18,3601.28,64823.04,2026-03-26,Returned,COD
ORD-5229,STR-2045,CUST-4917,PRD-3188,15,3204.84,48072.6,2025-03-02,Shipped,UPI
ORD-5230,STR-2062,CUST-4430,PRD-3269,17,3985.79,67758.43,2025-03-27,Processing,Credit Card
ORD-5231,STR-2090,CUST-4991,PRD-3067,10,370.41,3704.1,2025-10-17,Delivered,Escrow
ORD-5232,STR-2095,CUST-4835,PRD-3204,16,3470.77,55532.32,2026-03-22,Processing,UPI
ORD-5233,STR-2022,CUST-4449,PRD-3385,17,2013.13,34223.21,2026-02-04,Shipped,Net Banking
ORD-5234,STR-2078,CUST-4279,PRD-3106,6,167.46,1004.76,2025-10-20,Delivered,COD
ORD-5235,STR-2090,CUST-4010,PRD-3451,17,2358.89,40101.13,2025-12-29,Cancelled,COD
ORD-5236,STR-2034,CUST-4311,PRD-3437,8,1587.36,12698.88,2025-05-18,Processing,UPI
ORD-5237,STR-2022,CUST-4230,PRD-3024,18,1305.35,23496.3,2025-01-21,Cancelled,Escrow
ORD-5238,STR-2036,CUST-4950,PRD-3069,9,4385.91,39473.19,2025-01-27,Cancelled,Escrow
ORD-5239,STR-2027,CUST-4548,PRD-3060,1,3295.93,3295.93,2025-11-20,Processing,Credit Card
ORD-5240,STR-2042,CUST-4086,PRD-3485,23,4437.33,102058.59,2025-05-16,Cancelled,Escrow
ORD-5241,STR-2053,CUST-4920,PRD-3314,10,1724.48,17244.8,2025-01-30,Cancelled,UPI
ORD-5242,STR-2046,CUST-4225,PRD-3375,9,1007.17,9064.53,2025-01-09,Processing,COD
ORD-5243,STR-2014,CUST-4740,PRD-3382,23,2002.61,46060.03,2025-12-01,Delivered,COD
ORD-5244,STR-2071,CUST-4212,PRD-3419,15,1220.1,18301.5,2025-05-18,Delivered,COD
ORD-5245,STR-2081,CUST-4828,PRD-3440,25,2068.0,51700.0,2025-08-17,Delivered,Net Banking
ORD-5246,STR-2048,CUST-4152,PRD-3462,16,604.4,9670.4,2025-04-03,Shipped,Escrow
ORD-5247,STR-2023,CUST-4194,PRD-3292,16,4725.27,75604.32,2025-04-03,Cancelled,Credit Card
ORD-5248,STR-2003,CUST-4318,PRD-3084,6,4114.87,24689.22,2025-12-18,Processing,Escrow
ORD-5249,STR-2009,CUST-4147,PRD-3037,14,1339.48,18752.72,2025-11-27,Shipped,UPI
ORD-5250,STR-2093,CUST-4540,PRD-3071,24,3789.65,90951.6,2025-01-07,Processing,UPI
