escrow_id,order_id,escrow_amount_inr,status,funded_date,released_date
ESC-6083,ORD-7225,39479.08,Disputed,2025-01-07,
ESC-6084,ORD-5514,24263.84,Disputed,2025-05-09,
ESC-6085,ORD-6617,28187.92,Released,2025-09-02,2025-09-06
ESC-6086,ORD-5995,149863.13,Released,2025-01-06,2025-01-11
ESC-6087,ORD-6283,38917.31,Released,2025-03-23,2025-03-29
ESC-6088,ORD-7200,65027.0,Funded,2025-08-18,
ESC-6089,ORD-6942,59267.61,Released,2025-03-10,2025-03-22
ESC-6090,ORD-5811,98642.39,Disputed,2025-10-02,
ESC-6091,ORD-7022,96869.28,Released,2025-07-22,2025-08-01
ESC-6092,ORD-6239,10141.83,In Inspection,2025-09-13,
ESC-6093,ORD-6994,129830.57,Funded,2025-01-21,
ESC-6094,ORD-6839,98417.58,Released,2025-05-30,2025-06-13
ESC-6095,ORD-5213,5518.46,Released,2025-01-19,2025-01-27
ESC-6096,ORD-5300,5253.83,Disputed,2025-09-10,
ESC-6097,ORD-5593,44339.45,Released,2025-03-12,2025-03-20
ESC-6098,ORD-6133,29469.91,Released,2025-05-29,2025-06-02
ESC-6099,ORD-6790,112378.86,Disputed,2025-09-30,
ESC-6100,ORD-7428,101459.5,In Inspection,2025-04-02,
ESC-6101,ORD-6989,149718.15,Released,2025-04-30,2025-05-12
ESC-6102,ORD-7257,49561.74,Released,2025-04-23,2025-05-04
ESC-6103,ORD-5424,121228.34,Released,2025-09-19,2025-10-01
ESC-6104,ORD-5782,136405.76,Disputed,2025-04-09,
ESC-6105,ORD-5682,117117.28,Released,2025-10-09,2025-10-22
ESC-6106,ORD-6747,78605.99,Released,2025-01-21,2025-01-28
ESC-6107,ORD-5740,98480.24,Released,2025-06-30,2025-07-10
ESC-6108,ORD-5947,14163.3,In Inspection,2025-07-08,
ESC-6109,ORD-7371,37201.54,Funded,2025-08-07,
ESC-6110,ORD-7370,89992.69,Disputed,2025-02-11,
ESC-6111,ORD-5784,49515.4,Released,2025-08-28,2025-09-11
ESC-6112,ORD-5234,53561.69,Released,2025-01-02,2025-01-12
ESC-6113,ORD-6964,57806.05,Disputed,2025-10-13,
ESC-6114,ORD-7260,138026.97,Released,2025-10-17,2025-10-24
ESC-6115,ORD-7367,92389.69,Released,2025-04-12,2025-04-20
ESC-6116,ORD-6869,58238.01,Released,2025-08-01,2025-08-06
ESC-6117,ORD-5290,37557.82,Funded,2025-06-16,
ESC-6118,ORD-7371,55364.44,In Inspection,2025-05-12,
ESC-6119,ORD-7263,43722.36,Released,2025-05-23,2025-06-06
ESC-6120,ORD-5702,26525.29,Released,2025-10-26,2025-11-03
ESC-6121,ORD-6379,17371.19,Released,2025-01-18,2025-02-01
ESC-6122,ORD-6342,92819.22,Released,2025-05-31,2025-06-04
ESC-6123,ORD-7384,63486.9,Disputed,2025-07-01,
ESC-6124,ORD-5450,138306.05,Disputed,2025-02-20,
ESC-6125,ORD-5107,90505.92,Released,2025-06-08,2025-06-16
ESC-6126,ORD-5440,101697.35,Released,2025-04-28,2025-05-07
ESC-6127,ORD-6457,110784.86,Funded,2025-06-21,
ESC-6128,ORD-5125,39641.8,Released,2025-05-02,2025-05-12
ESC-6129,ORD-5584,23248.35,Released,2025-03-10,2025-03-19
ESC-6130,ORD-6995,126883.52,Released,2025-01-21,2025-02-04
ESC-6131,ORD-5814,132819.16,Disputed,2025-03-30,
ESC-6132,ORD-5887,95911.89,In Inspection,2025-02-27,
ESC-6133,ORD-5574,78603.29,Released,2025-02-02,2025-02-13
ESC-6134,ORD-7336,113142.22,Released,2025-06-07,2025-06-20
ESC-6135,ORD-6816,111904.23,Disputed,2025-06-13,
ESC-6136,ORD-5570,143247.12,Funded,2025-02-06,
ESC-6137,ORD-5661,67582.28,Released,2025-10-25,2025-11-03
ESC-6138,ORD-6001,114219.46,Released,2025-04-22,2025-04-26
ESC-6139,ORD-5360,47607.45,Released,2025-05-03,2025-05-07
ESC-6140,ORD-5067,149455.96,In Inspection,2025-07-26,
ESC-6141,ORD-5664,146163.38,Funded,2025-08-10,
ESC-6142,ORD-6370,117766.77,In Inspection,2025-05-13,
ESC-6143,ORD-5108,6445.78,In Inspection,2025-02-18,
ESC-6144,ORD-7087,120672.06,Released,2025-08-02,2025-08-09
ESC-6145,ORD-7242,142895.67,Disputed,2025-02-17,
ESC-6146,ORD-5154,137860.05,Released,2025-02-04,2025-02-15
ESC-6147,ORD-5627,47421.35,Disputed,2025-05-10,
ESC-6148,ORD-5098,82736.07,Released,2025-01-24,2025-01-29
ESC-6149,ORD-7121,41114.12,Released,2025-02-02,2025-02-11
ESC-6150,ORD-7254,71910.86,Released,2025-04-09,2025-04-14
ESC-6151,ORD-5264,44028.46,In Inspection,2025-10-21,
ESC-6152,ORD-6959,129627.15,Funded,2025-04-18,
ESC-6153,ORD-5526,144490.17,Released,2025-04-07,2025-04-20
ESC-6154,ORD-6276,100483.01,Released,2025-04-20,2025-05-04
ESC-6155,ORD-5840,47751.07,Released,2025-02-23,2025-02-26
ESC-6156,ORD-6685,55780.43,Funded,2025-01-11,
ESC-6157,ORD-6206,126909.68,Funded,2025-02-03,
ESC-6158,ORD-5050,95278.41,Funded,2025-04-13,
ESC-6159,ORD-5500,37075.9,Released,2025-06-20,2025-07-04
ESC-6160,ORD-6865,86755.64,Released,2025-01-25,2025-02-08
ESC-6161,ORD-6935,114576.29,Released,2025-03-07,2025-03-20
ESC-6162,ORD-5951,90527.41,Released,2025-08-05,2025-08-19
ESC-6163,ORD-6902,21745.34,Funded,2025-09-08,
ESC-6164,ORD-6548,119749.36,Funded,2025-09-25,
ESC-6165,ORD-7458,133955.29,In Inspection,2025-10-26,
ESC-6166,ORD-7271,75780.52,In Inspection,2025-08-21,
ESC-6167,ORD-7012,64969.1,Disputed,2025-08-13,
ESC-6168,ORD-6520,130053.31,Released,2025-09-14,2025-09-24
ESC-6169,ORD-6904,99301.56,Released,2025-04-20,2025-05-02
ESC-6170,ORD-7200,14893.62,In Inspection,2025-04-25,
ESC-6171,ORD-6870,97375.4,Released,2025-01-22,2025-01-29
ESC-6172,ORD-7076,72791.35,Funded,2025-05-21,
ESC-6173,ORD-6480,19744.09,Released,2025-06-13,2025-06-21
ESC-6174,ORD-7054,62958.66,In Inspection,2025-02-13,
ESC-6175,ORD-6869,124674.13,Released,2025-05-24,2025-05-28
ESC-6176,ORD-7206,84439.29,Disputed,2025-01-16,
ESC-6177,ORD-7043,144371.46,In Inspection,2025-07-26,
ESC-6178,ORD-6277,109867.36,Funded,2025-05-07,
ESC-6179,ORD-5439,53805.81,Released,2025-06-13,2025-06-24
ESC-6180,ORD-6358,93922.92,In Inspection,2025-02-24,
ESC-6181,ORD-7210,96540.11,Released,2025-07-20,2025-08-03
ESC-6182,ORD-5575,7362.81,Released,2025-06-06,2025-06-18
ESC-6183,ORD-5784,115663.09,In Inspection,2025-04-04,
ESC-6184,ORD-6836,14469.65,In Inspection,2025-06-11,
ESC-6185,ORD-6031,7086.77,Released,2025-04-27,2025-05-08
ESC-6186,ORD-6287,127497.4,Released,2025-01-05,2025-01-10
ESC-6187,ORD-5224,111485.03,Disputed,2025-02-08,
ESC-6188,ORD-6455,31589.92,In Inspection,2025-05-23,
ESC-6189,ORD-5762,10637.55,Released,2025-07-03,2025-07-16
ESC-6190,ORD-6427,108550.8,Released,2025-06-13,2025-06-20
ESC-6191,ORD-6157,140703.06,Funded,2025-08-19,
ESC-6192,ORD-7115,106960.44,Disputed,2025-07-31,
ESC-6193,ORD-6868,71527.65,In Inspection,2025-09-27,
ESC-6194,ORD-7204,145877.08,In Inspection,2025-03-26,
ESC-6195,ORD-5555,146305.8,Funded,2025-01-17,
ESC-6196,ORD-5159,69690.95,Released,2025-01-05,2025-01-12
ESC-6197,ORD-5089,115931.7,In Inspection,2025-06-08,
ESC-6198,ORD-7026,114572.63,Funded,2025-03-05,
ESC-6199,ORD-5712,46019.16,Funded,2025-08-16,
ESC-6200,ORD-6504,101128.31,In Inspection,2025-01-08,
ESC-6201,ORD-6145,16479.81,Funded,2025-06-09,
ESC-6202,ORD-7261,65559.7,Released,2025-02-11,2025-02-22
ESC-6203,ORD-6714,40424.04,Released,2025-03-18,2025-03-27
ESC-6204,ORD-5517,116014.66,Released,2025-09-12,2025-09-15
ESC-6205,ORD-6060,85535.27,Released,2025-08-29,2025-09-02
ESC-6206,ORD-5471,121267.65,Funded,2025-09-15,
ESC-6207,ORD-6898,71264.68,Funded,2025-04-29,
ESC-6208,ORD-5993,25661.95,Released,2025-01-25,2025-02-08
ESC-6209,ORD-6169,99792.99,Released,2025-01-15,2025-01-25
ESC-6210,ORD-6001,22354.06,Released,2025-08-05,2025-08-16
ESC-6211,ORD-7320,148801.94,Released,2025-05-12,2025-05-24
ESC-6212,ORD-5246,113827.5,Disputed,2025-01-30,
ESC-6213,ORD-6069,120218.99,Released,2025-09-20,2025-09-24
ESC-6214,ORD-6901,67740.8,In Inspection,2025-09-14,
ESC-6215,ORD-7417,87078.81,Released,2025-07-26,2025-08-07
ESC-6216,ORD-5659,44335.4,Funded,2025-05-25,
ESC-6217,ORD-7161,20378.77,Disputed,2025-04-09,
ESC-6218,ORD-5243,16253.57,Released,2025-05-28,2025-06-03
ESC-6219,ORD-5557,39000.43,Released,2025-07-02,2025-07-16
ESC-6220,ORD-6553,122799.62,Funded,2025-09-19,
ESC-6221,ORD-5511,26992.54,Released,2025-02-11,2025-02-21
ESC-6222,ORD-5233,5682.16,Released,2025-05-04,2025-05-14
ESC-6223,ORD-6110,31677.04,Released,2025-07-01,2025-07-10
ESC-6224,ORD-6922,46162.66,Disputed,2025-06-19,
ESC-6225,ORD-5861,58541.52,Released,2025-02-16,2025-03-01
ESC-6226,ORD-5635,32811.96,Funded,2025-06-22,
ESC-6227,ORD-6057,18610.06,Funded,2025-02-28,
ESC-6228,ORD-7425,125805.17,Funded,2025-03-12,
ESC-6229,ORD-5114,58429.17,Released,2025-02-22,2025-02-28
ESC-6230,ORD-6647,98318.25,Released,2025-01-28,2025-01-31
ESC-6231,ORD-6477,130993.63,Released,2025-02-08,2025-02-21
ESC-6232,ORD-6267,41554.81,Disputed,2025-08-06,
ESC-6233,ORD-6793,98962.91,Released,2025-07-07,2025-07-13
ESC-6234,ORD-7296,41663.34,Released,2025-06-11,2025-06-20
ESC-6235,ORD-5492,20744.8,Released,2025-02-25,2025-03-10
ESC-6236,ORD-6281,101041.13,In Inspection,2025-10-20,
ESC-6237,ORD-6275,42344.87,Released,2025-07-31,2025-08-14
ESC-6238,ORD-5350,81255.92,Released,2025-06-11,2025-06-17
ESC-6239,ORD-6797,115070.33,Released,2025-10-02,2025-10-07
ESC-6240,ORD-6645,80670.25,Disputed,2025-07-08,
ESC-6241,ORD-5246,81243.99,Released,2025-10-25,2025-11-07
ESC-6242,ORD-6274,145204.34,Released,2025-04-09,2025-04-14
ESC-6243,ORD-5799,53732.27,Released,2025-04-28,2025-05-06
ESC-6244,ORD-7094,10754.61,Released,2025-06-20,2025-07-03
ESC-6245,ORD-5703,77427.55,Funded,2025-06-22,
ESC-6246,ORD-5115,139093.45,Released,2025-06-11,2025-06-14
ESC-6247,ORD-7037,108120.54,In Inspection,2025-02-15,
ESC-6248,ORD-7400,103703.54,Disputed,2025-08-19,
ESC-6249,ORD-5868,55705.05,Released,2025-03-09,2025-03-17
ESC-6250,ORD-5741,43873.57,Disputed,2025-08-31,
ESC-6251,ORD-7017,74576.9,Released,2025-05-27,2025-06-03
ESC-6252,ORD-7317,60101.46,In Inspection,2025-05-06,
ESC-6253,ORD-5139,47652.57,Released,2025-01-28,2025-01-31
ESC-6254,ORD-6781,3784.59,In Inspection,2025-09-30,
ESC-6255,ORD-7094,138779.45,Released,2025-06-02,2025-06-13
ESC-6256,ORD-6780,21071.13,Disputed,2025-08-23,
ESC-6257,ORD-6492,121418.55,Released,2025-09-12,2025-09-22
ESC-6258,ORD-7432,36110.82,In Inspection,2025-06-30,
ESC-6259,ORD-6189,98850.64,Released,2025-01-11,2025-01-23
ESC-6260,ORD-5413,23107.75,Funded,2025-05-11,
ESC-6261,ORD-5100,71498.8,Released,2025-05-10,2025-05-18
ESC-6262,ORD-5812,91450.21,Funded,2025-02-17,
ESC-6263,ORD-6779,11415.87,In Inspection,2025-04-24,
ESC-6264,ORD-5579,126755.07,Disputed,2025-05-10,
ESC-6265,ORD-6920,7084.6,In Inspection,2025-03-15,
ESC-6266,ORD-6627,142949.38,Released,2025-02-23,2025-03-09
ESC-6267,ORD-6954,46255.69,Funded,2025-07-21,
ESC-6268,ORD-5233,34596.98,Released,2025-01-31,2025-02-13
ESC-6269,ORD-5947,113054.11,Disputed,2025-10-27,
ESC-6270,ORD-6218,38862.48,Disputed,2025-09-18,
ESC-6271,ORD-7176,40651.86,Released,2025-03-21,2025-03-31
ESC-6272,ORD-7281,87048.07,Released,2025-05-05,2025-05-14
ESC-6273,ORD-5372,118487.83,Released,2025-05-16,2025-05-28
ESC-6274,ORD-6697,109571.54,Released,2025-06-06,2025-06-18
ESC-6275,ORD-6452,107410.03,Released,2025-08-22,2025-09-05
ESC-6276,ORD-7077,131687.37,Released,2025-08-18,2025-09-01
ESC-6277,ORD-5791,109533.05,Released,2025-05-28,2025-06-10
ESC-6278,ORD-5589,67318.71,Funded,2025-09-28,
ESC-6279,ORD-5937,22076.61,Released,2025-05-24,2025-05-27
ESC-6280,ORD-5662,33958.4,Released,2025-07-21,2025-08-03
ESC-6281,ORD-5530,72680.06,Funded,2025-08-25,
ESC-6282,ORD-6674,137922.99,Released,2025-01-16,2025-01-29
ESC-6283,ORD-6134,146827.87,Released,2025-07-19,2025-07-27
ESC-6284,ORD-6502,17146.62,Released,2025-10-10,2025-10-19
ESC-6285,ORD-5948,76934.55,Funded,2025-01-09,
ESC-6286,ORD-6435,3466.09,Released,2025-03-09,2025-03-20
ESC-6287,ORD-7471,26385.45,Released,2025-05-30,2025-06-12
ESC-6288,ORD-6387,89180.22,Released,2025-09-27,2025-10-11
ESC-6289,ORD-5553,67747.12,Released,2025-09-09,2025-09-19
ESC-6290,ORD-6118,29427.66,In Inspection,2025-04-18,
ESC-6291,ORD-6304,105633.75,Released,2025-04-28,2025-05-11
ESC-6292,ORD-6872,31045.13,Released,2025-08-14,2025-08-25
ESC-6293,ORD-5885,92166.9,Disputed,2025-10-24,
ESC-6294,ORD-5767,14272.23,Released,2025-03-03,2025-03-06
ESC-6295,ORD-5049,22848.13,Funded,2025-09-08,
ESC-6296,ORD-6807,114097.07,Funded,2025-05-12,
ESC-6297,ORD-5794,134369.99,Disputed,2025-05-09,
ESC-6298,ORD-7138,59341.51,In Inspection,2025-07-15,
ESC-6299,ORD-6407,34444.97,Released,2025-02-04,2025-02-12
ESC-6300,ORD-6461,72769.39,Funded,2025-01-14,
ESC-6301,ORD-6459,29273.49,In Inspection,2025-10-18,
ESC-6302,ORD-7292,31195.45,In Inspection,2025-08-21,
ESC-6303,ORD-5910,6972.38,In Inspection,2025-07-05,
ESC-6304,ORD-5212,72755.66,Released,2025-04-30,2025-05-10
ESC-6305,ORD-6841,127873.68,Released,2025-02-23,2025-02-28
ESC-6306,ORD-6952,148363.35,Released,2025-02-13,2025-02-27
ESC-6307,ORD-6276,78786.15,Funded,2025-03-23,
ESC-6308,ORD-6860,101301.64,Released,2025-01-14,2025-01-25
ESC-6309,ORD-5612,63266.3,Disputed,2025-01-10,
ESC-6310,ORD-5002,92105.59,Released,2025-03-19,2025-03-24
ESC-6311,ORD-5113,85214.32,Disputed,2025-09-02,
ESC-6312,ORD-5350,131033.13,Funded,2025-09-25,
ESC-6313,ORD-7394,127177.29,Released,2025-06-27,2025-07-02
ESC-6314,ORD-6005,90440.82,Disputed,2025-06-15,
ESC-6315,ORD-7336,63495.2,Funded,2025-03-09,
ESC-6316,ORD-5961,33431.49,Released,2025-09-22,2025-10-06
ESC-6317,ORD-6903,142046.24,Funded,2025-08-24,
ESC-6318,ORD-6478,68208.26,In Inspection,2025-01-16,
ESC-6319,ORD-5810,27184.11,Funded,2025-10-10,
ESC-6320,ORD-7154,81918.27,Released,2025-01-02,2025-01-14
ESC-6321,ORD-6160,140996.45,Released,2025-06-22,2025-06-25
ESC-6322,ORD-5694,143324.68,Disputed,2025-05-24,
ESC-6323,ORD-5499,142155.49,Funded,2025-01-25,
ESC-6324,ORD-6818,78202.44,In Inspection,2025-08-05,
ESC-6325,ORD-7022,98319.83,In Inspection,2025-09-06,
ESC-6326,ORD-6330,52749.58,In Inspection,2025-06-23,
ESC-6327,ORD-5021,89185.9,In Inspection,2025-02-19,
ESC-6328,ORD-6244,51950.55,Released,2025-08-13,2025-08-18
ESC-6329,ORD-6017,60146.91,In Inspection,2025-05-30,
ESC-6330,ORD-6612,21370.57,Released,2025-09-14,2025-09-23
ESC-6331,ORD-6390,17896.64,Funded,2025-05-28,
ESC-6332,ORD-5551,8305.62,Released,2025-10-11,2025-10-18
ESC-6333,ORD-6327,137212.42,Disputed,2025-05-13,
ESC-6334,ORD-6644,24069.89,Released,2025-07-17,2025-07-24
ESC-6335,ORD-5793,139537.37,In Inspection,2025-04-14,
ESC-6336,ORD-7352,135877.14,Funded,2025-08-06,
ESC-6337,ORD-6547,68747.04,Funded,2025-08-15,
ESC-6338,ORD-7278,134424.99,In Inspection,2025-08-03,
ESC-6339,ORD-7309,77834.6,Disputed,2025-07-04,
ESC-6340,ORD-7183,48913.16,Released,2025-02-08,2025-02-12
ESC-6341,ORD-5224,60805.52,Released,2025-08-23,2025-09-05
ESC-6342,ORD-5620,146804.72,Released,2025-02-16,2025-02-27
ESC-6343,ORD-6834,94660.1,Disputed,2025-10-24,
ESC-6344,ORD-6844,81851.32,Released,2025-04-21,2025-05-01
ESC-6345,ORD-6937,10226.77,Released,2025-05-23,2025-06-04
ESC-6346,ORD-5872,132125.15,Funded,2025-08-09,
ESC-6347,ORD-6090,55065.18,Disputed,2025-09-25,
ESC-6348,ORD-5604,139129.57,Released,2025-05-07,2025-05-17
ESC-6349,ORD-7239,4652.02,Released,2025-01-02,2025-01-09
ESC-6350,ORD-5161,73664.75,In Inspection,2025-04-13,
ESC-6351,ORD-6594,53322.68,In Inspection,2025-08-17,
ESC-6352,ORD-6529,60602.06,In Inspection,2025-04-02,
ESC-6353,ORD-6770,135240.42,In Inspection,2025-03-13,
ESC-6354,ORD-5206,125467.7,Released,2025-03-23,2025-04-02
ESC-6355,ORD-5854,144675.24,Released,2025-03-02,2025-03-07
ESC-6356,ORD-6492,59935.35,Released,2025-04-05,2025-04-09
ESC-6357,ORD-5633,128263.66,Funded,2025-01-14,
ESC-6358,ORD-7264,117613.2,Released,2025-09-17,2025-09-29
ESC-6359,ORD-6430,118681.57,Funded,2025-07-08,
ESC-6360,ORD-5959,23424.57,Released,2025-04-03,2025-04-11
ESC-6361,ORD-6591,58646.97,Funded,2025-10-25,
ESC-6362,ORD-7211,118210.86,Funded,2025-06-20,
ESC-6363,ORD-7012,122151.65,Released,2025-07-28,2025-08-10
ESC-6364,ORD-7482,9311.22,Released,2025-01-16,2025-01-22
ESC-6365,ORD-6101,13293.28,Released,2025-07-27,2025-08-04
ESC-6366,ORD-5775,20938.96,In Inspection,2025-06-15,
ESC-6367,ORD-6777,110510.76,In Inspection,2025-05-17,
ESC-6368,ORD-7467,149699.9,Released,2025-08-14,2025-08-17
ESC-6369,ORD-7042,120687.05,Released,2025-01-23,2025-01-26
ESC-6370,ORD-7043,42672.47,Released,2025-02-20,2025-02-27
ESC-6371,ORD-5982,39009.28,Released,2025-01-17,2025-01-20
ESC-6372,ORD-6138,110655.21,Funded,2025-09-07,
ESC-6373,ORD-6266,134031.23,Released,2025-04-11,2025-04-20
ESC-6374,ORD-7294,67058.23,Disputed,2025-07-15,
ESC-6375,ORD-5977,76800.76,Disputed,2025-08-23,
ESC-6376,ORD-6789,30002.64,Funded,2025-07-03,
ESC-6377,ORD-6958,106911.25,Released,2025-01-04,2025-01-18
ESC-6378,ORD-6332,40107.59,Released,2025-09-14,2025-09-23
ESC-6379,ORD-6758,20486.02,Released,2025-05-29,2025-06-09
ESC-6380,ORD-7046,47871.91,Released,2025-03-29,2025-04-08
ESC-6381,ORD-7073,55828.28,Released,2025-02-02,2025-02-09
ESC-6382,ORD-5446,109554.47,In Inspection,2025-09-15,
ESC-6383,ORD-7051,71843.58,Released,2025-04-17,2025-05-01
ESC-6384,ORD-6058,103692.28,Released,2025-02-12,2025-02-25
ESC-6385,ORD-5660,22612.06,Disputed,2025-04-23,
ESC-6386,ORD-7361,130754.04,In Inspection,2025-03-23,
ESC-6387,ORD-5503,48821.38,Funded,2025-01-08,
ESC-6388,ORD-6889,105554.8,Funded,2025-04-19,
ESC-6389,ORD-5568,100118.03,Funded,2025-05-29,
ESC-6390,ORD-6119,142341.1,Released,2025-06-29,2025-07-08
ESC-6391,ORD-6858,138740.02,Released,2025-02-06,2025-02-14
ESC-6392,ORD-6090,18793.29,Released,2025-07-14,2025-07-23
ESC-6393,ORD-5029,46263.38,Released,2025-10-08,2025-10-20
ESC-6394,ORD-5945,87567.71,Funded,2025-07-25,
ESC-6395,ORD-6271,57161.01,Disputed,2025-07-25,
ESC-6396,ORD-7014,138292.21,Disputed,2025-08-19,
ESC-6397,ORD-6637,140001.47,Released,2025-08-10,2025-08-19
ESC-6398,ORD-6642,129545.84,Released,2025-07-21,2025-07-24
ESC-6399,ORD-7303,54536.32,Funded,2025-09-14,
ESC-6400,ORD-6401,127855.56,Released,2025-10-28,2025-11-06
ESC-6401,ORD-6274,51106.01,Released,2025-04-05,2025-04-09
ESC-6402,ORD-7012,56154.12,Released,2025-10-21,2025-11-02
ESC-6403,ORD-7201,79112.61,In Inspection,2025-03-10,
ESC-6404,ORD-7431,84850.97,Released,2025-03-15,2025-03-25
ESC-6405,ORD-6477,46615.22,Released,2025-03-14,2025-03-19
ESC-6406,ORD-5021,66090.89,Disputed,2025-10-11,
ESC-6407,ORD-6482,104620.39,Released,2025-03-29,2025-04-10
ESC-6408,ORD-7197,71443.45,Disputed,2025-04-29,
ESC-6409,ORD-7156,66189.7,Disputed,2025-05-22,
