pricing_id,product_id,old_price_inr,new_price_inr,effective_date,change_reason
PRH-273,PRD-3093,1385.68,1454.03,2025-11-19,Seasonal Sale
PRH-274,PRD-3065,1179.01,1169.21,2025-10-10,Margin Optimization
PRH-275,PRD-3226,361.18,393.84,2025-02-22,Margin Optimization
PRH-276,PRD-3432,1883.87,2021.87,2025-09-23,Competitive Matching
PRH-277,PRD-3236,2516.8,2433.48,2025-10-02,Competitive Matching
PRH-278,PRD-3355,855.63,1013.76,2025-03-19,Cost Adjustment
PRH-279,PRD-3014,3183.56,2916.74,2025-02-05,Seasonal Sale
PRH-280,PRD-3398,1877.61,1761.0,2025-05-18,Seasonal Sale
PRH-281,PRD-3147,2017.66,2330.78,2025-02-19,Cost Adjustment
PRH-282,PRD-3178,3528.07,3638.37,2025-04-06,Seasonal Sale
PRH-283,PRD-3486,451.61,401.77,2025-10-17,Competitive Matching
PRH-284,PRD-3044,1889.54,2123.4,2025-01-01,Margin Optimization
PRH-285,PRD-3422,298.84,301.73,2025-12-01,Margin Optimization
PRH-286,PRD-3500,2736.38,2515.0,2025-03-01,Seasonal Sale
PRH-287,PRD-3050,3214.73,3172.68,2025-06-02,Competitive Matching
PRH-288,PRD-3125,2303.44,2113.65,2025-06-01,Seasonal Sale
PRH-289,PRD-3179,1425.1,1215.38,2025-04-25,Competitive Matching
PRH-290,PRD-3126,1123.68,1316.27,2025-03-31,Cost Adjustment
PRH-291,PRD-3017,580.88,562.32,2025-06-03,Margin Optimization
PRH-292,PRD-3231,1444.52,1660.53,2025-02-05,Competitive Matching
PRH-293,PRD-3297,2437.3,2588.06,2025-10-20,Margin Optimization
PRH-294,PRD-3242,360.66,318.59,2025-09-03,Cost Adjustment
PRH-295,PRD-3185,1828.66,1975.47,2025-03-06,Competitive Matching
PRH-296,PRD-3283,945.47,817.25,2025-05-17,Seasonal Sale
PRH-297,PRD-3169,1365.14,1345.92,2025-04-09,Margin Optimization
PRH-298,PRD-3448,1989.15,2046.04,2025-04-28,Margin Optimization
PRH-299,PRD-3257,1847.61,1841.65,2025-06-03,Competitive Matching
PRH-300,PRD-3369,1375.83,1448.53,2025-03-01,Cost Adjustment
PRH-301,PRD-3339,1734.46,2053.81,2025-03-09,Margin Optimization
PRH-302,PRD-3441,1904.19,1747.11,2025-03-13,Cost Adjustment
PRH-303,PRD-3194,3318.61,3731.8,2025-05-21,Seasonal Sale
PRH-304,PRD-3445,3970.55,3784.27,2025-11-12,Seasonal Sale
PRH-305,PRD-3388,490.2,522.05,2025-03-31,Competitive Matching
PRH-306,PRD-3229,1198.05,1107.44,2025-11-19,Competitive Matching
PRH-307,PRD-3026,1837.29,1988.49,2025-10-05,Seasonal Sale
PRH-308,PRD-3031,2388.24,2646.77,2025-09-15,Margin Optimization
PRH-309,PRD-3069,3524.44,3112.22,2025-01-10,Seasonal Sale
PRH-310,PRD-3262,773.89,818.17,2025-09-16,Seasonal Sale
PRH-311,PRD-3301,3075.48,3660.37,2025-01-21,Cost Adjustment
PRH-312,PRD-3189,3577.33,4018.6,2025-12-13,Competitive Matching
PRH-313,PRD-3319,1527.63,1457.85,2025-08-07,Cost Adjustment
PRH-314,PRD-3223,2323.48,2586.48,2025-11-18,Margin Optimization
PRH-315,PRD-3263,330.86,308.73,2025-06-08,Cost Adjustment
PRH-316,PRD-3004,3484.84,3360.63,2025-05-19,Margin Optimization
PRH-317,PRD-3267,264.39,299.12,2025-04-13,Cost Adjustment
PRH-318,PRD-3420,3502.89,3313.64,2025-05-04,Margin Optimization
PRH-319,PRD-3001,3679.73,3763.48,2025-04-11,Seasonal Sale
PRH-320,PRD-3053,2994.4,2658.14,2025-06-26,Competitive Matching
PRH-321,PRD-3295,1463.02,1566.86,2025-12-02,Seasonal Sale
PRH-322,PRD-3296,511.61,557.24,2025-11-01,Cost Adjustment
PRH-323,PRD-3306,1639.92,1962.85,2025-11-15,Cost Adjustment
PRH-324,PRD-3309,3484.28,3248.15,2025-05-30,Cost Adjustment
PRH-325,PRD-3251,2645.08,2541.78,2025-10-19,Seasonal Sale
PRH-326,PRD-3010,3653.32,4162.38,2025-10-21,Competitive Matching
PRH-327,PRD-3278,2611.02,2937.82,2025-01-13,Cost Adjustment
PRH-328,PRD-3456,3536.87,3098.6,2025-09-24,Cost Adjustment
PRH-329,PRD-3055,3074.02,2979.08,2025-12-05,Seasonal Sale
PRH-330,PRD-3380,1782.14,1904.08,2025-05-30,Seasonal Sale
PRH-331,PRD-3312,1337.66,1432.75,2025-04-11,Competitive Matching
PRH-332,PRD-3459,2509.49,2315.38,2025-01-31,Cost Adjustment
PRH-333,PRD-3436,2416.88,2082.58,2025-03-01,Competitive Matching
PRH-334,PRD-3101,1472.12,1665.61,2025-01-15,Competitive Matching
PRH-335,PRD-3113,880.45,986.0,2025-08-10,Seasonal Sale
PRH-336,PRD-3475,1371.4,1640.23,2025-10-15,Cost Adjustment
PRH-337,PRD-3443,3237.95,3879.12,2025-09-11,Cost Adjustment
PRH-338,PRD-3136,1764.84,1840.69,2025-06-19,Competitive Matching
PRH-339,PRD-3183,3930.0,3474.29,2025-07-27,Seasonal Sale
PRH-340,PRD-3084,2926.47,2519.86,2025-06-20,Margin Optimization
PRH-341,PRD-3388,3212.76,3802.92,2025-05-29,Cost Adjustment
PRH-342,PRD-3042,3664.31,3840.24,2025-07-09,Seasonal Sale
PRH-343,PRD-3291,572.95,487.3,2025-09-20,Cost Adjustment
PRH-344,PRD-3356,1706.51,1909.94,2025-09-12,Margin Optimization
PRH-345,PRD-3352,300.91,347.12,2025-07-04,Seasonal Sale
PRH-346,PRD-3038,3932.69,4600.68,2025-06-20,Margin Optimization
PRH-347,PRD-3272,3526.22,3050.16,2025-04-07,Competitive Matching
PRH-348,PRD-3074,2441.68,2103.38,2025-09-21,Seasonal Sale
PRH-349,PRD-3168,3139.92,3534.62,2025-11-21,Competitive Matching
PRH-350,PRD-3248,2152.9,1980.59,2025-10-06,Cost Adjustment
PRH-351,PRD-3099,2017.38,1866.12,2025-08-30,Seasonal Sale
PRH-352,PRD-3385,513.68,445.93,2025-10-10,Margin Optimization
PRH-353,PRD-3291,2641.34,2527.9,2025-07-01,Seasonal Sale
PRH-354,PRD-3355,433.89,407.08,2025-08-23,Cost Adjustment
PRH-355,PRD-3412,917.69,1093.22,2025-10-31,Competitive Matching
PRH-356,PRD-3354,2684.56,3150.25,2025-01-08,Competitive Matching
PRH-357,PRD-3030,3025.77,3158.13,2025-05-05,Margin Optimization
PRH-358,PRD-3039,2078.21,1790.83,2025-01-20,Competitive Matching
PRH-359,PRD-3264,3315.05,3171.0,2025-12-03,Cost Adjustment
PRH-360,PRD-3371,3431.26,4076.07,2025-03-11,Seasonal Sale
PRH-361,PRD-3341,1153.18,1353.64,2025-01-05,Competitive Matching
PRH-362,PRD-3348,1436.36,1380.94,2025-05-08,Margin Optimization
PRH-363,PRD-3075,1428.13,1394.43,2025-02-10,Competitive Matching
PRH-364,PRD-3138,584.29,528.42,2025-10-16,Margin Optimization
PRH-365,PRD-3032,438.12,501.26,2025-11-10,Seasonal Sale
PRH-366,PRD-3339,690.97,667.94,2025-10-29,Competitive Matching
PRH-367,PRD-3056,2085.76,2087.77,2025-02-26,Cost Adjustment
PRH-368,PRD-3454,3433.82,3537.82,2025-04-30,Seasonal Sale
PRH-369,PRD-3129,3050.51,2633.27,2025-07-27,Competitive Matching
PRH-370,PRD-3476,3077.11,3618.67,2025-07-30,Cost Adjustment
PRH-371,PRD-3068,669.11,760.26,2025-07-31,Competitive Matching
PRH-372,PRD-3265,534.56,585.85,2025-11-23,Cost Adjustment
PRH-373,PRD-3001,492.66,447.16,2025-04-17,Seasonal Sale
PRH-374,PRD-3357,287.14,286.26,2025-10-24,Margin Optimization
PRH-375,PRD-3173,3930.61,4201.73,2025-07-19,Margin Optimization
PRH-376,PRD-3464,1133.8,1051.59,2025-11-28,Seasonal Sale
PRH-377,PRD-3199,2118.78,1874.71,2025-05-04,Competitive Matching
PRH-378,PRD-3145,1693.71,1540.35,2025-09-16,Cost Adjustment
PRH-379,PRD-3384,2049.33,2217.09,2025-11-26,Cost Adjustment
PRH-380,PRD-3161,3929.33,4044.67,2025-10-20,Cost Adjustment
PRH-381,PRD-3176,2974.46,2910.58,2025-11-11,Competitive Matching
PRH-382,PRD-3083,2193.89,1917.55,2025-10-06,Seasonal Sale
PRH-383,PRD-3204,779.14,922.05,2025-09-09,Seasonal Sale
PRH-384,PRD-3044,299.86,307.56,2025-04-05,Margin Optimization
PRH-385,PRD-3147,3823.28,3413.46,2025-01-26,Competitive Matching
PRH-386,PRD-3299,502.36,595.36,2025-06-29,Margin Optimization
PRH-387,PRD-3464,3503.07,3601.6,2025-02-13,Competitive Matching
PRH-388,PRD-3174,1477.38,1541.1,2025-10-31,Competitive Matching
PRH-389,PRD-3368,3903.74,3821.05,2025-11-15,Margin Optimization
PRH-390,PRD-3132,1137.91,1093.65,2025-03-12,Cost Adjustment
PRH-391,PRD-3248,953.34,994.42,2025-03-14,Competitive Matching
PRH-392,PRD-3398,2193.07,2575.02,2025-12-10,Seasonal Sale
PRH-393,PRD-3291,2232.02,2415.28,2025-01-12,Seasonal Sale
PRH-394,PRD-3317,489.07,574.76,2025-03-30,Margin Optimization
PRH-395,PRD-3161,3144.75,3392.62,2025-05-05,Competitive Matching
PRH-396,PRD-3075,324.46,346.78,2025-09-09,Cost Adjustment
PRH-397,PRD-3126,605.42,591.5,2025-07-14,Seasonal Sale
PRH-398,PRD-3370,1616.93,1408.66,2025-01-31,Seasonal Sale
PRH-399,PRD-3144,3429.46,3178.64,2025-01-08,Cost Adjustment
PRH-400,PRD-3058,1001.55,950.06,2025-06-04,Competitive Matching
PRH-401,PRD-3095,517.87,485.2,2025-11-25,Margin Optimization
PRH-402,PRD-3258,2775.98,3017.32,2025-07-10,Competitive Matching
PRH-403,PRD-3340,3651.71,3280.45,2025-03-10,Margin Optimization
PRH-404,PRD-3495,2002.18,2362.27,2025-03-06,Margin Optimization
PRH-405,PRD-3028,3013.86,3156.05,2025-07-24,Margin Optimization
PRH-406,PRD-3314,2418.08,2873.03,2025-08-19,Seasonal Sale
PRH-407,PRD-3180,1730.81,1829.6,2025-11-28,Competitive Matching
PRH-408,PRD-3040,441.83,429.32,2025-08-18,Margin Optimization
PRH-409,PRD-3403,1301.84,1390.23,2025-08-20,Seasonal Sale
PRH-410,PRD-3359,1899.46,1882.38,2025-04-22,Margin Optimization
PRH-411,PRD-3260,299.9,259.12,2025-02-27,Cost Adjustment
PRH-412,PRD-3316,3481.61,3567.56,2025-01-25,Competitive Matching
PRH-413,PRD-3326,899.25,778.68,2025-02-03,Seasonal Sale
PRH-414,PRD-3453,3404.78,3885.17,2025-01-05,Competitive Matching
PRH-415,PRD-3073,688.63,753.98,2025-10-19,Seasonal Sale
PRH-416,PRD-3121,2666.0,3115.02,2025-04-18,Cost Adjustment
PRH-417,PRD-3414,1357.23,1254.44,2025-07-28,Cost Adjustment
PRH-418,PRD-3221,3942.39,4370.25,2025-11-15,Margin Optimization
PRH-419,PRD-3158,2777.19,3246.33,2025-07-31,Margin Optimization
PRH-420,PRD-3021,2053.4,1825.89,2025-09-27,Competitive Matching
PRH-421,PRD-3460,458.18,407.08,2025-07-09,Margin Optimization
PRH-422,PRD-3280,3629.95,3248.57,2025-10-26,Cost Adjustment
PRH-423,PRD-3468,949.57,846.16,2025-11-28,Competitive Matching
PRH-424,PRD-3480,3704.92,3668.71,2025-04-04,Margin Optimization
PRH-425,PRD-3155,694.86,688.69,2025-04-02,Competitive Matching
PRH-426,PRD-3174,3228.57,3351.91,2025-05-27,Margin Optimization
PRH-427,PRD-3380,2406.88,2219.8,2025-02-05,Competitive Matching
PRH-428,PRD-3237,2658.41,2721.95,2025-01-14,Cost Adjustment
PRH-429,PRD-3183,2655.31,2684.07,2025-02-03,Cost Adjustment
PRH-430,PRD-3456,3904.64,4473.75,2025-09-28,Competitive Matching
PRH-431,PRD-3324,1365.87,1184.45,2025-03-21,Margin Optimization
PRH-432,PRD-3423,1189.68,1223.15,2025-05-11,Seasonal Sale
PRH-433,PRD-3142,1365.99,1271.56,2025-11-08,Seasonal Sale
PRH-434,PRD-3208,1680.98,1991.81,2025-05-27,Competitive Matching
PRH-435,PRD-3276,3071.97,3456.08,2025-08-23,Cost Adjustment
PRH-436,PRD-3062,2246.55,1969.34,2025-02-04,Seasonal Sale
PRH-437,PRD-3379,2061.16,2069.79,2025-04-23,Competitive Matching
PRH-438,PRD-3422,1892.52,1799.56,2025-08-02,Margin Optimization
PRH-439,PRD-3498,2167.94,2064.07,2025-03-06,Margin Optimization
PRH-440,PRD-3459,1093.22,1307.15,2025-11-25,Cost Adjustment
PRH-441,PRD-3328,2162.65,2446.21,2025-09-24,Cost Adjustment
PRH-442,PRD-3163,1778.5,1715.33,2025-05-26,Cost Adjustment
PRH-443,PRD-3420,1011.77,978.68,2025-11-18,Competitive Matching
PRH-444,PRD-3176,2715.13,2875.35,2025-11-23,Cost Adjustment
PRH-445,PRD-3371,1949.07,2191.32,2025-02-01,Margin Optimization
PRH-446,PRD-3458,1879.47,1633.91,2025-06-08,Competitive Matching
PRH-447,PRD-3173,3881.1,3335.34,2025-01-11,Cost Adjustment
PRH-448,PRD-3249,944.19,1059.08,2025-05-15,Cost Adjustment
PRH-449,PRD-3078,1988.87,2359.87,2025-10-28,Seasonal Sale
PRH-450,PRD-3056,2625.59,2759.88,2025-10-11,Competitive Matching
PRH-451,PRD-3196,1901.63,1701.03,2025-01-27,Competitive Matching
PRH-452,PRD-3188,1499.33,1613.29,2025-11-17,Seasonal Sale
PRH-453,PRD-3168,3434.82,3045.35,2025-08-29,Competitive Matching
PRH-454,PRD-3325,2220.8,2222.74,2025-03-21,Margin Optimization
PRH-455,PRD-3158,3667.63,4092.18,2025-05-19,Seasonal Sale
PRH-456,PRD-3225,1369.66,1406.44,2025-03-11,Seasonal Sale
PRH-457,PRD-3013,902.38,783.22,2025-02-07,Cost Adjustment
PRH-458,PRD-3215,1311.77,1377.09,2025-01-22,Margin Optimization
PRH-459,PRD-3083,1628.77,1473.6,2025-02-01,Cost Adjustment
PRH-460,PRD-3371,1258.66,1273.09,2025-01-25,Margin Optimization
PRH-461,PRD-3232,3812.27,3826.35,2025-07-11,Cost Adjustment
PRH-462,PRD-3029,2379.6,2848.29,2025-03-02,Competitive Matching
PRH-463,PRD-3200,2938.55,3515.96,2025-04-10,Seasonal Sale
PRH-464,PRD-3031,1623.04,1380.19,2025-06-27,Cost Adjustment
PRH-465,PRD-3204,3595.63,3544.91,2025-11-18,Cost Adjustment
PRH-466,PRD-3345,2939.09,3507.3,2025-10-04,Competitive Matching
PRH-467,PRD-3140,2743.88,2453.88,2025-07-23,Competitive Matching
PRH-468,PRD-3298,3646.48,3191.64,2025-01-14,Cost Adjustment
PRH-469,PRD-3407,3576.93,3254.02,2025-10-03,Margin Optimization
PRH-470,PRD-3252,1734.86,1495.33,2025-01-30,Margin Optimization
PRH-471,PRD-3074,1130.82,1035.01,2025-07-05,Cost Adjustment
PRH-472,PRD-3357,3860.32,3911.23,2025-03-05,Margin Optimization
PRH-473,PRD-3243,2442.91,2229.38,2025-10-23,Margin Optimization
PRH-474,PRD-3015,1481.83,1482.78,2025-04-30,Cost Adjustment
PRH-475,PRD-3487,1228.32,1386.53,2025-05-19,Seasonal Sale
PRH-476,PRD-3092,324.66,369.91,2025-05-27,Seasonal Sale
PRH-477,PRD-3041,3202.11,2772.51,2025-08-22,Margin Optimization
PRH-478,PRD-3087,830.68,869.29,2025-05-10,Competitive Matching
PRH-479,PRD-3468,2125.31,1949.69,2025-07-24,Margin Optimization
PRH-480,PRD-3478,1313.62,1365.19,2025-07-23,Cost Adjustment
PRH-481,PRD-3043,2047.35,2021.06,2025-11-25,Margin Optimization
PRH-482,PRD-3342,3492.54,3519.0,2025-04-20,Cost Adjustment
PRH-483,PRD-3061,594.56,673.22,2025-01-17,Competitive Matching
PRH-484,PRD-3089,2810.75,2960.25,2025-04-17,Seasonal Sale
PRH-485,PRD-3187,3710.55,3367.47,2025-04-18,Margin Optimization
PRH-486,PRD-3253,1474.62,1392.65,2025-09-26,Cost Adjustment
PRH-487,PRD-3204,2681.35,2869.62,2025-05-16,Competitive Matching
PRH-488,PRD-3282,2788.8,2760.06,2025-05-09,Margin Optimization
PRH-489,PRD-3018,1259.21,1118.65,2025-03-28,Margin Optimization
PRH-490,PRD-3054,1704.86,1892.82,2025-06-16,Competitive Matching
PRH-491,PRD-3067,1974.92,1849.85,2025-12-04,Margin Optimization
PRH-492,PRD-3029,702.64,815.61,2025-06-02,Margin Optimization
PRH-493,PRD-3040,3016.8,3211.17,2025-01-18,Competitive Matching
PRH-494,PRD-3243,2743.69,2402.1,2025-03-18,Margin Optimization
PRH-495,PRD-3339,3079.8,3317.62,2025-07-07,Competitive Matching
PRH-496,PRD-3151,513.66,571.13,2025-05-16,Seasonal Sale
PRH-497,PRD-3251,1966.69,1694.48,2025-11-13,Margin Optimization
PRH-498,PRD-3235,3713.6,3199.3,2025-01-06,Seasonal Sale
PRH-499,PRD-3165,1771.5,2018.51,2025-03-28,Seasonal Sale
PRH-500,PRD-3487,1914.19,1752.24,2025-05-21,Margin Optimization
PRH-501,PRD-3342,1220.38,1176.35,2025-07-23,Cost Adjustment
PRH-502,PRD-3151,2241.71,2609.4,2025-07-02,Cost Adjustment
PRH-503,PRD-3044,2423.56,2086.64,2025-07-27,Competitive Matching
PRH-504,PRD-3386,1693.09,1578.57,2025-04-06,Margin Optimization
PRH-505,PRD-3249,2499.77,2790.19,2025-02-09,Margin Optimization
PRH-506,PRD-3261,1479.78,1350.89,2025-11-05,Seasonal Sale
PRH-507,PRD-3349,1925.6,2173.58,2025-10-25,Cost Adjustment
PRH-508,PRD-3208,2468.05,2913.4,2025-03-16,Seasonal Sale
PRH-509,PRD-3451,3422.73,3079.47,2025-06-28,Seasonal Sale
PRH-510,PRD-3280,1177.54,1228.39,2025-06-19,Margin Optimization
PRH-511,PRD-3495,3729.76,3283.4,2025-07-27,Competitive Matching
PRH-512,PRD-3348,2041.34,1849.37,2025-05-13,Competitive Matching
PRH-513,PRD-3431,2179.05,2476.25,2025-05-01,Margin Optimization
PRH-514,PRD-3222,253.43,267.33,2025-04-21,Seasonal Sale
PRH-515,PRD-3340,1274.01,1312.0,2025-04-10,Margin Optimization
PRH-516,PRD-3262,1028.94,1180.81,2025-02-27,Competitive Matching
PRH-517,PRD-3427,2611.17,2386.29,2025-07-19,Margin Optimization
PRH-518,PRD-3268,1742.09,1873.72,2025-01-13,Cost Adjustment
PRH-519,PRD-3247,2437.6,2427.8,2025-05-03,Cost Adjustment
PRH-520,PRD-3013,387.95,439.95,2025-09-06,Competitive Matching
PRH-521,PRD-3007,2540.47,2774.63,2025-12-04,Cost Adjustment
PRH-522,PRD-3144,1987.29,1693.18,2025-03-21,Cost Adjustment
PRH-523,PRD-3121,3600.18,3630.46,2025-02-14,Competitive Matching
PRH-524,PRD-3073,2792.42,2584.59,2025-08-30,Competitive Matching
PRH-525,PRD-3231,3331.27,3413.18,2025-10-19,Seasonal Sale
PRH-526,PRD-3297,866.61,780.26,2025-07-28,Competitive Matching
PRH-527,PRD-3448,2368.2,2228.5,2025-09-13,Margin Optimization
PRH-528,PRD-3380,3528.79,3753.79,2025-05-07,Margin Optimization
PRH-529,PRD-3375,2381.61,2829.57,2025-04-20,Seasonal Sale
PRH-530,PRD-3386,1375.63,1496.23,2025-03-31,Cost Adjustment
PRH-531,PRD-3401,3970.11,4526.54,2025-11-10,Cost Adjustment
PRH-532,PRD-3323,3657.92,3642.4,2025-02-08,Cost Adjustment
PRH-533,PRD-3302,3237.82,3680.11,2025-01-16,Cost Adjustment
PRH-534,PRD-3135,273.77,252.62,2025-07-21,Seasonal Sale
PRH-535,PRD-3225,757.05,714.69,2025-06-04,Competitive Matching
PRH-536,PRD-3425,682.69,695.91,2025-11-05,Competitive Matching
PRH-537,PRD-3070,1680.89,1565.58,2025-03-10,Margin Optimization
PRH-538,PRD-3092,904.4,815.49,2025-06-11,Competitive Matching
PRH-539,PRD-3122,754.82,654.86,2025-02-19,Margin Optimization
PRH-540,PRD-3317,3487.34,3193.21,2025-04-06,Margin Optimization
PRH-541,PRD-3130,1573.67,1384.63,2025-12-07,Margin Optimization
PRH-542,PRD-3174,3296.29,3942.5,2025-02-05,Margin Optimization
PRH-543,PRD-3003,2277.25,2073.94,2025-06-01,Competitive Matching
PRH-544,PRD-3450,603.71,555.26,2025-08-06,Margin Optimization
PRH-545,PRD-3417,2941.89,3478.11,2025-06-24,Margin Optimization
PRH-546,PRD-3166,3406.57,3660.34,2025-07-27,Margin Optimization
PRH-547,PRD-3381,1358.34,1610.8,2025-02-03,Cost Adjustment
PRH-548,PRD-3263,525.72,614.78,2025-03-10,Cost Adjustment
PRH-549,PRD-3233,789.16,874.3,2025-03-02,Cost Adjustment
PRH-550,PRD-3276,1199.74,1187.58,2025-07-06,Cost Adjustment
PRH-551,PRD-3397,1761.0,1630.79,2025-10-25,Competitive Matching
PRH-552,PRD-3464,3193.52,3798.62,2025-08-23,Margin Optimization
PRH-553,PRD-3333,3521.23,3430.8,2025-11-13,Cost Adjustment
PRH-554,PRD-3483,3839.98,3773.48,2025-07-31,Margin Optimization
PRH-555,PRD-3208,433.48,396.34,2025-04-12,Margin Optimization
PRH-556,PRD-3141,3937.08,4134.86,2025-10-21,Competitive Matching
PRH-557,PRD-3352,595.74,566.7,2025-08-19,Cost Adjustment
PRH-558,PRD-3378,1221.92,1418.13,2025-05-09,Seasonal Sale
PRH-559,PRD-3152,2506.97,2878.12,2025-03-21,Margin Optimization
PRH-560,PRD-3102,654.64,663.66,2025-05-20,Competitive Matching
PRH-561,PRD-3076,888.2,785.67,2025-04-06,Competitive Matching
PRH-562,PRD-3068,3874.84,3439.7,2025-10-30,Margin Optimization
PRH-563,PRD-3099,3898.49,3440.13,2025-12-16,Cost Adjustment
PRH-564,PRD-3470,1083.78,1089.54,2025-02-23,Margin Optimization
PRH-565,PRD-3168,583.56,631.16,2025-10-30,Competitive Matching
PRH-566,PRD-3277,1098.36,1148.7,2025-01-08,Seasonal Sale
