customer_id,customer_name,city,segment,lifetime_value_inr,total_orders,registration_date
CUST-4220,Customer_220,Mumbai,Frequent Buyer,13549.13,1,2025-09-10
CUST-4221,Customer_221,Ahmedabad,Price Sensitive,53979.77,32,2025-07-10
CUST-4222,Customer_222,Kolkata,High Value Loyal,42955.46,10,2025-01-29
CUST-4223,Customer_223,Surat,At Risk,11244.63,31,2025-04-03
CUST-4224,Customer_224,Ahmedabad,Price Sensitive,102613.21,1,2025-03-04
CUST-4225,Customer_225,Ahmedabad,At Risk,96975.1,29,2025-05-07
CUST-4226,Customer_226,Mumbai,Frequent Buyer,58952.24,7,2025-09-24
CUST-4227,Customer_227,Ahmedabad,At Risk,50167.56,20,2025-06-15
CUST-4228,Customer_228,Bengaluru,High Value Loyal,93728.76,36,2025-09-24
CUST-4229,Customer_229,Delhi,Price Sensitive,61450.63,20,2025-04-12
CUST-4230,Customer_230,Chennai,High Value Loyal,108298.06,14,2025-02-27
CUST-4231,Customer_231,Ahmedabad,At Risk,42252.9,11,2025-05-22
CUST-4232,Customer_232,Jaipur,High Value Loyal,50986.52,16,2025-01-05
CUST-4233,Customer_233,Mumbai,New Registrant,98475.72,31,2025-12-19
CUST-4234,Customer_234,Jaipur,Frequent Buyer,47996.34,6,2025-05-08
CUST-4235,Customer_235,Bengaluru,At Risk,13696.69,40,2025-06-23
CUST-4236,Customer_236,Mumbai,High Value Loyal,46050.92,10,2025-12-26
CUST-4237,Customer_237,Pune,High Value Loyal,17913.86,15,2025-06-12
CUST-4238,Customer_238,Pune,Price Sensitive,101176.86,29,2026-01-11
CUST-4239,Customer_239,Ahmedabad,High Value Loyal,86933.12,23,2026-01-06
CUST-4240,Customer_240,Bengaluru,Price Sensitive,112586.22,32,2025-12-28
CUST-4241,Customer_241,Kolkata,New Registrant,38602.54,45,2025-09-08
CUST-4242,Customer_242,Ahmedabad,New Registrant,25361.77,23,2025-06-15
CUST-4243,Customer_243,Kolkata,Price Sensitive,108788.58,39,2025-10-11
CUST-4244,Customer_244,Bengaluru,High Value Loyal,67564.34,29,2025-06-01
CUST-4245,Customer_245,Surat,New Registrant,47471.31,1,2026-02-02
CUST-4246,Customer_246,Pune,At Risk,92373.07,2,2025-11-14
CUST-4247,Customer_247,Chennai,New Registrant,31751.35,5,2025-12-04
CUST-4248,Customer_248,Pune,At Risk,25759.01,44,2025-09-12
CUST-4249,Customer_249,Pune,Frequent Buyer,77597.31,21,2025-07-29
CUST-4250,Customer_250,Chennai,High Value Loyal,14291.4,43,2025-02-04
CUST-4251,Customer_251,Mumbai,Frequent Buyer,24383.25,3,2025-04-14
CUST-4252,Customer_252,Delhi,At Risk,25973.04,3,2025-10-20
CUST-4253,Customer_253,Hyderabad,At Risk,66913.12,45,2025-10-30
CUST-4254,Customer_254,Surat,High Value Loyal,47378.37,39,2026-01-03
CUST-4255,Customer_255,Delhi,High Value Loyal,116450.85,14,2025-12-02
CUST-4256,Customer_256,Kolkata,High Value Loyal,59837.25,41,2025-02-01
CUST-4257,Customer_257,Chennai,New Registrant,93575.99,27,2025-07-08
CUST-4258,Customer_258,Mumbai,New Registrant,35062.42,3,2026-01-11
CUST-4259,Customer_259,Delhi,Price Sensitive,12047.08,14,2025-09-23
CUST-4260,Customer_260,Delhi,High Value Loyal,91333.56,35,2025-07-17
CUST-4261,Customer_261,Ahmedabad,Frequent Buyer,66958.52,16,2025-10-19
CUST-4262,Customer_262,Bengaluru,New Registrant,94276.31,27,2026-01-18
CUST-4263,Customer_263,Delhi,New Registrant,46350.51,30,2025-12-26
CUST-4264,Customer_264,Hyderabad,High Value Loyal,22934.14,12,2025-10-09
CUST-4265,Customer_265,Hyderabad,New Registrant,43845.33,11,2025-10-01
CUST-4266,Customer_266,Jaipur,At Risk,116856.2,21,2025-10-09
CUST-4267,Customer_267,Chennai,Price Sensitive,53012.05,41,2025-08-09
CUST-4268,Customer_268,Chennai,New Registrant,31988.51,35,2025-04-20
CUST-4269,Customer_269,Hyderabad,New Registrant,115953.0,17,2025-07-04
CUST-4270,Customer_270,Kolkata,At Risk,120078.49,1,2026-01-07
CUST-4271,Customer_271,Mumbai,Price Sensitive,75480.95,34,2025-03-11
CUST-4272,Customer_272,Surat,High Value Loyal,39290.91,15,2025-04-20
CUST-4273,Customer_273,Chennai,High Value Loyal,97011.58,45,2025-05-22
CUST-4274,Customer_274,Pune,New Registrant,70649.58,37,2025-03-21
CUST-4275,Customer_275,Delhi,High Value Loyal,58895.3,10,2025-03-12
CUST-4276,Customer_276,Surat,Price Sensitive,111479.11,16,2025-04-30
CUST-4277,Customer_277,Surat,Price Sensitive,13758.38,26,2025-10-19
CUST-4278,Customer_278,Ahmedabad,High Value Loyal,91138.61,31,2025-03-30
CUST-4279,Customer_279,Kolkata,New Registrant,102890.62,7,2025-11-01
CUST-4280,Customer_280,Surat,High Value Loyal,92021.7,37,2025-07-15
CUST-4281,Customer_281,Delhi,High Value Loyal,115429.26,22,2025-06-28
CUST-4282,Customer_282,Hyderabad,At Risk,116455.15,8,2026-01-30
CUST-4283,Customer_283,Ahmedabad,New Registrant,116260.01,41,2026-02-03
CUST-4284,Customer_284,Hyderabad,High Value Loyal,39835.97,3,2025-06-13
CUST-4285,Customer_285,Pune,New Registrant,20823.55,33,2025-12-24
CUST-4286,Customer_286,Ahmedabad,Frequent Buyer,8688.68,26,2025-08-17
CUST-4287,Customer_287,Jaipur,New Registrant,64329.34,15,2025-08-10
CUST-4288,Customer_288,Surat,At Risk,20631.52,22,2025-02-12
CUST-4289,Customer_289,Kolkata,New Registrant,93801.09,36,2025-07-24
CUST-4290,Customer_290,Surat,High Value Loyal,51319.56,28,2026-02-01
CUST-4291,Customer_291,Bengaluru,Frequent Buyer,61413.01,13,2025-09-07
CUST-4292,Customer_292,Hyderabad,New Registrant,26522.16,40,2026-01-12
CUST-4293,Customer_293,Pune,Frequent Buyer,32183.6,18,2026-02-02
CUST-4294,Customer_294,Hyderabad,Price Sensitive,86380.4,37,2025-02-15
CUST-4295,Customer_295,Delhi,At Risk,54383.72,23,2025-04-08
CUST-4296,Customer_296,Chennai,Price Sensitive,75249.95,2,2026-01-30
CUST-4297,Customer_297,Surat,Frequent Buyer,123487.36,40,2025-08-15
CUST-4298,Customer_298,Jaipur,Frequent Buyer,56456.77,15,2025-04-13
CUST-4299,Customer_299,Chennai,Frequent Buyer,95322.39,6,2025-02-27
CUST-4300,Customer_300,Mumbai,Frequent Buyer,118745.26,10,2025-05-28
CUST-4301,Customer_301,Mumbai,Price Sensitive,87489.92,8,2025-06-06
CUST-4302,Customer_302,Kolkata,At Risk,5286.64,14,2026-01-14
CUST-4303,Customer_303,Pune,Frequent Buyer,27465.67,34,2026-01-20
CUST-4304,Customer_304,Surat,New Registrant,61670.73,10,2025-12-22
CUST-4305,Customer_305,Mumbai,At Risk,73918.11,43,2025-09-27
CUST-4306,Customer_306,Mumbai,Price Sensitive,23364.16,19,2025-04-13
CUST-4307,Customer_307,Jaipur,Price Sensitive,9002.94,42,2025-01-05
CUST-4308,Customer_308,Delhi,At Risk,83395.67,43,2025-12-04
CUST-4309,Customer_309,Chennai,High Value Loyal,4837.09,42,2025-07-17
CUST-4310,Customer_310,Ahmedabad,At Risk,64796.19,7,2025-06-11
CUST-4311,Customer_311,Kolkata,New Registrant,67616.18,12,2025-04-12
CUST-4312,Customer_312,Pune,At Risk,71184.22,2,2025-01-21
CUST-4313,Customer_313,Ahmedabad,New Registrant,39853.62,32,2025-07-21
CUST-4314,Customer_314,Bengaluru,High Value Loyal,44980.54,23,2025-07-01
CUST-4315,Customer_315,Surat,Frequent Buyer,124509.32,33,2025-05-22
CUST-4316,Customer_316,Mumbai,Price Sensitive,110137.97,2,2025-10-12
CUST-4317,Customer_317,Surat,Frequent Buyer,21084.25,26,2025-12-03
CUST-4318,Customer_318,Bengaluru,High Value Loyal,91911.48,34,2025-12-14
CUST-4319,Customer_319,Jaipur,Frequent Buyer,53623.33,37,2025-03-20
CUST-4320,Customer_320,Hyderabad,Price Sensitive,113942.59,22,2025-08-18
CUST-4321,Customer_321,Pune,Frequent Buyer,27827.77,9,2025-10-25
CUST-4322,Customer_322,Pune,Frequent Buyer,108166.99,20,2025-12-19
CUST-4323,Customer_323,Pune,Frequent Buyer,55182.88,10,2025-12-02
CUST-4324,Customer_324,Jaipur,Frequent Buyer,41393.29,36,2025-09-30
CUST-4325,Customer_325,Delhi,Frequent Buyer,41405.7,10,2026-01-08
CUST-4326,Customer_326,Mumbai,Price Sensitive,110316.16,27,2025-07-30
CUST-4327,Customer_327,Surat,At Risk,93837.19,41,2026-01-14
CUST-4328,Customer_328,Surat,Frequent Buyer,97940.72,7,2025-03-09
CUST-4329,Customer_329,Bengaluru,High Value Loyal,95899.82,40,2025-11-12
CUST-4330,Customer_330,Surat,New Registrant,71962.78,15,2025-11-02
CUST-4331,Customer_331,Ahmedabad,Frequent Buyer,86703.79,23,2025-02-10
CUST-4332,Customer_332,Kolkata,Frequent Buyer,64034.76,39,2025-08-29
CUST-4333,Customer_333,Chennai,Frequent Buyer,106885.86,32,2025-08-31
CUST-4334,Customer_334,Bengaluru,Frequent Buyer,26174.33,3,2025-07-29
CUST-4335,Customer_335,Mumbai,Price Sensitive,118899.26,15,2026-01-16
CUST-4336,Customer_336,Ahmedabad,Frequent Buyer,10601.7,29,2025-11-12
CUST-4337,Customer_337,Kolkata,Price Sensitive,108679.93,16,2025-08-07
CUST-4338,Customer_338,Hyderabad,High Value Loyal,76971.42,25,2026-01-04
CUST-4339,Customer_339,Chennai,At Risk,77409.35,37,2025-11-01
CUST-4340,Customer_340,Pune,New Registrant,81070.74,3,2025-09-24
CUST-4341,Customer_341,Delhi,At Risk,58470.3,3,2025-05-06
CUST-4342,Customer_342,Pune,New Registrant,50962.37,3,2025-10-13
CUST-4343,Customer_343,Hyderabad,New Registrant,96232.08,4,2025-04-08
CUST-4344,Customer_344,Surat,At Risk,51259.89,20,2026-02-01
CUST-4345,Customer_345,Surat,At Risk,22894.61,19,2025-11-10
CUST-4346,Customer_346,Mumbai,New Registrant,113200.27,30,2025-11-27
CUST-4347,Customer_347,Kolkata,High Value Loyal,91024.23,8,2025-04-03
CUST-4348,Customer_348,Jaipur,New Registrant,19075.07,27,2025-06-15
