inventory_id,product_id,warehouse_location,quantity_on_hand,quantity_reserved,stock_age_days,last_restock_date
INV-6027,PRD-3027,WH-West-Mumbai,279,25,179,2025-04-03
INV-6028,PRD-3028,WH-East-Kolkata,15,13,105,2025-01-27
INV-6029,PRD-3029,WH-North-Delhi,429,3,22,2025-02-21
INV-6030,PRD-3030,WH-North-Delhi,295,0,126,2025-01-25
INV-6031,PRD-3031,WH-Central-Nagpur,297,11,135,2025-03-20
INV-6032,PRD-3032,WH-West-Mumbai,344,36,142,2025-01-21
INV-6033,PRD-3033,WH-East-Kolkata,61,35,44,2025-02-23
INV-6034,PRD-3034,WH-South-Bengaluru,494,13,64,2025-03-01
INV-6035,PRD-3035,WH-West-Mumbai,234,0,141,2025-02-24
INV-6036,PRD-3036,WH-South-Bengaluru,312,16,48,2025-02-21
INV-6037,PRD-3037,WH-Central-Nagpur,149,10,12,2025-01-27
INV-6038,PRD-3038,WH-Central-Nagpur,274,15,27,2025-03-28
INV-6039,PRD-3039,WH-North-Delhi,490,20,82,2025-03-29
INV-6040,PRD-3040,WH-Central-Nagpur,354,1,33,2025-02-06
INV-6041,PRD-3041,WH-South-Bengaluru,396,36,161,2025-02-23
INV-6042,PRD-3042,WH-East-Kolkata,13,6,158,2025-01-23
INV-6043,PRD-3043,WH-West-Mumbai,315,21,142,2025-02-26
INV-6044,PRD-3044,WH-North-Delhi,1,1,71,2025-03-19
INV-6045,PRD-3045,WH-Central-Nagpur,83,17,64,2025-03-13
INV-6046,PRD-3046,WH-Central-Nagpur,380,17,173,2025-04-11
INV-6047,PRD-3047,WH-North-Delhi,415,3,42,2025-04-11
INV-6048,PRD-3048,WH-West-Mumbai,238,34,33,2025-02-23
INV-6049,PRD-3049,WH-East-Kolkata,257,0,103,2025-03-23
INV-6050,PRD-3050,WH-East-Kolkata,488,17,174,2025-01-29
INV-6051,PRD-3051,WH-West-Mumbai,175,33,153,2025-04-07
INV-6052,PRD-3052,WH-West-Mumbai,52,24,171,2025-02-02
INV-6053,PRD-3053,WH-Central-Nagpur,471,9,172,2025-03-07
INV-6054,PRD-3054,WH-West-Mumbai,168,0,56,2025-02-27
INV-6055,PRD-3055,WH-West-Mumbai,58,30,18,2025-03-18
INV-6056,PRD-3056,WH-North-Delhi,211,40,81,2025-01-06
INV-6057,PRD-3057,WH-East-Kolkata,450,3,57,2025-01-04
INV-6058,PRD-3058,WH-Central-Nagpur,322,34,13,2025-03-08
INV-6059,PRD-3059,WH-West-Mumbai,232,10,107,2025-01-20
INV-6060,PRD-3060,WH-Central-Nagpur,84,38,111,2025-03-12
INV-6061,PRD-3061,WH-North-Delhi,333,18,81,2025-03-09
INV-6062,PRD-3062,WH-South-Bengaluru,385,1,174,2025-01-03
INV-6063,PRD-3063,WH-East-Kolkata,75,33,134,2025-03-26
INV-6064,PRD-3064,WH-Central-Nagpur,494,21,149,2025-01-24
INV-6065,PRD-3065,WH-East-Kolkata,323,17,27,2025-01-10
INV-6066,PRD-3066,WH-East-Kolkata,276,0,113,2025-03-17
INV-6067,PRD-3067,WH-West-Mumbai,368,38,103,2025-01-15
INV-6068,PRD-3068,WH-North-Delhi,409,30,108,2025-02-20
INV-6069,PRD-3069,WH-North-Delhi,7,0,140,2025-01-18
INV-6070,PRD-3070,WH-West-Mumbai,122,39,35,2025-02-28
INV-6071,PRD-3071,WH-West-Mumbai,325,11,112,2025-01-25
INV-6072,PRD-3072,WH-South-Bengaluru,143,17,60,2025-02-11
INV-6073,PRD-3073,WH-Central-Nagpur,195,40,171,2025-01-24
INV-6074,PRD-3074,WH-South-Bengaluru,171,33,179,2025-03-04
INV-6075,PRD-3075,WH-West-Mumbai,41,11,7,2025-04-05
INV-6076,PRD-3076,WH-South-Bengaluru,414,9,81,2025-01-21
INV-6077,PRD-3077,WH-South-Bengaluru,110,26,157,2025-01-03
INV-6078,PRD-3078,WH-Central-Nagpur,46,9,62,2025-02-28
INV-6079,PRD-3079,WH-South-Bengaluru,127,0,51,2025-03-12
INV-6080,PRD-3080,WH-South-Bengaluru,291,28,108,2025-04-01
INV-6081,PRD-3081,WH-West-Mumbai,127,39,101,2025-03-25
INV-6082,PRD-3082,WH-East-Kolkata,0,0,80,2025-02-01
INV-6083,PRD-3083,WH-East-Kolkata,162,8,83,2025-01-06
INV-6084,PRD-3084,WH-South-Bengaluru,181,14,113,2025-02-02
INV-6085,PRD-3085,WH-Central-Nagpur,385,5,141,2025-02-26
INV-6086,PRD-3086,WH-South-Bengaluru,398,17,178,2025-01-03
INV-6087,PRD-3087,WH-North-Delhi,447,25,74,2025-03-07
INV-6088,PRD-3088,WH-Central-Nagpur,75,7,95,2025-04-02
INV-6089,PRD-3089,WH-Central-Nagpur,231,31,68,2025-03-08
INV-6090,PRD-3090,WH-South-Bengaluru,141,25,110,2025-01-20
INV-6091,PRD-3091,WH-North-Delhi,491,8,64,2025-02-24
INV-6092,PRD-3092,WH-West-Mumbai,195,25,123,2025-03-19
INV-6093,PRD-3093,WH-Central-Nagpur,496,33,109,2025-02-06
INV-6094,PRD-3094,WH-Central-Nagpur,37,8,100,2025-03-16
INV-6095,PRD-3095,WH-South-Bengaluru,290,31,175,2025-01-23
INV-6096,PRD-3096,WH-North-Delhi,383,3,70,2025-01-24
INV-6097,PRD-3097,WH-Central-Nagpur,268,24,52,2025-01-22
INV-6098,PRD-3098,WH-East-Kolkata,288,39,37,2025-01-02
INV-6099,PRD-3099,WH-East-Kolkata,213,25,23,2025-02-28
INV-6100,PRD-3100,WH-Central-Nagpur,298,26,50,2025-01-25
INV-6101,PRD-3101,WH-South-Bengaluru,193,39,156,2025-03-18
INV-6102,PRD-3102,WH-North-Delhi,301,38,145,2025-02-01
INV-6103,PRD-3103,WH-North-Delhi,164,35,127,2025-02-21
INV-6104,PRD-3104,WH-Central-Nagpur,263,29,131,2025-02-27
INV-6105,PRD-3105,WH-Central-Nagpur,95,23,116,2025-01-02
INV-6106,PRD-3106,WH-South-Bengaluru,62,15,70,2025-03-09
INV-6107,PRD-3107,WH-North-Delhi,25,16,69,2025-03-19
INV-6108,PRD-3108,WH-North-Delhi,48,20,56,2025-03-19
INV-6109,PRD-3109,WH-Central-Nagpur,381,12,158,2025-01-11
INV-6110,PRD-3110,WH-North-Delhi,64,25,7,2025-01-04
INV-6111,PRD-3111,WH-West-Mumbai,459,4,79,2025-02-08
INV-6112,PRD-3112,WH-West-Mumbai,334,29,107,2025-01-19
INV-6113,PRD-3113,WH-Central-Nagpur,370,4,83,2025-04-05
INV-6114,PRD-3114,WH-North-Delhi,436,2,77,2025-04-04
INV-6115,PRD-3115,WH-Central-Nagpur,36,13,81,2025-01-16
INV-6116,PRD-3116,WH-West-Mumbai,104,33,152,2025-03-05
INV-6117,PRD-3117,WH-South-Bengaluru,77,40,144,2025-03-02
INV-6118,PRD-3118,WH-North-Delhi,16,13,169,2025-02-11
INV-6119,PRD-3119,WH-East-Kolkata,152,10,175,2025-03-31
INV-6120,PRD-3120,WH-North-Delhi,151,0,89,2025-03-21
INV-6121,PRD-3121,WH-North-Delhi,28,16,51,2025-01-30
INV-6122,PRD-3122,WH-South-Bengaluru,425,14,12,2025-03-14
INV-6123,PRD-3123,WH-East-Kolkata,218,27,160,2025-01-14
INV-6124,PRD-3124,WH-Central-Nagpur,482,16,148,2025-03-21
INV-6125,PRD-3125,WH-East-Kolkata,64,36,144,2025-01-05
INV-6126,PRD-3126,WH-South-Bengaluru,205,34,38,2025-01-01
INV-6127,PRD-3127,WH-West-Mumbai,242,23,67,2025-03-22
INV-6128,PRD-3128,WH-West-Mumbai,229,39,109,2025-02-22
INV-6129,PRD-3129,WH-West-Mumbai,479,33,115,2025-03-15
INV-6130,PRD-3130,WH-South-Bengaluru,500,30,44,2025-04-07
INV-6131,PRD-3131,WH-South-Bengaluru,434,0,84,2025-02-01
INV-6132,PRD-3132,WH-South-Bengaluru,251,16,35,2025-04-01
INV-6133,PRD-3133,WH-North-Delhi,162,14,23,2025-03-26
INV-6134,PRD-3134,WH-North-Delhi,246,39,85,2025-02-21
INV-6135,PRD-3135,WH-West-Mumbai,6,0,132,2025-03-04
INV-6136,PRD-3136,WH-East-Kolkata,100,10,23,2025-03-05
INV-6137,PRD-3137,WH-South-Bengaluru,31,14,112,2025-01-12
INV-6138,PRD-3138,WH-Central-Nagpur,390,11,16,2025-01-19
INV-6139,PRD-3139,WH-South-Bengaluru,426,39,154,2025-03-18
INV-6140,PRD-3140,WH-West-Mumbai,302,12,137,2025-03-03
INV-6141,PRD-3141,WH-North-Delhi,107,29,15,2025-01-25
INV-6142,PRD-3142,WH-South-Bengaluru,374,11,80,2025-02-09
INV-6143,PRD-3143,WH-South-Bengaluru,433,28,78,2025-03-12
INV-6144,PRD-3144,WH-Central-Nagpur,0,0,131,2025-02-25
INV-6145,PRD-3145,WH-West-Mumbai,227,34,111,2025-01-17
INV-6146,PRD-3146,WH-North-Delhi,161,4,6,2025-03-30
INV-6147,PRD-3147,WH-East-Kolkata,211,20,24,2025-04-10
INV-6148,PRD-3148,WH-Central-Nagpur,36,30,166,2025-01-05
INV-6149,PRD-3149,WH-Central-Nagpur,436,22,27,2025-03-03
INV-6150,PRD-3150,WH-North-Delhi,492,10,142,2025-03-17
INV-6151,PRD-3151,WH-South-Bengaluru,40,17,95,2025-02-19
INV-6152,PRD-3152,WH-North-Delhi,497,16,14,2025-03-19
INV-6153,PRD-3153,WH-West-Mumbai,285,22,135,2025-01-01
INV-6154,PRD-3154,WH-South-Bengaluru,177,34,25,2025-04-04
INV-6155,PRD-3155,WH-West-Mumbai,164,28,71,2025-02-04
INV-6156,PRD-3156,WH-Central-Nagpur,200,23,68,2025-03-19
INV-6157,PRD-3157,WH-West-Mumbai,471,25,17,2025-03-24
INV-6158,PRD-3158,WH-East-Kolkata,420,30,5,2025-01-07
INV-6159,PRD-3159,WH-South-Bengaluru,5,4,67,2025-01-02
INV-6160,PRD-3160,WH-South-Bengaluru,163,19,35,2025-03-11
INV-6161,PRD-3161,WH-South-Bengaluru,9,3,159,2025-04-11
INV-6162,PRD-3162,WH-Central-Nagpur,76,11,25,2025-03-11
INV-6163,PRD-3163,WH-West-Mumbai,348,13,155,2025-02-18
INV-6164,PRD-3164,WH-East-Kolkata,393,10,15,2025-01-31
INV-6165,PRD-3165,WH-Central-Nagpur,190,34,146,2025-02-21
INV-6166,PRD-3166,WH-South-Bengaluru,321,1,173,2025-02-26
INV-6167,PRD-3167,WH-Central-Nagpur,276,0,43,2025-02-20
INV-6168,PRD-3168,WH-South-Bengaluru,80,38,91,2025-01-12
INV-6169,PRD-3169,WH-East-Kolkata,144,27,158,2025-01-27
INV-6170,PRD-3170,WH-North-Delhi,369,15,92,2025-04-03
INV-6171,PRD-3171,WH-East-Kolkata,67,12,19,2025-01-25
INV-6172,PRD-3172,WH-Central-Nagpur,239,19,72,2025-01-03
INV-6173,PRD-3173,WH-Central-Nagpur,464,32,18,2025-04-08
INV-6174,PRD-3174,WH-East-Kolkata,249,2,134,2025-04-03
INV-6175,PRD-3175,WH-Central-Nagpur,285,30,15,2025-03-18
INV-6176,PRD-3176,WH-North-Delhi,21,21,35,2025-03-18
INV-6177,PRD-3177,WH-Central-Nagpur,47,34,166,2025-02-06
INV-6178,PRD-3178,WH-North-Delhi,40,5,56,2025-03-29
INV-6179,PRD-3179,WH-North-Delhi,415,24,101,2025-01-13
INV-6180,PRD-3180,WH-West-Mumbai,171,34,75,2025-03-12
INV-6181,PRD-3181,WH-South-Bengaluru,287,3,92,2025-01-21
INV-6182,PRD-3182,WH-East-Kolkata,123,11,173,2025-01-16
INV-6183,PRD-3183,WH-West-Mumbai,304,25,13,2025-02-07
INV-6184,PRD-3184,WH-East-Kolkata,408,10,42,2025-01-03
INV-6185,PRD-3185,WH-South-Bengaluru,115,38,125,2025-03-28
INV-6186,PRD-3186,WH-West-Mumbai,243,30,74,2025-02-16
INV-6187,PRD-3187,WH-South-Bengaluru,151,30,19,2025-03-10
INV-6188,PRD-3188,WH-North-Delhi,470,40,55,2025-01-11
INV-6189,PRD-3189,WH-East-Kolkata,384,4,79,2025-02-19
INV-6190,PRD-3190,WH-West-Mumbai,421,39,151,2025-02-13
INV-6191,PRD-3191,WH-North-Delhi,295,17,112,2025-03-04
INV-6192,PRD-3192,WH-East-Kolkata,208,8,109,2025-01-24
INV-6193,PRD-3193,WH-North-Delhi,167,36,101,2025-01-01
INV-6194,PRD-3194,WH-South-Bengaluru,118,0,40,2025-04-06
INV-6195,PRD-3195,WH-East-Kolkata,37,34,82,2025-01-03
INV-6196,PRD-3196,WH-North-Delhi,191,31,147,2025-02-27
INV-6197,PRD-3197,WH-West-Mumbai,110,24,137,2025-02-21
INV-6198,PRD-3198,WH-West-Mumbai,169,3,105,2025-01-31
INV-6199,PRD-3199,WH-West-Mumbai,202,25,66,2025-02-25
INV-6200,PRD-3200,WH-West-Mumbai,189,2,38,2025-04-04
INV-6201,PRD-3201,WH-Central-Nagpur,454,5,170,2025-03-23
INV-6202,PRD-3202,WH-East-Kolkata,136,0,164,2025-03-11
INV-6203,PRD-3203,WH-Central-Nagpur,61,0,60,2025-03-17
INV-6204,PRD-3204,WH-West-Mumbai,303,7,47,2025-01-08
INV-6205,PRD-3205,WH-North-Delhi,327,1,41,2025-02-16
INV-6206,PRD-3206,WH-North-Delhi,11,9,72,2025-02-13
INV-6207,PRD-3207,WH-North-Delhi,352,12,122,2025-04-07
INV-6208,PRD-3208,WH-South-Bengaluru,291,29,157,2025-02-16
INV-6209,PRD-3209,WH-North-Delhi,439,7,152,2025-03-25
INV-6210,PRD-3210,WH-North-Delhi,496,25,15,2025-01-07
INV-6211,PRD-3211,WH-Central-Nagpur,366,34,115,2025-01-06
INV-6212,PRD-3212,WH-North-Delhi,441,29,94,2025-03-05
INV-6213,PRD-3213,WH-South-Bengaluru,338,20,70,2025-02-04
INV-6214,PRD-3214,WH-Central-Nagpur,487,8,16,2025-02-10
INV-6215,PRD-3215,WH-South-Bengaluru,382,35,159,2025-02-06
INV-6216,PRD-3216,WH-South-Bengaluru,473,21,62,2025-03-07
INV-6217,PRD-3217,WH-West-Mumbai,63,35,9,2025-03-22
INV-6218,PRD-3218,WH-Central-Nagpur,61,35,157,2025-02-19
INV-6219,PRD-3219,WH-South-Bengaluru,322,22,140,2025-01-28
INV-6220,PRD-3220,WH-South-Bengaluru,453,18,89,2025-02-20
INV-6221,PRD-3221,WH-East-Kolkata,80,10,157,2025-03-29
INV-6222,PRD-3222,WH-South-Bengaluru,76,7,131,2025-03-20
INV-6223,PRD-3223,WH-East-Kolkata,26,10,109,2025-02-18
INV-6224,PRD-3224,WH-West-Mumbai,120,26,31,2025-02-23
INV-6225,PRD-3225,WH-North-Delhi,158,34,113,2025-01-04
INV-6226,PRD-3226,WH-East-Kolkata,5,2,119,2025-03-23
INV-6227,PRD-3227,WH-North-Delhi,387,26,108,2025-01-03
INV-6228,PRD-3228,WH-North-Delhi,100,22,21,2025-02-16
INV-6229,PRD-3229,WH-Central-Nagpur,186,1,23,2025-02-17
INV-6230,PRD-3230,WH-North-Delhi,348,0,22,2025-02-26
INV-6231,PRD-3231,WH-North-Delhi,347,40,28,2025-02-24
INV-6232,PRD-3232,WH-East-Kolkata,414,6,85,2025-02-24
INV-6233,PRD-3233,WH-West-Mumbai,177,33,117,2025-03-15
INV-6234,PRD-3234,WH-West-Mumbai,191,8,50,2025-02-02
INV-6235,PRD-3235,WH-South-Bengaluru,38,13,67,2025-03-17
INV-6236,PRD-3236,WH-South-Bengaluru,157,28,150,2025-02-03
INV-6237,PRD-3237,WH-West-Mumbai,363,24,72,2025-04-04
INV-6238,PRD-3238,WH-South-Bengaluru,109,6,179,2025-02-10
INV-6239,PRD-3239,WH-East-Kolkata,298,3,86,2025-04-03
INV-6240,PRD-3240,WH-East-Kolkata,63,36,25,2025-04-08
INV-6241,PRD-3241,WH-Central-Nagpur,326,36,141,2025-02-20
INV-6242,PRD-3242,WH-East-Kolkata,493,19,108,2025-03-16
INV-6243,PRD-3243,WH-North-Delhi,219,21,104,2025-01-16
INV-6244,PRD-3244,WH-Central-Nagpur,120,12,87,2025-04-02
INV-6245,PRD-3245,WH-Central-Nagpur,253,16,165,2025-03-27
INV-6246,PRD-3246,WH-Central-Nagpur,235,25,145,2025-01-01
INV-6247,PRD-3247,WH-South-Bengaluru,351,29,17,2025-04-09
INV-6248,PRD-3248,WH-North-Delhi,496,15,127,2025-03-02
INV-6249,PRD-3249,WH-West-Mumbai,277,16,67,2025-01-01
INV-6250,PRD-3250,WH-West-Mumbai,288,11,46,2025-01-04
INV-6251,PRD-3251,WH-Central-Nagpur,184,27,130,2025-01-31
INV-6252,PRD-3252,WH-North-Delhi,97,9,159,2025-03-31
INV-6253,PRD-3253,WH-East-Kolkata,108,8,58,2025-03-14
INV-6254,PRD-3254,WH-East-Kolkata,148,16,15,2025-01-24
INV-6255,PRD-3255,WH-Central-Nagpur,471,8,87,2025-01-31
INV-6256,PRD-3256,WH-North-Delhi,417,25,122,2025-02-18
INV-6257,PRD-3257,WH-Central-Nagpur,440,37,172,2025-01-24
INV-6258,PRD-3258,WH-South-Bengaluru,84,28,126,2025-01-31
INV-6259,PRD-3259,WH-Central-Nagpur,477,10,62,2025-04-03
INV-6260,PRD-3260,WH-Central-Nagpur,444,21,171,2025-01-19
INV-6261,PRD-3261,WH-West-Mumbai,69,15,180,2025-01-24
INV-6262,PRD-3262,WH-West-Mumbai,294,6,69,2025-03-30
INV-6263,PRD-3263,WH-West-Mumbai,33,27,162,2025-01-25
INV-6264,PRD-3264,WH-North-Delhi,389,11,137,2025-02-05
INV-6265,PRD-3265,WH-South-Bengaluru,70,13,81,2025-03-05
INV-6266,PRD-3266,WH-West-Mumbai,309,37,139,2025-01-20
INV-6267,PRD-3267,WH-Central-Nagpur,4,3,89,2025-02-11
INV-6268,PRD-3268,WH-West-Mumbai,168,17,92,2025-01-17
INV-6269,PRD-3269,WH-East-Kolkata,29,29,118,2025-02-11
INV-6270,PRD-3270,WH-East-Kolkata,291,38,164,2025-01-09
INV-6271,PRD-3271,WH-North-Delhi,282,14,36,2025-01-04
INV-6272,PRD-3272,WH-West-Mumbai,366,25,77,2025-02-01
INV-6273,PRD-3273,WH-North-Delhi,344,9,52,2025-04-10
INV-6274,PRD-3274,WH-East-Kolkata,320,9,37,2025-03-05
INV-6275,PRD-3275,WH-East-Kolkata,239,29,60,2025-01-27
INV-6276,PRD-3276,WH-West-Mumbai,212,32,13,2025-02-20
INV-6277,PRD-3277,WH-East-Kolkata,475,19,127,2025-01-04
INV-6278,PRD-3278,WH-East-Kolkata,1,0,147,2025-02-16
INV-6279,PRD-3279,WH-West-Mumbai,121,24,13,2025-02-12
INV-6280,PRD-3280,WH-Central-Nagpur,160,10,164,2025-03-06
INV-6281,PRD-3281,WH-South-Bengaluru,69,40,78,2025-01-11
INV-6282,PRD-3282,WH-West-Mumbai,327,30,81,2025-04-04
INV-6283,PRD-3283,WH-West-Mumbai,67,31,74,2025-01-03
INV-6284,PRD-3284,WH-East-Kolkata,242,23,134,2025-01-22
INV-6285,PRD-3285,WH-East-Kolkata,232,26,40,2025-02-17
INV-6286,PRD-3286,WH-Central-Nagpur,474,0,115,2025-01-21
INV-6287,PRD-3287,WH-West-Mumbai,431,2,67,2025-04-01
INV-6288,PRD-3288,WH-East-Kolkata,97,32,174,2025-02-15
INV-6289,PRD-3289,WH-East-Kolkata,452,16,110,2025-04-04
INV-6290,PRD-3290,WH-West-Mumbai,144,36,119,2025-02-04
INV-6291,PRD-3291,WH-South-Bengaluru,304,31,170,2025-03-17
INV-6292,PRD-3292,WH-North-Delhi,53,33,60,2025-03-17
INV-6293,PRD-3293,WH-Central-Nagpur,347,31,152,2025-03-11
INV-6294,PRD-3294,WH-South-Bengaluru,431,38,24,2025-02-02
INV-6295,PRD-3295,WH-Central-Nagpur,467,32,114,2025-01-05
INV-6296,PRD-3296,WH-Central-Nagpur,378,39,85,2025-02-10
INV-6297,PRD-3297,WH-West-Mumbai,443,18,157,2025-03-31
INV-6298,PRD-3298,WH-North-Delhi,73,26,116,2025-02-07
INV-6299,PRD-3299,WH-North-Delhi,65,8,61,2025-03-17
INV-6300,PRD-3300,WH-South-Bengaluru,457,24,30,2025-01-17
INV-6301,PRD-3301,WH-West-Mumbai,80,35,154,2025-04-01
INV-6302,PRD-3302,WH-Central-Nagpur,412,4,174,2025-01-14
INV-6303,PRD-3303,WH-South-Bengaluru,315,18,148,2025-02-13
INV-6304,PRD-3304,WH-North-Delhi,128,1,6,2025-03-31
INV-6305,PRD-3305,WH-West-Mumbai,93,28,116,2025-04-05
INV-6306,PRD-3306,WH-North-Delhi,70,12,156,2025-03-09
INV-6307,PRD-3307,WH-South-Bengaluru,480,31,81,2025-01-23
INV-6308,PRD-3308,WH-North-Delhi,174,25,123,2025-04-06
INV-6309,PRD-3309,WH-Central-Nagpur,356,31,21,2025-03-07
INV-6310,PRD-3310,WH-Central-Nagpur,269,9,37,2025-01-27
INV-6311,PRD-3311,WH-East-Kolkata,269,34,171,2025-03-03
INV-6312,PRD-3312,WH-West-Mumbai,168,34,79,2025-01-09
INV-6313,PRD-3313,WH-East-Kolkata,267,3,103,2025-03-31
INV-6314,PRD-3314,WH-West-Mumbai,374,12,70,2025-03-15
INV-6315,PRD-3315,WH-South-Bengaluru,205,19,124,2025-04-06
INV-6316,PRD-3316,WH-Central-Nagpur,306,34,74,2025-02-20
INV-6317,PRD-3317,WH-West-Mumbai,385,20,136,2025-02-24
INV-6318,PRD-3318,WH-East-Kolkata,319,17,150,2025-04-10
INV-6319,PRD-3319,WH-East-Kolkata,98,34,66,2025-01-01
INV-6320,PRD-3320,WH-Central-Nagpur,439,28,44,2025-01-26
INV-6321,PRD-3321,WH-East-Kolkata,411,7,17,2025-03-11
INV-6322,PRD-3322,WH-West-Mumbai,293,9,111,2025-01-11
INV-6323,PRD-3323,WH-East-Kolkata,205,8,6,2025-01-13
INV-6324,PRD-3324,WH-East-Kolkata,165,22,86,2025-04-04
INV-6325,PRD-3325,WH-East-Kolkata,350,32,109,2025-02-05
INV-6326,PRD-3326,WH-South-Bengaluru,255,33,107,2025-02-11
INV-6327,PRD-3327,WH-South-Bengaluru,384,22,131,2025-02-15
INV-6328,PRD-3328,WH-West-Mumbai,494,11,70,2025-03-02
INV-6329,PRD-3329,WH-East-Kolkata,140,0,6,2025-01-07
INV-6330,PRD-3330,WH-East-Kolkata,268,28,91,2025-03-08
INV-6331,PRD-3331,WH-East-Kolkata,413,33,38,2025-02-07
INV-6332,PRD-3332,WH-West-Mumbai,182,4,111,2025-02-18
INV-6333,PRD-3333,WH-South-Bengaluru,130,20,32,2025-01-20
INV-6334,PRD-3334,WH-North-Delhi,456,16,82,2025-02-03
INV-6335,PRD-3335,WH-West-Mumbai,394,32,155,2025-03-20
INV-6336,PRD-3336,WH-East-Kolkata,477,18,6,2025-01-19
INV-6337,PRD-3337,WH-North-Delhi,103,33,109,2025-03-10
INV-6338,PRD-3338,WH-East-Kolkata,8,8,64,2025-02-10
INV-6339,PRD-3339,WH-East-Kolkata,444,2,21,2025-02-27
INV-6340,PRD-3340,WH-West-Mumbai,490,15,109,2025-01-25
INV-6341,PRD-3341,WH-West-Mumbai,451,39,81,2025-02-04
INV-6342,PRD-3342,WH-North-Delhi,469,13,136,2025-03-24
INV-6343,PRD-3343,WH-East-Kolkata,31,11,16,2025-03-30
INV-6344,PRD-3344,WH-South-Bengaluru,374,3,143,2025-03-20
INV-6345,PRD-3345,WH-Central-Nagpur,114,1,160,2025-04-10
INV-6346,PRD-3346,WH-South-Bengaluru,382,4,59,2025-02-04
INV-6347,PRD-3347,WH-Central-Nagpur,6,4,115,2025-03-23
INV-6348,PRD-3348,WH-West-Mumbai,421,38,126,2025-03-18
INV-6349,PRD-3349,WH-East-Kolkata,444,36,129,2025-01-18
INV-6350,PRD-3350,WH-South-Bengaluru,172,9,147,2025-02-04
INV-6351,PRD-3351,WH-West-Mumbai,107,23,104,2025-03-20
INV-6352,PRD-3352,WH-South-Bengaluru,269,0,81,2025-02-10
INV-6353,PRD-3353,WH-West-Mumbai,237,13,95,2025-04-07
INV-6354,PRD-3354,WH-East-Kolkata,384,31,81,2025-03-07
INV-6355,PRD-3355,WH-West-Mumbai,293,20,132,2025-03-23
INV-6356,PRD-3356,WH-North-Delhi,293,16,178,2025-01-03
INV-6357,PRD-3357,WH-South-Bengaluru,299,40,145,2025-01-06
INV-6358,PRD-3358,WH-North-Delhi,336,27,5,2025-01-22
INV-6359,PRD-3359,WH-Central-Nagpur,128,17,42,2025-03-25
INV-6360,PRD-3360,WH-West-Mumbai,410,14,28,2025-02-15
INV-6361,PRD-3361,WH-Central-Nagpur,307,8,90,2025-03-08
INV-6362,PRD-3362,WH-South-Bengaluru,312,1,124,2025-01-25
INV-6363,PRD-3363,WH-South-Bengaluru,78,2,63,2025-01-13
INV-6364,PRD-3364,WH-Central-Nagpur,380,28,175,2025-02-28
INV-6365,PRD-3365,WH-East-Kolkata,146,34,116,2025-02-28
INV-6366,PRD-3366,WH-South-Bengaluru,312,23,34,2025-03-26
INV-6367,PRD-3367,WH-South-Bengaluru,34,32,113,2025-04-05
INV-6368,PRD-3368,WH-South-Bengaluru,465,33,45,2025-01-26
INV-6369,PRD-3369,WH-West-Mumbai,256,33,38,2025-03-19
INV-6370,PRD-3370,WH-South-Bengaluru,402,33,106,2025-03-31
INV-6371,PRD-3371,WH-Central-Nagpur,412,17,32,2025-03-15
INV-6372,PRD-3372,WH-East-Kolkata,81,15,170,2025-04-09
INV-6373,PRD-3373,WH-North-Delhi,86,27,12,2025-04-05
