vendor_id,vendor_name,category,city,rating,sla_compliance_pct,status
VND-1069,Vendor 69 Wholesale Ltd,Electronics,Ahmedabad,4.1,89.2,Active
VND-1070,Vendor 70 Wholesale Ltd,Industrial Hardware,Chennai,4.46,91.0,Active
VND-1071,Vendor 71 Wholesale Ltd,Electronics,Delhi,4.82,88.9,Active
VND-1072,Vendor 72 Wholesale Ltd,Electronics,Delhi,4.39,90.2,Active
VND-1073,Vendor 73 Wholesale Ltd,Beauty & Personal Care,Jaipur,4.98,86.7,Active
VND-1074,Vendor 74 Wholesale Ltd,Industrial Hardware,Mumbai,4.56,85.0,Active
VND-1075,Vendor 75 Wholesale Ltd,Footwear,Hyderabad,3.6,94.9,Active
VND-1076,Vendor 76 Wholesale Ltd,Footwear,Delhi,4.58,89.5,Active
VND-1077,Vendor 77 Wholesale Ltd,Beauty & Personal Care,Chennai,4.1,89.4,Active
VND-1078,Vendor 78 Wholesale Ltd,Home & Kitchen,Hyderabad,4.5,90.6,Active
VND-1079,Vendor 79 Wholesale Ltd,Industrial Hardware,Hyderabad,4.32,85.0,Active
VND-1080,Vendor 80 Wholesale Ltd,Home & Kitchen,Hyderabad,4.68,94.0,Active
VND-1081,Vendor 81 Wholesale Ltd,Stationery,Kolkata,4.16,88.2,Under Review
VND-1082,Vendor 82 Wholesale Ltd,FMCG,Delhi,3.93,94.9,Active
VND-1083,Vendor 83 Wholesale Ltd,Apparel,Ahmedabad,4.51,88.3,Active
VND-1084,Vendor 84 Wholesale Ltd,FMCG,Mumbai,3.57,99.7,Active
VND-1085,Vendor 85 Wholesale Ltd,Stationery,Hyderabad,4.83,93.6,Under Review
VND-1086,Vendor 86 Wholesale Ltd,Stationery,Hyderabad,3.87,94.8,Active
VND-1087,Vendor 87 Wholesale Ltd,Apparel,Hyderabad,3.83,97.0,Under Review
VND-1088,Vendor 88 Wholesale Ltd,Electronics,Pune,3.87,97.6,Under Review
VND-1089,Vendor 89 Wholesale Ltd,FMCG,Kolkata,4.5,99.7,Active
VND-1090,Vendor 90 Wholesale Ltd,Stationery,Jaipur,4.72,98.3,Under Review
VND-1091,Vendor 91 Wholesale Ltd,Stationery,Bengaluru,4.62,92.1,Active
VND-1092,Vendor 92 Wholesale Ltd,Home & Kitchen,Surat,4.65,92.8,Active
VND-1093,Vendor 93 Wholesale Ltd,Industrial Hardware,Kolkata,3.62,89.3,Active
VND-1094,Vendor 94 Wholesale Ltd,Footwear,Chennai,4.84,86.2,Active
VND-1095,Vendor 95 Wholesale Ltd,Home & Kitchen,Hyderabad,4.54,95.5,Active
VND-1096,Vendor 96 Wholesale Ltd,Beauty & Personal Care,Hyderabad,4.0,91.9,Active
VND-1097,Vendor 97 Wholesale Ltd,Home & Kitchen,Hyderabad,4.08,96.5,Active
VND-1098,Vendor 98 Wholesale Ltd,Beauty & Personal Care,Kolkata,3.51,90.2,Under Review
VND-1099,Vendor 99 Wholesale Ltd,Beauty & Personal Care,Pune,4.62,93.1,Active
VND-1100,Vendor 100 Wholesale Ltd,Stationery,Ahmedabad,3.91,92.2,Under Review
