return_id,order_id,product_id,return_reason,quantity,refund_amount_inr,status,return_date
RET-8021,ORD-5065,PRD-3037,Buyer Cancelled,5,11295.91,Approved,2025-08-24
RET-8022,ORD-5372,PRD-3164,Delayed Delivery,2,4198.01,Under Inspection,2025-06-30
RET-8023,ORD-5235,PRD-3047,Buyer Cancelled,3,7307.14,Rejected,2025-03-12
RET-8024,ORD-5220,PRD-3134,Incorrect Size/Color,3,5939.34,Approved,2025-08-31
RET-8025,ORD-5157,PRD-3105,Delayed Delivery,1,1977.09,Approved,2025-07-06
RET-8026,ORD-5123,PRD-3024,Incorrect Size/Color,5,1803.76,Rejected,2025-05-22
RET-8027,ORD-5253,PRD-3003,Buyer Cancelled,5,14054.18,Refunded,2025-05-03
RET-8028,ORD-5255,PRD-3132,Damaged Packaging,1,1335.32,Refunded,2025-08-22
RET-8029,ORD-5382,PRD-3002,Buyer Cancelled,5,11495.35,Refunded,2025-07-09
RET-8030,ORD-5339,PRD-3136,Damaged Packaging,1,1900.65,Refunded,2025-06-22
RET-8031,ORD-5392,PRD-3135,Incorrect Size/Color,2,820.69,Refunded,2025-05-12
RET-8032,ORD-5181,PRD-3014,Buyer Cancelled,4,5045.86,Rejected,2025-09-06
RET-8033,ORD-5058,PRD-3087,Incorrect Size/Color,5,12910.88,Approved,2025-03-16
RET-8034,ORD-5154,PRD-3124,Delayed Delivery,3,2389.75,Under Inspection,2025-02-25
RET-8035,ORD-5157,PRD-3165,Damaged Packaging,1,2819.16,Under Inspection,2025-01-15
RET-8036,ORD-5183,PRD-3002,Damaged Packaging,4,4479.78,Rejected,2025-01-28
RET-8037,ORD-5003,PRD-3090,Incorrect Size/Color,4,4770.76,Approved,2025-04-21
RET-8038,ORD-5252,PRD-3051,Defective Item,5,8200.46,Refunded,2025-04-16
RET-8039,ORD-5064,PRD-3125,Defective Item,2,4708.91,Rejected,2025-02-27
RET-8040,ORD-5241,PRD-3102,Delayed Delivery,3,3661.76,Refunded,2025-05-18
RET-8041,ORD-5138,PRD-3028,Buyer Cancelled,4,2612.54,Rejected,2025-07-11
RET-8042,ORD-5223,PRD-3002,Delayed Delivery,2,1019.73,Rejected,2025-01-11
RET-8043,ORD-5069,PRD-3102,Buyer Cancelled,3,8168.38,Refunded,2025-06-20
RET-8044,ORD-5102,PRD-3123,Delayed Delivery,1,1379.07,Under Inspection,2025-07-24
RET-8045,ORD-5350,PRD-3183,Incorrect Size/Color,3,6909.16,Under Inspection,2025-05-09
RET-8046,ORD-5372,PRD-3190,Buyer Cancelled,2,1014.5,Approved,2025-07-22
RET-8047,ORD-5011,PRD-3033,Incorrect Size/Color,3,4800.01,Refunded,2025-01-14
RET-8048,ORD-5348,PRD-3088,Buyer Cancelled,5,11324.04,Under Inspection,2025-05-03
RET-8049,ORD-5149,PRD-3073,Buyer Cancelled,1,2330.52,Refunded,2025-06-08
RET-8050,ORD-5079,PRD-3187,Damaged Packaging,2,1797.01,Approved,2025-08-10
RET-8051,ORD-5135,PRD-3180,Incorrect Size/Color,4,3022.22,Approved,2025-06-29
RET-8052,ORD-5374,PRD-3129,Damaged Packaging,2,1456.55,Refunded,2025-02-28
RET-8053,ORD-5062,PRD-3034,Buyer Cancelled,1,966.81,Refunded,2025-08-26
RET-8054,ORD-5075,PRD-3110,Defective Item,5,3795.01,Approved,2025-04-08
RET-8055,ORD-5209,PRD-3135,Delayed Delivery,2,1641.94,Under Inspection,2025-05-03
RET-8056,ORD-5032,PRD-3131,Buyer Cancelled,1,1052.01,Rejected,2025-04-04
RET-8057,ORD-5144,PRD-3090,Buyer Cancelled,2,2191.11,Approved,2025-02-16
RET-8058,ORD-5021,PRD-3001,Defective Item,3,2380.61,Under Inspection,2025-03-13
RET-8059,ORD-5311,PRD-3026,Buyer Cancelled,2,1812.67,Under Inspection,2025-04-04
RET-8060,ORD-5172,PRD-3078,Defective Item,1,2073.05,Refunded,2025-03-26
RET-8061,ORD-5185,PRD-3190,Delayed Delivery,5,8404.07,Rejected,2025-03-02
RET-8062,ORD-5333,PRD-3071,Incorrect Size/Color,5,6376.69,Approved,2025-02-03
RET-8063,ORD-5323,PRD-3191,Damaged Packaging,1,314.91,Refunded,2025-02-19
RET-8064,ORD-5361,PRD-3115,Defective Item,1,2837.09,Rejected,2025-03-19
RET-8065,ORD-5372,PRD-3122,Incorrect Size/Color,5,11090.77,Approved,2025-02-02
RET-8066,ORD-5099,PRD-3108,Damaged Packaging,3,8089.33,Rejected,2025-08-18
RET-8067,ORD-5188,PRD-3115,Defective Item,4,1558.34,Under Inspection,2025-05-15
RET-8068,ORD-5258,PRD-3006,Incorrect Size/Color,5,4838.08,Refunded,2025-03-16
RET-8069,ORD-5024,PRD-3145,Defective Item,2,4548.01,Under Inspection,2025-05-07
RET-8070,ORD-5351,PRD-3137,Damaged Packaging,1,663.45,Under Inspection,2025-05-24
RET-8071,ORD-5400,PRD-3100,Buyer Cancelled,5,4800.92,Refunded,2025-01-01
RET-8072,ORD-5082,PRD-3147,Incorrect Size/Color,5,10754.1,Under Inspection,2025-05-09
RET-8073,ORD-5363,PRD-3185,Damaged Packaging,3,3148.65,Refunded,2025-03-17
RET-8074,ORD-5363,PRD-3069,Damaged Packaging,1,679.11,Approved,2025-05-17
RET-8075,ORD-5122,PRD-3075,Defective Item,2,5675.46,Rejected,2025-08-26
RET-8076,ORD-5069,PRD-3070,Defective Item,2,5941.4,Refunded,2025-05-17
RET-8077,ORD-5060,PRD-3001,Delayed Delivery,5,14611.06,Rejected,2025-01-22
RET-8078,ORD-5362,PRD-3141,Delayed Delivery,2,2686.72,Rejected,2025-03-25
RET-8079,ORD-5030,PRD-3161,Defective Item,3,2441.95,Rejected,2025-02-15
RET-8080,ORD-5132,PRD-3005,Damaged Packaging,5,2490.2,Under Inspection,2025-08-31
RET-8081,ORD-5335,PRD-3066,Damaged Packaging,5,3886.23,Under Inspection,2025-02-26
RET-8082,ORD-5167,PRD-3069,Incorrect Size/Color,5,9817.21,Under Inspection,2025-02-09
RET-8083,ORD-5229,PRD-3060,Buyer Cancelled,3,1846.01,Under Inspection,2025-01-24
RET-8084,ORD-5254,PRD-3047,Buyer Cancelled,2,4967.35,Refunded,2025-02-18
RET-8085,ORD-5292,PRD-3126,Incorrect Size/Color,3,776.8,Refunded,2025-08-15
RET-8086,ORD-5091,PRD-3101,Damaged Packaging,2,788.94,Approved,2025-04-20
RET-8087,ORD-5126,PRD-3117,Buyer Cancelled,1,2228.06,Refunded,2025-07-06
RET-8088,ORD-5385,PRD-3004,Damaged Packaging,1,1258.05,Approved,2025-01-29
RET-8089,ORD-5007,PRD-3196,Defective Item,2,1790.72,Approved,2025-03-10
RET-8090,ORD-5074,PRD-3161,Damaged Packaging,1,2418.72,Approved,2025-09-03
RET-8091,ORD-5055,PRD-3139,Delayed Delivery,1,766.5,Under Inspection,2025-07-14
RET-8092,ORD-5289,PRD-3114,Incorrect Size/Color,3,3386.75,Refunded,2025-03-04
RET-8093,ORD-5029,PRD-3140,Delayed Delivery,5,2723.06,Approved,2025-01-27
RET-8094,ORD-5279,PRD-3076,Defective Item,5,13410.4,Under Inspection,2025-02-06
RET-8095,ORD-5001,PRD-3058,Defective Item,2,2791.96,Refunded,2025-04-01
RET-8096,ORD-5336,PRD-3074,Incorrect Size/Color,4,8491.78,Approved,2025-05-06
RET-8097,ORD-5087,PRD-3029,Incorrect Size/Color,1,2878.11,Rejected,2025-04-02
RET-8098,ORD-5040,PRD-3158,Delayed Delivery,1,1209.38,Approved,2025-08-18
RET-8099,ORD-5023,PRD-3155,Incorrect Size/Color,2,2800.32,Rejected,2025-06-03
RET-8100,ORD-5093,PRD-3174,Buyer Cancelled,2,5401.46,Rejected,2025-06-09
