product_id,product_name,vendor_id,category,cogs_inr,msrp_inr,reorder_level,safety_stock
PRD-3034,Product SKU-034,VND-1046,Apparel,1816.97,3417.24,65,6
PRD-3035,Product SKU-035,VND-1059,Apparel,3886.39,6759.97,83,30
PRD-3036,Product SKU-036,VND-1091,Beauty & Personal Care,1338.34,2133.69,51,15
PRD-3037,Product SKU-037,VND-1080,Stationery,3752.52,7624.39,21,32
PRD-3038,Product SKU-038,VND-1014,Home & Kitchen,1988.76,3162.89,20,30
PRD-3039,Product SKU-039,VND-1040,Footwear,1036.0,1981.09,19,37
PRD-3040,Product SKU-040,VND-1082,Apparel,2411.19,3411.4,54,27
PRD-3041,Product SKU-041,VND-1094,FMCG,1101.4,1513.85,35,16
PRD-3042,Product SKU-042,VND-1078,FMCG,3432.96,6203.99,32,45
PRD-3043,Product SKU-043,VND-1064,Stationery,3407.28,6459.85,67,48
PRD-3044,Product SKU-044,VND-1073,Footwear,3895.9,6946.91,29,33
PRD-3045,Product SKU-045,VND-1009,Stationery,2017.83,3041.67,45,42
PRD-3046,Product SKU-046,VND-1008,Footwear,2307.65,3493.43,67,7
PRD-3047,Product SKU-047,VND-1008,Footwear,3751.05,4933.46,21,44
PRD-3048,Product SKU-048,VND-1077,Beauty & Personal Care,2109.07,3630.07,15,33
PRD-3049,Product SKU-049,VND-1074,Home & Kitchen,1480.79,2449.65,29,8
PRD-3050,Product SKU-050,VND-1058,Apparel,3658.8,7177.73,20,37
PRD-3051,Product SKU-051,VND-1083,FMCG,224.18,415.06,66,38
PRD-3052,Product SKU-052,VND-1067,FMCG,1669.35,3389.19,59,31
PRD-3053,Product SKU-053,VND-1100,Footwear,3071.09,3975.56,90,46
PRD-3054,Product SKU-054,VND-1043,Apparel,1517.12,2615.92,59,23
PRD-3055,Product SKU-055,VND-1033,FMCG,1533.46,2676.39,28,27
PRD-3056,Product SKU-056,VND-1040,Beauty & Personal Care,623.83,1155.65,20,24
PRD-3057,Product SKU-057,VND-1072,Beauty & Personal Care,2913.55,4455.42,26,47
PRD-3058,Product SKU-058,VND-1090,Apparel,2924.81,4708.64,56,6
PRD-3059,Product SKU-059,VND-1047,Industrial Hardware,852.17,1220.36,72,17
PRD-3060,Product SKU-060,VND-1029,FMCG,739.51,1110.32,22,37
PRD-3061,Product SKU-061,VND-1099,Electronics,2995.59,5976.0,89,13
PRD-3062,Product SKU-062,VND-1077,Beauty & Personal Care,736.42,1033.73,98,44
PRD-3063,Product SKU-063,VND-1022,Stationery,244.43,381.23,40,33
PRD-3064,Product SKU-064,VND-1079,Industrial Hardware,3398.14,6511.62,39,39
PRD-3065,Product SKU-065,VND-1031,Industrial Hardware,4346.91,8331.79,34,28
PRD-3066,Product SKU-066,VND-1087,Stationery,2104.48,3134.64,58,37
PRD-3067,Product SKU-067,VND-1068,Beauty & Personal Care,4349.89,8457.74,87,13
PRD-3068,Product SKU-068,VND-1033,Electronics,2903.25,5786.18,80,11
PRD-3069,Product SKU-069,VND-1092,Apparel,1318.53,2503.43,44,33
PRD-3070,Product SKU-070,VND-1066,FMCG,3748.16,4977.39,38,33
PRD-3071,Product SKU-071,VND-1045,Electronics,1896.29,3009.39,57,20
PRD-3072,Product SKU-072,VND-1050,Apparel,1718.36,2189.12,22,50
PRD-3073,Product SKU-073,VND-1084,Footwear,3571.64,4882.29,46,35
PRD-3074,Product SKU-074,VND-1090,FMCG,3426.84,5649.98,88,5
PRD-3075,Product SKU-075,VND-1011,Electronics,1188.86,2329.83,80,43
PRD-3076,Product SKU-076,VND-1068,Beauty & Personal Care,544.78,814.38,48,12
PRD-3077,Product SKU-077,VND-1007,Home & Kitchen,1918.22,3692.22,68,9
PRD-3078,Product SKU-078,VND-1015,Stationery,2705.49,3419.66,75,41
PRD-3079,Product SKU-079,VND-1031,FMCG,1346.16,1684.49,55,20
PRD-3080,Product SKU-080,VND-1074,Beauty & Personal Care,883.55,1606.28,77,28
PRD-3081,Product SKU-081,VND-1009,Electronics,1787.52,2948.72,91,29
PRD-3082,Product SKU-082,VND-1048,Industrial Hardware,3375.56,5244.03,18,27
PRD-3083,Product SKU-083,VND-1031,Apparel,3483.18,6530.65,52,13
PRD-3084,Product SKU-084,VND-1006,Footwear,2479.76,4814.41,32,48
PRD-3085,Product SKU-085,VND-1060,Stationery,2861.22,5550.12,18,50
PRD-3086,Product SKU-086,VND-1100,Stationery,214.58,304.99,35,7
PRD-3087,Product SKU-087,VND-1041,Industrial Hardware,2343.46,4899.6,79,35
PRD-3088,Product SKU-088,VND-1033,Electronics,3402.14,4805.31,55,8
PRD-3089,Product SKU-089,VND-1084,Footwear,1265.81,2442.31,65,30
PRD-3090,Product SKU-090,VND-1096,Stationery,4031.14,6363.75,33,36
PRD-3091,Product SKU-091,VND-1089,Stationery,1684.69,3247.57,44,10
PRD-3092,Product SKU-092,VND-1094,Beauty & Personal Care,401.23,707.0,33,39
PRD-3093,Product SKU-093,VND-1038,Footwear,506.56,774.39,47,24
PRD-3094,Product SKU-094,VND-1058,Beauty & Personal Care,791.57,1288.14,67,7
PRD-3095,Product SKU-095,VND-1094,Footwear,2786.09,4512.63,91,8
PRD-3096,Product SKU-096,VND-1010,Beauty & Personal Care,1666.73,3218.34,96,15
PRD-3097,Product SKU-097,VND-1004,FMCG,3826.58,6988.77,66,7
PRD-3098,Product SKU-098,VND-1017,Apparel,1100.18,1978.55,56,29
PRD-3099,Product SKU-099,VND-1073,Electronics,2742.67,5011.41,57,28
PRD-3100,Product SKU-100,VND-1057,Apparel,2603.95,4426.82,60,25
PRD-3101,Product SKU-101,VND-1084,Industrial Hardware,1160.77,1562.9,33,36
PRD-3102,Product SKU-102,VND-1067,Beauty & Personal Care,4115.26,5556.0,43,50
PRD-3103,Product SKU-103,VND-1058,Home & Kitchen,4483.82,6693.18,72,17
PRD-3104,Product SKU-104,VND-1016,FMCG,3845.08,6283.77,66,10
PRD-3105,Product SKU-105,VND-1088,Footwear,3021.89,5599.89,80,39
PRD-3106,Product SKU-106,VND-1038,Industrial Hardware,3838.56,7120.67,99,45
PRD-3107,Product SKU-107,VND-1023,Footwear,2313.96,3131.15,35,13
PRD-3108,Product SKU-108,VND-1031,Stationery,166.96,287.32,57,34
PRD-3109,Product SKU-109,VND-1071,FMCG,2773.17,3669.69,49,30
PRD-3110,Product SKU-110,VND-1092,Stationery,2389.35,4548.82,83,9
PRD-3111,Product SKU-111,VND-1017,Footwear,2908.41,4747.92,97,38
PRD-3112,Product SKU-112,VND-1045,FMCG,3956.92,7570.47,91,42
PRD-3113,Product SKU-113,VND-1024,FMCG,1975.15,3997.91,17,12
PRD-3114,Product SKU-114,VND-1067,FMCG,1403.35,1947.39,100,19
PRD-3115,Product SKU-115,VND-1045,Industrial Hardware,3814.4,5580.52,91,40
PRD-3116,Product SKU-116,VND-1036,FMCG,2831.35,5017.9,21,37
PRD-3117,Product SKU-117,VND-1083,FMCG,2683.55,4678.9,31,47
PRD-3118,Product SKU-118,VND-1080,Footwear,3799.26,6569.21,13,10
PRD-3119,Product SKU-119,VND-1006,Industrial Hardware,2947.53,5605.95,63,44
PRD-3120,Product SKU-120,VND-1082,Electronics,2266.27,4040.96,47,46
PRD-3121,Product SKU-121,VND-1039,Stationery,1139.71,2206.76,61,24
PRD-3122,Product SKU-122,VND-1059,Apparel,3114.33,4311.38,63,35
PRD-3123,Product SKU-123,VND-1060,Home & Kitchen,1563.86,2145.8,50,27
PRD-3124,Product SKU-124,VND-1052,FMCG,3434.96,5797.3,23,25
PRD-3125,Product SKU-125,VND-1031,Stationery,595.22,971.49,28,11
PRD-3126,Product SKU-126,VND-1007,Industrial Hardware,4256.96,8448.1,63,20
PRD-3127,Product SKU-127,VND-1021,Footwear,4205.19,7834.1,34,15
PRD-3128,Product SKU-128,VND-1064,Stationery,2269.48,3432.04,12,10
PRD-3129,Product SKU-129,VND-1051,Stationery,4351.76,6235.52,55,8
PRD-3130,Product SKU-130,VND-1007,Industrial Hardware,2252.28,4504.53,93,48
PRD-3131,Product SKU-131,VND-1061,Industrial Hardware,2438.27,4803.63,65,13
PRD-3132,Product SKU-132,VND-1034,Footwear,3449.16,5384.3,61,8
PRD-3133,Product SKU-133,VND-1073,Home & Kitchen,1663.23,2487.05,59,37
PRD-3134,Product SKU-134,VND-1058,Industrial Hardware,3722.64,6625.39,88,12
PRD-3135,Product SKU-135,VND-1017,Apparel,1802.87,3471.72,53,40
PRD-3136,Product SKU-136,VND-1047,FMCG,935.81,1574.74,74,7
PRD-3137,Product SKU-137,VND-1006,Electronics,659.81,1011.54,70,38
PRD-3138,Product SKU-138,VND-1059,FMCG,2747.86,4638.88,51,44
PRD-3139,Product SKU-139,VND-1041,FMCG,1798.65,3190.85,48,42
PRD-3140,Product SKU-140,VND-1044,Stationery,3203.89,4821.28,12,28
PRD-3141,Product SKU-141,VND-1043,Apparel,4410.55,7701.47,98,45
PRD-3142,Product SKU-142,VND-1004,Stationery,1231.61,2225.83,84,41
PRD-3143,Product SKU-143,VND-1030,Electronics,2646.68,3691.95,90,44
PRD-3144,Product SKU-144,VND-1100,Beauty & Personal Care,707.6,1293.93,14,41
PRD-3145,Product SKU-145,VND-1090,Apparel,898.99,1460.75,63,14
PRD-3146,Product SKU-146,VND-1053,Home & Kitchen,1876.18,3581.11,70,8
PRD-3147,Product SKU-147,VND-1091,FMCG,2358.14,4071.93,94,35
PRD-3148,Product SKU-148,VND-1068,Beauty & Personal Care,1446.2,2020.64,78,26
PRD-3149,Product SKU-149,VND-1070,Footwear,3057.62,6077.04,97,46
PRD-3150,Product SKU-150,VND-1089,Industrial Hardware,2764.84,3907.89,41,22
PRD-3151,Product SKU-151,VND-1072,Industrial Hardware,1050.66,2182.19,48,23
PRD-3152,Product SKU-152,VND-1091,Home & Kitchen,3121.57,5199.45,71,27
PRD-3153,Product SKU-153,VND-1072,Industrial Hardware,1330.66,2311.96,79,29
PRD-3154,Product SKU-154,VND-1051,Footwear,4298.01,8312.02,47,7
PRD-3155,Product SKU-155,VND-1037,Apparel,1591.32,2587.52,42,35
PRD-3156,Product SKU-156,VND-1028,Home & Kitchen,3734.39,5528.63,81,49
PRD-3157,Product SKU-157,VND-1035,FMCG,536.06,1007.66,40,20
PRD-3158,Product SKU-158,VND-1007,Home & Kitchen,2888.85,3739.96,62,26
PRD-3159,Product SKU-159,VND-1092,Stationery,497.42,947.66,10,40
PRD-3160,Product SKU-160,VND-1021,Beauty & Personal Care,2955.37,5906.46,70,35
PRD-3161,Product SKU-161,VND-1084,Home & Kitchen,3413.8,5100.76,46,46
PRD-3162,Product SKU-162,VND-1008,Apparel,2952.73,4273.74,14,16
PRD-3163,Product SKU-163,VND-1054,FMCG,4205.96,5387.37,60,36
PRD-3164,Product SKU-164,VND-1024,Industrial Hardware,3951.51,4970.51,82,43
PRD-3165,Product SKU-165,VND-1014,Footwear,1316.3,2752.03,79,38
PRD-3166,Product SKU-166,VND-1064,FMCG,3837.22,6323.04,34,12
PRD-3167,Product SKU-167,VND-1043,FMCG,3303.48,5949.71,33,5
PRD-3168,Product SKU-168,VND-1095,Footwear,3568.92,6183.56,34,16
PRD-3169,Product SKU-169,VND-1079,Beauty & Personal Care,3730.1,6296.37,21,30
PRD-3170,Product SKU-170,VND-1086,Apparel,872.28,1194.6,51,20
PRD-3171,Product SKU-171,VND-1001,Industrial Hardware,1756.91,2863.28,44,26
PRD-3172,Product SKU-172,VND-1039,Electronics,1213.91,1888.38,40,8
PRD-3173,Product SKU-173,VND-1086,Apparel,2121.01,2939.21,97,37
PRD-3174,Product SKU-174,VND-1091,Industrial Hardware,3121.79,5597.07,47,28
PRD-3175,Product SKU-175,VND-1079,Home & Kitchen,1025.12,1397.79,29,34
PRD-3176,Product SKU-176,VND-1096,Footwear,1900.51,3262.89,70,39
PRD-3177,Product SKU-177,VND-1086,Home & Kitchen,3440.28,6289.83,86,10
PRD-3178,Product SKU-178,VND-1068,Stationery,2400.37,3738.62,82,12
PRD-3179,Product SKU-179,VND-1008,Home & Kitchen,2598.52,3579.14,51,38
PRD-3180,Product SKU-180,VND-1057,Apparel,3077.31,5721.89,72,10
PRD-3181,Product SKU-181,VND-1066,Stationery,3648.68,5967.11,75,31
PRD-3182,Product SKU-182,VND-1059,Electronics,2536.65,4621.4,49,6
PRD-3183,Product SKU-183,VND-1051,Industrial Hardware,3683.22,6938.94,84,9
PRD-3184,Product SKU-184,VND-1006,Beauty & Personal Care,1583.15,2064.74,17,9
PRD-3185,Product SKU-185,VND-1061,Electronics,1327.55,1862.53,27,46
PRD-3186,Product SKU-186,VND-1094,Beauty & Personal Care,1716.35,3445.8,67,29
PRD-3187,Product SKU-187,VND-1049,Apparel,3088.15,5597.34,79,13
PRD-3188,Product SKU-188,VND-1084,Footwear,577.92,1210.12,60,38
PRD-3189,Product SKU-189,VND-1017,Home & Kitchen,3764.96,7126.14,48,34
PRD-3190,Product SKU-190,VND-1087,Beauty & Personal Care,2417.1,4713.0,41,34
PRD-3191,Product SKU-191,VND-1045,FMCG,1276.64,2613.03,24,7
PRD-3192,Product SKU-192,VND-1085,Beauty & Personal Care,2786.41,5700.44,12,20
PRD-3193,Product SKU-193,VND-1027,Apparel,498.99,637.98,86,48
PRD-3194,Product SKU-194,VND-1091,Electronics,1139.07,1466.67,66,19
PRD-3195,Product SKU-195,VND-1070,Home & Kitchen,3407.02,6506.23,27,37
PRD-3196,Product SKU-196,VND-1038,Home & Kitchen,3680.25,6888.65,50,41
PRD-3197,Product SKU-197,VND-1077,Footwear,1104.22,2202.72,94,38
PRD-3198,Product SKU-198,VND-1029,Beauty & Personal Care,1387.23,1805.92,85,16
PRD-3199,Product SKU-199,VND-1081,Beauty & Personal Care,2523.54,3254.99,54,46
PRD-3200,Product SKU-200,VND-1086,Beauty & Personal Care,3546.83,5394.46,63,31
PRD-3201,Product SKU-201,VND-1020,Industrial Hardware,1725.25,3262.89,70,20
PRD-3202,Product SKU-202,VND-1029,Industrial Hardware,3866.06,5306.94,69,8
PRD-3203,Product SKU-203,VND-1072,Beauty & Personal Care,4356.65,7509.53,27,29
PRD-3204,Product SKU-204,VND-1032,Industrial Hardware,954.85,1718.44,67,28
PRD-3205,Product SKU-205,VND-1012,Home & Kitchen,279.34,438.73,87,43
PRD-3206,Product SKU-206,VND-1006,Apparel,887.33,1683.66,95,40
PRD-3207,Product SKU-207,VND-1028,Stationery,979.56,1979.67,48,5
PRD-3208,Product SKU-208,VND-1028,Home & Kitchen,4331.25,5845.97,71,20
PRD-3209,Product SKU-209,VND-1090,Home & Kitchen,1815.01,2637.99,51,23
PRD-3210,Product SKU-210,VND-1049,Stationery,2424.74,3771.37,43,28
PRD-3211,Product SKU-211,VND-1066,Stationery,2123.72,4103.86,70,25
PRD-3212,Product SKU-212,VND-1027,Footwear,1442.5,1859.18,38,14
PRD-3213,Product SKU-213,VND-1003,Industrial Hardware,2512.24,4387.44,63,23
PRD-3214,Product SKU-214,VND-1020,Home & Kitchen,1517.9,2387.45,41,36
PRD-3215,Product SKU-215,VND-1071,Footwear,1195.1,2328.48,92,36
PRD-3216,Product SKU-216,VND-1059,FMCG,3310.84,5129.65,27,39
PRD-3217,Product SKU-217,VND-1063,FMCG,4130.2,7066.01,92,8
PRD-3218,Product SKU-218,VND-1068,Electronics,3783.85,4968.88,95,8
PRD-3219,Product SKU-219,VND-1098,Electronics,1885.15,3706.51,39,9
PRD-3220,Product SKU-220,VND-1091,FMCG,90.68,152.33,57,8
PRD-3221,Product SKU-221,VND-1080,Stationery,2983.82,3769.67,78,40
PRD-3222,Product SKU-222,VND-1053,Electronics,124.43,231.92,78,23
PRD-3223,Product SKU-223,VND-1003,Beauty & Personal Care,3637.45,7359.68,23,11
PRD-3224,Product SKU-224,VND-1068,FMCG,1122.31,1994.14,42,27
PRD-3225,Product SKU-225,VND-1035,Beauty & Personal Care,401.64,829.55,68,41
PRD-3226,Product SKU-226,VND-1032,Home & Kitchen,1384.89,2705.87,20,46
PRD-3227,Product SKU-227,VND-1084,Electronics,466.08,732.85,80,35
PRD-3228,Product SKU-228,VND-1008,Electronics,3177.66,4195.41,65,46
PRD-3229,Product SKU-229,VND-1043,Apparel,4031.82,8189.75,39,18
PRD-3230,Product SKU-230,VND-1089,Stationery,1256.37,2557.39,97,22
PRD-3231,Product SKU-231,VND-1070,Electronics,848.13,1673.24,12,18
PRD-3232,Product SKU-232,VND-1076,FMCG,3397.53,6305.15,60,9
PRD-3233,Product SKU-233,VND-1039,FMCG,2559.61,4432.45,59,48
PRD-3234,Product SKU-234,VND-1070,Footwear,1758.12,3303.13,98,10
PRD-3235,Product SKU-235,VND-1065,Footwear,288.95,468.54,19,26
PRD-3236,Product SKU-236,VND-1078,Beauty & Personal Care,4361.7,6662.15,91,22
PRD-3237,Product SKU-237,VND-1058,Stationery,1065.22,1832.27,58,32
PRD-3238,Product SKU-238,VND-1024,Beauty & Personal Care,431.34,765.98,41,50
PRD-3239,Product SKU-239,VND-1010,Apparel,1242.48,1954.42,91,14
PRD-3240,Product SKU-240,VND-1095,Beauty & Personal Care,1459.22,1956.18,10,24
PRD-3241,Product SKU-241,VND-1057,Footwear,3437.99,4596.24,21,16
PRD-3242,Product SKU-242,VND-1056,Stationery,2528.58,4262.11,23,6
PRD-3243,Product SKU-243,VND-1012,Footwear,2516.28,4422.07,51,29
PRD-3244,Product SKU-244,VND-1002,Industrial Hardware,1891.45,3617.01,81,20
PRD-3245,Product SKU-245,VND-1074,FMCG,3099.66,4321.16,44,24
PRD-3246,Product SKU-246,VND-1035,Stationery,699.41,973.67,45,31
PRD-3247,Product SKU-247,VND-1039,Stationery,3532.87,5500.52,41,45
PRD-3248,Product SKU-248,VND-1064,Home & Kitchen,2087.48,2849.76,10,30
PRD-3249,Product SKU-249,VND-1043,Beauty & Personal Care,3628.14,5551.45,52,32
PRD-3250,Product SKU-250,VND-1084,FMCG,1386.94,2444.8,98,17
PRD-3251,Product SKU-251,VND-1062,Footwear,840.49,1335.12,50,23
PRD-3252,Product SKU-252,VND-1095,Stationery,4356.55,8341.39,51,29
PRD-3253,Product SKU-253,VND-1036,Beauty & Personal Care,1674.32,3419.39,35,42
PRD-3254,Product SKU-254,VND-1070,FMCG,3083.62,5296.38,69,50
PRD-3255,Product SKU-255,VND-1027,Stationery,3599.7,7043.14,18,31
PRD-3256,Product SKU-256,VND-1087,Stationery,669.35,1008.98,42,47
PRD-3257,Product SKU-257,VND-1020,Beauty & Personal Care,3561.39,4675.64,86,35
PRD-3258,Product SKU-258,VND-1075,Beauty & Personal Care,2427.93,4940.77,98,31
PRD-3259,Product SKU-259,VND-1070,Electronics,3568.71,5551.49,78,43
PRD-3260,Product SKU-260,VND-1082,Apparel,536.69,784.1,95,27
PRD-3261,Product SKU-261,VND-1022,Electronics,2556.33,4596.99,92,30
PRD-3262,Product SKU-262,VND-1097,Footwear,4347.44,7024.97,11,11
PRD-3263,Product SKU-263,VND-1034,Home & Kitchen,2322.51,3927.31,84,49
PRD-3264,Product SKU-264,VND-1074,Home & Kitchen,2033.71,3218.27,96,42
PRD-3265,Product SKU-265,VND-1089,FMCG,1585.1,2014.47,23,23
PRD-3266,Product SKU-266,VND-1054,Apparel,566.51,1161.1,28,27
PRD-3267,Product SKU-267,VND-1040,Footwear,2076.23,2960.37,71,27
PRD-3268,Product SKU-268,VND-1061,Apparel,1999.84,3684.2,50,9
PRD-3269,Product SKU-269,VND-1039,Electronics,3655.33,4926.74,53,46
PRD-3270,Product SKU-270,VND-1014,FMCG,4188.15,7871.28,76,16
PRD-3271,Product SKU-271,VND-1071,FMCG,1522.9,2455.55,69,19
PRD-3272,Product SKU-272,VND-1052,FMCG,879.42,1590.62,60,6
PRD-3273,Product SKU-273,VND-1095,Home & Kitchen,2050.61,3311.98,10,50
PRD-3274,Product SKU-274,VND-1028,Home & Kitchen,1288.63,2381.64,18,41
PRD-3275,Product SKU-275,VND-1014,FMCG,1677.78,2378.28,24,21
PRD-3276,Product SKU-276,VND-1086,Stationery,2398.33,4300.79,86,29
PRD-3277,Product SKU-277,VND-1079,Beauty & Personal Care,2662.17,4115.01,68,44
PRD-3278,Product SKU-278,VND-1023,Industrial Hardware,4138.14,7248.54,96,13
PRD-3279,Product SKU-279,VND-1041,Apparel,1111.65,1500.07,57,49
PRD-3280,Product SKU-280,VND-1019,Beauty & Personal Care,1911.16,2612.91,59,32
PRD-3281,Product SKU-281,VND-1024,Stationery,2877.98,5293.81,92,16
PRD-3282,Product SKU-282,VND-1072,FMCG,2228.91,3051.94,50,33
PRD-3283,Product SKU-283,VND-1080,Electronics,3901.57,8033.59,72,13
PRD-3284,Product SKU-284,VND-1025,Beauty & Personal Care,4339.04,7287.95,73,31
PRD-3285,Product SKU-285,VND-1088,Stationery,1899.56,3730.56,72,15
PRD-3286,Product SKU-286,VND-1011,Electronics,3591.67,5162.85,14,22
PRD-3287,Product SKU-287,VND-1029,Industrial Hardware,798.53,1308.57,73,40
PRD-3288,Product SKU-288,VND-1066,Apparel,2598.58,3839.94,79,28
PRD-3289,Product SKU-289,VND-1070,Electronics,3432.02,5577.59,37,32
PRD-3290,Product SKU-290,VND-1014,Home & Kitchen,1374.8,2886.28,67,21
PRD-3291,Product SKU-291,VND-1045,Apparel,2003.86,4197.81,40,18
PRD-3292,Product SKU-292,VND-1095,Footwear,3881.67,6865.6,64,15
PRD-3293,Product SKU-293,VND-1079,FMCG,3542.58,6877.92,17,41
PRD-3294,Product SKU-294,VND-1045,Industrial Hardware,2706.02,3769.81,100,23
PRD-3295,Product SKU-295,VND-1038,Industrial Hardware,4288.17,7235.23,96,11
PRD-3296,Product SKU-296,VND-1018,Beauty & Personal Care,4138.52,8664.46,93,13
PRD-3297,Product SKU-297,VND-1090,FMCG,1161.06,2153.4,41,48
PRD-3298,Product SKU-298,VND-1051,Stationery,682.66,1220.28,90,31
PRD-3299,Product SKU-299,VND-1049,Stationery,386.05,743.3,21,30
PRD-3300,Product SKU-300,VND-1066,Industrial Hardware,3141.43,6269.41,68,36
PRD-3301,Product SKU-301,VND-1042,Electronics,3916.64,7716.14,21,34
PRD-3302,Product SKU-302,VND-1082,Footwear,3832.97,7383.55,60,18
PRD-3303,Product SKU-303,VND-1055,Home & Kitchen,2251.48,3432.24,46,26
PRD-3304,Product SKU-304,VND-1071,FMCG,2569.33,4271.61,53,48
PRD-3305,Product SKU-305,VND-1098,Electronics,254.45,453.49,68,6
PRD-3306,Product SKU-306,VND-1016,FMCG,2013.72,2518.31,64,17
PRD-3307,Product SKU-307,VND-1089,FMCG,3975.56,5989.52,45,10
PRD-3308,Product SKU-308,VND-1084,Footwear,1164.23,1823.26,93,15
PRD-3309,Product SKU-309,VND-1007,Beauty & Personal Care,2833.94,5291.22,39,32
PRD-3310,Product SKU-310,VND-1084,Apparel,3181.46,3979.76,71,9
PRD-3311,Product SKU-311,VND-1017,Home & Kitchen,2361.53,3845.3,11,49
PRD-3312,Product SKU-312,VND-1044,Apparel,4447.29,7155.54,26,35
PRD-3313,Product SKU-313,VND-1010,Home & Kitchen,1754.66,3283.23,23,11
PRD-3314,Product SKU-314,VND-1041,Footwear,3970.4,5425.79,27,46
PRD-3315,Product SKU-315,VND-1087,FMCG,354.43,612.74,88,46
PRD-3316,Product SKU-316,VND-1022,Stationery,1612.79,2308.06,29,31
PRD-3317,Product SKU-317,VND-1079,Stationery,3876.83,5131.7,22,13
PRD-3318,Product SKU-318,VND-1097,Apparel,2673.6,4214.74,64,25
PRD-3319,Product SKU-319,VND-1018,Home & Kitchen,1282.51,1694.98,80,43
PRD-3320,Product SKU-320,VND-1077,Industrial Hardware,3516.41,6459.31,94,24
PRD-3321,Product SKU-321,VND-1027,Home & Kitchen,3377.9,5070.94,16,20
PRD-3322,Product SKU-322,VND-1064,Beauty & Personal Care,551.71,923.92,86,9
PRD-3323,Product SKU-323,VND-1068,Electronics,4441.63,9077.96,26,29
PRD-3324,Product SKU-324,VND-1073,Beauty & Personal Care,1676.09,3068.08,70,9
PRD-3325,Product SKU-325,VND-1003,Apparel,111.38,159.65,17,30
PRD-3326,Product SKU-326,VND-1065,Industrial Hardware,2847.14,4771.5,63,32
PRD-3327,Product SKU-327,VND-1090,Beauty & Personal Care,416.8,711.09,88,14
PRD-3328,Product SKU-328,VND-1036,Apparel,1429.09,2407.46,36,14
PRD-3329,Product SKU-329,VND-1069,Footwear,1788.76,3200.36,93,48
PRD-3330,Product SKU-330,VND-1083,Apparel,1430.25,2319.67,40,8
PRD-3331,Product SKU-331,VND-1032,Apparel,4164.59,5616.32,88,43
PRD-3332,Product SKU-332,VND-1008,Industrial Hardware,3014.05,5453.45,32,12
PRD-3333,Product SKU-333,VND-1002,FMCG,3171.67,4406.27,54,38
PRD-3334,Product SKU-334,VND-1067,Industrial Hardware,792.99,1076.79,44,12
PRD-3335,Product SKU-335,VND-1099,Electronics,1540.8,2488.28,77,9
