store_id,store_name,owner_name,city,tier,monthly_revenue_inr,health_score,estimated_valuation_inr,created_at
STR-2050,Vyapaar Store 50,Merchant_50,Hyderabad,Gold,2057678,70,4186714.56,2025-03-24
STR-2051,Vyapaar Store 51,Merchant_51,Delhi,Bronze,2308373,65,6043372.81,2025-05-19
STR-2052,Vyapaar Store 52,Merchant_52,Kolkata,Bronze,377348,77,898596.52,2025-06-09
STR-2053,Vyapaar Store 53,Merchant_53,Kolkata,Bronze,366475,78,716090.54,2025-02-03
STR-2054,Vyapaar Store 54,Merchant_54,Surat,Bronze,2183028,72,3381680.76,2025-06-11
STR-2055,Vyapaar Store 55,Merchant_55,Jaipur,Platinum,814286,84,1983947.84,2025-05-22
STR-2056,Vyapaar Store 56,Merchant_56,Hyderabad,Gold,1092462,72,2495687.29,2025-01-31
STR-2057,Vyapaar Store 57,Merchant_57,Bengaluru,Bronze,1374156,97,3709121.56,2025-04-17
STR-2058,Vyapaar Store 58,Merchant_58,Kolkata,Bronze,1172281,94,2857025.38,2025-04-09
STR-2059,Vyapaar Store 59,Merchant_59,Ahmedabad,Platinum,442804,82,1245850.19,2025-04-17
STR-2060,Vyapaar Store 60,Merchant_60,Chennai,Silver,160759,83,439561.19,2025-05-31
STR-2061,Vyapaar Store 61,Merchant_61,Jaipur,Bronze,773254,93,1867862.3,2025-03-30
STR-2062,Vyapaar Store 62,Merchant_62,Chennai,Bronze,2059853,85,6134907.28,2025-06-28
STR-2063,Vyapaar Store 63,Merchant_63,Ahmedabad,Bronze,1129631,91,1778265.58,2025-07-10
STR-2064,Vyapaar Store 64,Merchant_64,Kolkata,Bronze,1769331,74,4143877.07,2025-01-10
STR-2065,Vyapaar Store 65,Merchant_65,Bengaluru,Silver,570959,93,953221.7,2025-04-27
STR-2066,Vyapaar Store 66,Merchant_66,Mumbai,Platinum,1869574,74,3042185.81,2025-07-20
STR-2067,Vyapaar Store 67,Merchant_67,Surat,Silver,1817165,70,5357004.23,2025-06-22
STR-2068,Vyapaar Store 68,Merchant_68,Pune,Bronze,1478173,96,4409465.64,2025-01-10
STR-2069,Vyapaar Store 69,Merchant_69,Jaipur,Gold,1134697,83,3626065.04,2025-07-11
STR-2070,Vyapaar Store 70,Merchant_70,Delhi,Bronze,562900,71,1268919.32,2025-06-27
STR-2071,Vyapaar Store 71,Merchant_71,Surat,Gold,342900,85,978445.91,2025-03-17
STR-2072,Vyapaar Store 72,Merchant_72,Chennai,Silver,1956431,74,3746830.72,2025-04-16
STR-2073,Vyapaar Store 73,Merchant_73,Jaipur,Platinum,862963,76,1410294.0,2025-04-08
STR-2074,Vyapaar Store 74,Merchant_74,Jaipur,Platinum,2237367,74,4239184.8,2025-06-13
STR-2075,Vyapaar Store 75,Merchant_75,Surat,Bronze,1220917,65,3697113.1,2025-04-30
STR-2076,Vyapaar Store 76,Merchant_76,Surat,Platinum,459799,93,1428549.78,2025-05-31
STR-2077,Vyapaar Store 77,Merchant_77,Surat,Bronze,1198987,94,3521444.81,2025-02-20
STR-2078,Vyapaar Store 78,Merchant_78,Hyderabad,Bronze,597336,80,1283268.46,2025-04-02
STR-2079,Vyapaar Store 79,Merchant_79,Jaipur,Silver,1388287,66,4390465.44,2025-06-18
STR-2080,Vyapaar Store 80,Merchant_80,Hyderabad,Silver,183965,68,560734.3,2025-07-10
STR-2081,Vyapaar Store 81,Merchant_81,Kolkata,Silver,1115186,87,2087971.35,2025-02-18
STR-2082,Vyapaar Store 82,Merchant_82,Jaipur,Silver,723693,71,2196977.29,2025-06-15
STR-2083,Vyapaar Store 83,Merchant_83,Mumbai,Silver,1998946,67,4967931.46,2025-07-07
STR-2084,Vyapaar Store 84,Merchant_84,Bengaluru,Gold,1387782,85,3845151.83,2025-02-14
STR-2085,Vyapaar Store 85,Merchant_85,Ahmedabad,Platinum,2412440,88,5795764.15,2025-03-11
STR-2086,Vyapaar Store 86,Merchant_86,Bengaluru,Silver,2171016,83,6011870.9,2025-03-28
STR-2087,Vyapaar Store 87,Merchant_87,Delhi,Bronze,465828,74,1295960.3,2025-02-27
STR-2088,Vyapaar Store 88,Merchant_88,Hyderabad,Silver,528757,90,805646.8,2025-05-18
STR-2089,Vyapaar Store 89,Merchant_89,Delhi,Bronze,1695960,81,4229303.91,2025-06-13
STR-2090,Vyapaar Store 90,Merchant_90,Chennai,Gold,1130720,95,1744182.98,2025-05-24
STR-2091,Vyapaar Store 91,Merchant_91,Chennai,Platinum,415151,94,1264532.92,2025-03-19
STR-2092,Vyapaar Store 92,Merchant_92,Hyderabad,Gold,736267,67,2288792.44,2025-03-19
STR-2093,Vyapaar Store 93,Merchant_93,Kolkata,Gold,557652,80,1677607.28,2025-02-04
STR-2094,Vyapaar Store 94,Merchant_94,Hyderabad,Bronze,1706135,91,4262741.76,2025-07-06
STR-2095,Vyapaar Store 95,Merchant_95,Bengaluru,Bronze,565326,96,1439664.15,2025-03-13
STR-2096,Vyapaar Store 96,Merchant_96,Mumbai,Silver,1061295,93,2394263.44,2025-03-02
STR-2097,Vyapaar Store 97,Merchant_97,Chennai,Gold,1690714,87,2710104.9,2025-03-12
STR-2098,Vyapaar Store 98,Merchant_98,Ahmedabad,Gold,2057222,70,5403719.13,2025-06-14
STR-2099,Vyapaar Store 99,Merchant_99,Jaipur,Gold,362141,86,693162.18,2025-02-02
STR-2100,Vyapaar Store 100,Merchant_100,Jaipur,Platinum,437771,78,1093049.07,2025-03-01
