rating_id,vendor_id,store_id,quality_score,delivery_score,fulfillment_rate_pct,review_date
VR-9139,VND-1045,STR-2013,4.7,3.4,93.0,2025-05-04
VR-9140,VND-1028,STR-2041,4.7,4.1,81.7,2025-08-26
VR-9141,VND-1010,STR-2031,4.0,3.2,98.0,2025-08-16
VR-9142,VND-1032,STR-2031,3.2,3.9,84.9,2025-05-31
VR-9143,VND-1037,STR-2026,3.3,3.0,92.6,2025-08-10
VR-9144,VND-1027,STR-2032,4.5,4.2,91.1,2025-05-29
VR-9145,VND-1003,STR-2032,3.9,4.0,94.5,2025-09-07
VR-9146,VND-1015,STR-2046,3.3,3.0,91.5,2025-10-11
VR-9147,VND-1005,STR-2018,4.8,3.8,89.5,2025-09-11
VR-9148,VND-1040,STR-2042,3.8,4.4,80.4,2025-05-28
VR-9149,VND-1047,STR-2013,4.0,3.9,90.2,2025-10-28
VR-9150,VND-1044,STR-2022,4.9,4.7,94.3,2025-08-28
