movement_id,product_id,movement_type,quantity_changed,movement_date,reference_doc
MOV-449,PRD-3450,PO Inbound,61,2025-03-04,REF-55645
MOV-450,PRD-3478,Return Inbound,72,2025-02-10,REF-82211
MOV-451,PRD-3167,PO Inbound,29,2025-04-25,REF-23820
MOV-452,PRD-3040,Shrinkage Adjustment,-33,2025-08-01,REF-17402
MOV-453,PRD-3175,Shrinkage Adjustment,-29,2025-07-27,REF-69286
MOV-454,PRD-3253,PO Inbound,76,2025-03-11,REF-97148
MOV-455,PRD-3287,Warehouse Transfer,-39,2025-03-11,REF-14373
MOV-456,PRD-3448,Sales Outbound,-4,2025-03-21,REF-79555
MOV-457,PRD-3497,Shrinkage Adjustment,-21,2025-08-13,REF-45365
MOV-458,PRD-3018,Return Inbound,65,2025-04-06,REF-41224
MOV-459,PRD-3348,PO Inbound,27,2025-08-02,REF-11698
MOV-460,PRD-3194,Shrinkage Adjustment,-32,2025-09-29,REF-73199
MOV-461,PRD-3057,Warehouse Transfer,-42,2025-03-28,REF-44902
MOV-462,PRD-3389,Warehouse Transfer,-31,2025-03-31,REF-59545
MOV-463,PRD-3166,Return Inbound,97,2025-08-27,REF-18407
MOV-464,PRD-3097,Shrinkage Adjustment,-19,2025-10-23,REF-64290
MOV-465,PRD-3245,Return Inbound,90,2025-07-06,REF-22418
MOV-466,PRD-3356,Return Inbound,41,2025-04-28,REF-69324
MOV-467,PRD-3183,Sales Outbound,-23,2025-08-16,REF-49380
MOV-468,PRD-3498,Return Inbound,87,2025-09-23,REF-79709
MOV-469,PRD-3075,Return Inbound,18,2025-08-03,REF-95812
MOV-470,PRD-3432,Warehouse Transfer,-37,2025-01-25,REF-24745
MOV-471,PRD-3418,Warehouse Transfer,-24,2025-02-23,REF-23503
MOV-472,PRD-3420,PO Inbound,41,2025-08-10,REF-72432
MOV-473,PRD-3458,Sales Outbound,-15,2025-10-06,REF-55130
MOV-474,PRD-3039,Return Inbound,59,2025-08-08,REF-47597
MOV-475,PRD-3377,Shrinkage Adjustment,-32,2025-01-19,REF-95066
MOV-476,PRD-3189,PO Inbound,85,2025-07-31,REF-79737
MOV-477,PRD-3005,Warehouse Transfer,-35,2025-04-14,REF-76060
MOV-478,PRD-3377,Sales Outbound,-5,2025-10-26,REF-39273
MOV-479,PRD-3133,Shrinkage Adjustment,-21,2025-01-31,REF-33262
MOV-480,PRD-3389,Shrinkage Adjustment,-21,2025-09-18,REF-66141
MOV-481,PRD-3027,Sales Outbound,-41,2025-06-03,REF-55102
MOV-482,PRD-3193,Sales Outbound,-45,2025-05-04,REF-37075
MOV-483,PRD-3399,Warehouse Transfer,-37,2025-03-19,REF-42009
MOV-484,PRD-3154,Warehouse Transfer,-24,2025-03-12,REF-46555
MOV-485,PRD-3394,Return Inbound,58,2025-01-28,REF-54433
MOV-486,PRD-3040,Return Inbound,44,2025-08-29,REF-79529
MOV-487,PRD-3481,Sales Outbound,-26,2025-04-09,REF-80177
MOV-488,PRD-3279,PO Inbound,82,2025-04-14,REF-31782
MOV-489,PRD-3493,Return Inbound,87,2025-03-16,REF-70815
MOV-490,PRD-3046,Shrinkage Adjustment,-8,2025-09-26,REF-98043
MOV-491,PRD-3200,Sales Outbound,-46,2025-09-19,REF-92829
MOV-492,PRD-3194,Warehouse Transfer,-30,2025-05-09,REF-73098
MOV-493,PRD-3214,Sales Outbound,-14,2025-08-29,REF-13222
MOV-494,PRD-3108,Warehouse Transfer,-23,2025-05-23,REF-71549
MOV-495,PRD-3287,Shrinkage Adjustment,-49,2025-04-05,REF-64160
MOV-496,PRD-3270,PO Inbound,74,2025-04-07,REF-26102
MOV-497,PRD-3408,Warehouse Transfer,-10,2025-04-02,REF-84961
MOV-498,PRD-3488,Return Inbound,12,2025-03-31,REF-39218
MOV-499,PRD-3072,Warehouse Transfer,-49,2025-01-01,REF-61348
MOV-500,PRD-3095,Return Inbound,31,2025-10-24,REF-42860
MOV-501,PRD-3445,PO Inbound,65,2025-07-04,REF-45989
MOV-502,PRD-3175,Return Inbound,36,2025-02-02,REF-80668
MOV-503,PRD-3314,Sales Outbound,-21,2025-10-03,REF-79446
MOV-504,PRD-3455,Sales Outbound,-6,2025-05-14,REF-10471
MOV-505,PRD-3027,Sales Outbound,-23,2025-07-25,REF-39446
MOV-506,PRD-3015,Sales Outbound,-11,2025-09-16,REF-29747
MOV-507,PRD-3221,Shrinkage Adjustment,-13,2025-06-17,REF-97521
MOV-508,PRD-3156,Warehouse Transfer,-1,2025-06-07,REF-68559
MOV-509,PRD-3297,Warehouse Transfer,-25,2025-07-04,REF-68068
MOV-510,PRD-3052,Shrinkage Adjustment,-33,2025-10-27,REF-67237
MOV-511,PRD-3335,Sales Outbound,-6,2025-04-10,REF-29367
MOV-512,PRD-3400,Return Inbound,8,2025-09-26,REF-64765
MOV-513,PRD-3089,Warehouse Transfer,-27,2025-10-02,REF-51121
MOV-514,PRD-3198,Return Inbound,81,2025-04-18,REF-49066
MOV-515,PRD-3225,Shrinkage Adjustment,-4,2025-09-26,REF-80551
MOV-516,PRD-3090,Sales Outbound,-2,2025-10-23,REF-32282
MOV-517,PRD-3436,Return Inbound,70,2025-08-13,REF-33211
MOV-518,PRD-3267,Warehouse Transfer,-42,2025-05-29,REF-61781
MOV-519,PRD-3240,Sales Outbound,-26,2025-04-18,REF-20228
MOV-520,PRD-3204,Sales Outbound,-16,2025-01-09,REF-82628
MOV-521,PRD-3151,Shrinkage Adjustment,-3,2025-02-22,REF-71484
MOV-522,PRD-3081,Shrinkage Adjustment,-10,2025-09-21,REF-11871
MOV-523,PRD-3121,Sales Outbound,-45,2025-07-27,REF-50841
MOV-524,PRD-3312,PO Inbound,66,2025-05-26,REF-97489
MOV-525,PRD-3256,Return Inbound,74,2025-02-11,REF-92796
MOV-526,PRD-3047,Shrinkage Adjustment,-16,2025-05-11,REF-95458
MOV-527,PRD-3363,Sales Outbound,-44,2025-01-18,REF-39981
MOV-528,PRD-3483,PO Inbound,8,2025-02-20,REF-60880
MOV-529,PRD-3211,Sales Outbound,-50,2025-07-12,REF-66561
MOV-530,PRD-3092,Sales Outbound,-34,2025-05-21,REF-57557
MOV-531,PRD-3429,Return Inbound,40,2025-02-07,REF-48024
MOV-532,PRD-3385,PO Inbound,69,2025-06-19,REF-69469
MOV-533,PRD-3316,Shrinkage Adjustment,-10,2025-03-25,REF-85358
MOV-534,PRD-3181,PO Inbound,98,2025-02-23,REF-93080
MOV-535,PRD-3001,Warehouse Transfer,-20,2025-09-27,REF-65966
MOV-536,PRD-3041,PO Inbound,49,2025-08-01,REF-15735
MOV-537,PRD-3379,PO Inbound,24,2025-07-19,REF-10803
MOV-538,PRD-3152,Shrinkage Adjustment,-38,2025-01-10,REF-93511
MOV-539,PRD-3054,Shrinkage Adjustment,-17,2025-06-21,REF-36116
MOV-540,PRD-3262,Warehouse Transfer,-7,2025-07-14,REF-27576
MOV-541,PRD-3462,Return Inbound,36,2025-02-07,REF-13133
MOV-542,PRD-3214,Shrinkage Adjustment,-41,2025-09-09,REF-81524
MOV-543,PRD-3279,Return Inbound,41,2025-08-29,REF-38947
MOV-544,PRD-3435,Sales Outbound,-5,2025-08-09,REF-55763
MOV-545,PRD-3029,Sales Outbound,-44,2025-05-21,REF-30037
MOV-546,PRD-3460,Sales Outbound,-50,2025-09-26,REF-85004
MOV-547,PRD-3100,Return Inbound,35,2025-05-11,REF-11833
MOV-548,PRD-3236,PO Inbound,9,2025-01-08,REF-70824
MOV-549,PRD-3388,Sales Outbound,-40,2025-09-22,REF-59133
MOV-550,PRD-3013,Sales Outbound,-16,2025-01-14,REF-55358
MOV-551,PRD-3328,PO Inbound,55,2025-08-11,REF-68262
MOV-552,PRD-3049,Return Inbound,70,2025-06-23,REF-40668
MOV-553,PRD-3477,Sales Outbound,-43,2025-04-12,REF-25998
MOV-554,PRD-3256,PO Inbound,33,2025-08-22,REF-85354
MOV-555,PRD-3390,Return Inbound,46,2025-05-11,REF-18649
MOV-556,PRD-3088,Warehouse Transfer,-36,2025-03-26,REF-48365
MOV-557,PRD-3386,Warehouse Transfer,-12,2025-03-22,REF-10758
MOV-558,PRD-3421,Sales Outbound,-33,2025-10-09,REF-19466
MOV-559,PRD-3183,Sales Outbound,-4,2025-09-18,REF-86875
MOV-560,PRD-3441,Return Inbound,18,2025-02-26,REF-67735
MOV-561,PRD-3447,Shrinkage Adjustment,-36,2025-01-02,REF-25754
MOV-562,PRD-3498,Sales Outbound,-27,2025-08-09,REF-31790
MOV-563,PRD-3172,PO Inbound,42,2025-01-30,REF-72551
MOV-564,PRD-3378,Sales Outbound,-46,2025-03-11,REF-46511
MOV-565,PRD-3384,Warehouse Transfer,-5,2025-04-29,REF-88746
MOV-566,PRD-3152,Sales Outbound,-4,2025-05-07,REF-32120
MOV-567,PRD-3188,PO Inbound,95,2025-03-28,REF-73746
MOV-568,PRD-3129,Warehouse Transfer,-26,2025-03-19,REF-41419
MOV-569,PRD-3288,Sales Outbound,-33,2025-05-25,REF-48756
MOV-570,PRD-3025,Sales Outbound,-31,2025-07-21,REF-56501
MOV-571,PRD-3132,Sales Outbound,-39,2025-10-27,REF-87577
MOV-572,PRD-3137,Sales Outbound,-47,2025-10-15,REF-56709
MOV-573,PRD-3378,Warehouse Transfer,-2,2025-04-08,REF-39460
MOV-574,PRD-3014,Warehouse Transfer,-27,2025-05-11,REF-22586
MOV-575,PRD-3148,Warehouse Transfer,-27,2025-05-06,REF-26782
MOV-576,PRD-3303,PO Inbound,66,2025-06-13,REF-12667
MOV-577,PRD-3171,PO Inbound,97,2025-05-20,REF-97958
MOV-578,PRD-3262,Shrinkage Adjustment,-43,2025-02-24,REF-53854
MOV-579,PRD-3300,PO Inbound,41,2025-03-02,REF-83019
MOV-580,PRD-3065,Sales Outbound,-30,2025-09-07,REF-32334
MOV-581,PRD-3054,PO Inbound,79,2025-01-27,REF-73347
MOV-582,PRD-3130,Return Inbound,33,2025-08-29,REF-85024
MOV-583,PRD-3354,Sales Outbound,-37,2025-02-24,REF-19400
MOV-584,PRD-3242,PO Inbound,63,2025-05-09,REF-11295
MOV-585,PRD-3016,Sales Outbound,-46,2025-05-12,REF-56733
MOV-586,PRD-3202,Warehouse Transfer,-44,2025-09-16,REF-46312
MOV-587,PRD-3469,Warehouse Transfer,-26,2025-06-18,REF-98369
MOV-588,PRD-3478,Shrinkage Adjustment,-49,2025-04-17,REF-72765
MOV-589,PRD-3151,Return Inbound,77,2025-07-13,REF-63065
MOV-590,PRD-3194,PO Inbound,57,2025-03-11,REF-38720
MOV-591,PRD-3202,Shrinkage Adjustment,-47,2025-01-30,REF-48297
MOV-592,PRD-3436,Shrinkage Adjustment,-17,2025-02-23,REF-29396
MOV-593,PRD-3004,Warehouse Transfer,-7,2025-10-06,REF-10206
MOV-594,PRD-3099,Shrinkage Adjustment,-34,2025-04-18,REF-75676
MOV-595,PRD-3328,Sales Outbound,-23,2025-03-09,REF-79924
MOV-596,PRD-3348,Warehouse Transfer,-41,2025-05-25,REF-10622
MOV-597,PRD-3157,Sales Outbound,-38,2025-05-07,REF-57843
MOV-598,PRD-3060,Shrinkage Adjustment,-2,2025-03-12,REF-61894
MOV-599,PRD-3312,Return Inbound,62,2025-08-14,REF-58951
MOV-600,PRD-3068,Shrinkage Adjustment,-27,2025-10-15,REF-47967
MOV-601,PRD-3485,Warehouse Transfer,-4,2025-04-22,REF-97351
MOV-602,PRD-3380,PO Inbound,55,2025-04-11,REF-62478
MOV-603,PRD-3241,Warehouse Transfer,-5,2025-08-24,REF-51300
MOV-604,PRD-3077,Return Inbound,83,2025-10-11,REF-18789
MOV-605,PRD-3128,Return Inbound,32,2025-09-07,REF-60524
MOV-606,PRD-3454,Return Inbound,21,2025-09-21,REF-40151
MOV-607,PRD-3388,Warehouse Transfer,-15,2025-01-06,REF-37419
MOV-608,PRD-3490,Warehouse Transfer,-49,2025-07-03,REF-41500
MOV-609,PRD-3307,Return Inbound,18,2025-07-23,REF-15474
MOV-610,PRD-3268,Warehouse Transfer,-23,2025-04-07,REF-33703
MOV-611,PRD-3308,Warehouse Transfer,-30,2025-05-02,REF-48047
MOV-612,PRD-3361,PO Inbound,12,2025-02-13,REF-43286
MOV-613,PRD-3318,Warehouse Transfer,-32,2025-06-05,REF-69676
MOV-614,PRD-3169,Return Inbound,94,2025-09-08,REF-36437
MOV-615,PRD-3345,Shrinkage Adjustment,-30,2025-01-19,REF-46105
MOV-616,PRD-3390,Warehouse Transfer,-40,2025-01-21,REF-85487
MOV-617,PRD-3214,Shrinkage Adjustment,-35,2025-02-04,REF-89056
MOV-618,PRD-3159,Return Inbound,50,2025-06-22,REF-85361
MOV-619,PRD-3246,Shrinkage Adjustment,-15,2025-07-17,REF-22332
MOV-620,PRD-3400,PO Inbound,85,2025-04-13,REF-42875
MOV-621,PRD-3011,Return Inbound,61,2025-04-16,REF-62620
MOV-622,PRD-3278,Warehouse Transfer,-7,2025-01-27,REF-78011
MOV-623,PRD-3444,PO Inbound,38,2025-02-26,REF-98398
MOV-624,PRD-3255,Return Inbound,55,2025-05-23,REF-38125
MOV-625,PRD-3017,Shrinkage Adjustment,-46,2025-03-24,REF-23641
MOV-626,PRD-3460,Warehouse Transfer,-43,2025-09-17,REF-69810
MOV-627,PRD-3339,Shrinkage Adjustment,-5,2025-08-06,REF-85520
MOV-628,PRD-3302,PO Inbound,50,2025-06-13,REF-76361
MOV-629,PRD-3237,Sales Outbound,-15,2025-07-30,REF-42407
MOV-630,PRD-3158,PO Inbound,16,2025-01-17,REF-44562
MOV-631,PRD-3276,Return Inbound,57,2025-10-12,REF-64995
MOV-632,PRD-3231,PO Inbound,19,2025-07-17,REF-52951
MOV-633,PRD-3415,Shrinkage Adjustment,-45,2025-03-23,REF-81986
MOV-634,PRD-3426,PO Inbound,71,2025-03-15,REF-86919
MOV-635,PRD-3431,PO Inbound,22,2025-09-09,REF-83690
MOV-636,PRD-3320,Warehouse Transfer,-33,2025-07-07,REF-95003
MOV-637,PRD-3085,Return Inbound,74,2025-10-26,REF-18386
MOV-638,PRD-3320,Shrinkage Adjustment,-2,2025-09-29,REF-48299
MOV-639,PRD-3052,Return Inbound,87,2025-10-14,REF-53874
MOV-640,PRD-3449,Return Inbound,25,2025-08-27,REF-39741
MOV-641,PRD-3032,Return Inbound,28,2025-08-22,REF-64568
MOV-642,PRD-3105,PO Inbound,68,2025-06-14,REF-58288
MOV-643,PRD-3290,Shrinkage Adjustment,-32,2025-01-12,REF-74625
MOV-644,PRD-3421,PO Inbound,56,2025-05-11,REF-43458
MOV-645,PRD-3281,PO Inbound,35,2025-06-06,REF-10297
MOV-646,PRD-3003,PO Inbound,96,2025-05-20,REF-14746
MOV-647,PRD-3402,Shrinkage Adjustment,-24,2025-07-30,REF-15916
MOV-648,PRD-3077,Sales Outbound,-50,2025-03-04,REF-16673
MOV-649,PRD-3373,Shrinkage Adjustment,-20,2025-01-21,REF-68265
MOV-650,PRD-3394,Warehouse Transfer,-32,2025-03-23,REF-86586
MOV-651,PRD-3211,Warehouse Transfer,-48,2025-03-24,REF-33129
MOV-652,PRD-3376,Warehouse Transfer,-33,2025-06-19,REF-50043
MOV-653,PRD-3079,Shrinkage Adjustment,-14,2025-05-17,REF-43898
MOV-654,PRD-3302,Shrinkage Adjustment,-37,2025-03-18,REF-59130
MOV-655,PRD-3059,Warehouse Transfer,-31,2025-04-10,REF-63876
MOV-656,PRD-3209,Return Inbound,36,2025-08-17,REF-58001
MOV-657,PRD-3261,Shrinkage Adjustment,-36,2025-05-05,REF-97402
MOV-658,PRD-3248,PO Inbound,8,2025-06-15,REF-34577
MOV-659,PRD-3499,Warehouse Transfer,-48,2025-03-15,REF-56478
MOV-660,PRD-3332,Warehouse Transfer,-4,2025-08-09,REF-74954
MOV-661,PRD-3236,PO Inbound,72,2025-06-15,REF-35564
MOV-662,PRD-3366,Shrinkage Adjustment,-1,2025-02-24,REF-72320
MOV-663,PRD-3149,Sales Outbound,-45,2025-01-11,REF-43709
MOV-664,PRD-3032,Sales Outbound,-23,2025-07-13,REF-17716
MOV-665,PRD-3024,Return Inbound,16,2025-04-13,REF-23055
MOV-666,PRD-3210,Shrinkage Adjustment,-32,2025-08-27,REF-56153
MOV-667,PRD-3076,Shrinkage Adjustment,-50,2025-01-01,REF-67385
MOV-668,PRD-3057,Sales Outbound,-29,2025-10-22,REF-71435
MOV-669,PRD-3053,Shrinkage Adjustment,-28,2025-04-20,REF-52702
MOV-670,PRD-3005,Shrinkage Adjustment,-49,2025-06-01,REF-33389
MOV-671,PRD-3357,Shrinkage Adjustment,-11,2025-10-19,REF-89624
